timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1741059174,10.154017900826446,76.39047789256198,0,9,90,0,24.6,90,7.6,,1008.0,83,27.1,22.8,9.0,13.0,0.0,13,0.9998476951563913,-0.017452406437283477
1741059756,10.52494948845709,76.58234041490832,15025,306,22,1,22.0,86,3.6,,1009.0,8,24.5,19.5,10.0,7.6,0.0,13,0.9925461516413221,-0.12186934340514737
1741059819,10.617069570211369,76.62216510414866,17475,308,22,2,22.0,86,3.6,,1009.0,8,24.5,19.5,10.0,7.6,0.0,13,0.9925461516413221,-0.12186934340514737
1741059914,10.744981640783465,76.67727378319731,19225,371,22,3,22.0,86,3.6,,1009.0,8,24.5,19.5,10.0,7.6,0.0,13,0.9925461516413221,-0.12186934340514737
1741060009,10.899405328999595,76.74344717611365,20800,414,22,4,22.0,86,3.6,,1009.0,8,24.5,19.5,10.0,7.6,0.0,13,0.9925461516413221,-0.12186934340514737
1741060105,11.07166335498608,76.81661927614557,23225,425,22,5,24.1,65,7.9,,1009.0,6,25.7,17.1,10.0,13.0,0.0,13,0.5877852522924731,0.8090169943749475
1741060199,11.254918481248897,76.89334782375633,25500,431,22,6,18.7,62,2.9,,1010.0,6,18.7,11.3,10.0,6.0,0.0,13,-0.29237170472273716,0.9563047559630353
1741060297,11.44454794709975,76.97095810335946,27175,452,22,7,20.3,67,1.1,,1012.0,5,20.3,13.9,10.0,1.6,0.0,13,-0.9743700647852351,-0.22495105434386525
1741060392,11.63785731954636,77.0474945942375,28400,472,22,8,22.8,70,4.0,,1009.0,5,24.9,17.0,10.0,7.5,0.0,13,-0.8191520442889916,-0.5735764363510464
1741060487,11.833494424130452,77.12161414327043,29425,488,22,9,22.7,48,4.0,,1010.0,8,24.6,11.2,10.0,7.4,0.0,13,0.4226182617406995,-0.9063077870366499
1741060579,12.03087143732882,77.19247040309878,31125,486,16,10,22.7,48,4.0,,1010.0,8,24.6,11.2,10.0,7.4,0.0,13,0.4226182617406995,-0.9063077870366499
1741060674,12.229756394910057,77.2595690764727,32725,484,16,11,22.7,48,4.0,,1010.0,8,24.6,11.2,10.0,7.4,0.0,13,0.4226182617406995,-0.9063077870366499
1741060769,12.430055800735406,77.32257733830143,33950,485,16,12,21.7,56,4.7,,1010.0,5,21.7,12.5,10.0,9.1,0.0,13,1.0,6.123233995736766e-17
1741060865,12.631734769849054,77.3811148470132,34000,479,16,13,20.5,58,4.7,,1010.0,5,20.5,11.9,10.0,9.8,0.0,13,0.9925461516413221,-0.12186934340514737
1741060959,12.834790468126208,77.43463524515647,33975,478,16,14,21.4,53,5.8,,1010.0,6,21.4,11.3,10.0,11.9,0.0,13,0.9998476951563913,-0.017452406437283477
