timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1741231876,10.154017900826446,76.39047789256198,0,4,87,0,25.1,87,7.9,,1010.0,7,27.7,22.8,10.0,12.9,0.0,15,0.8746197071393957,0.4848096202463371
1741232655,10.52494948845709,76.58234041490832,12950,352,22,1,21.2,90,0.7,,1011.0,7,21.2,19.6,10.0,1.5,0.0,15,0.7431448254773942,0.6691306063588582
1741232719,10.617069570211369,76.62216510414866,13000,355,22,2,21.2,90,0.7,,1011.0,7,21.2,19.6,10.0,1.5,0.0,15,0.7431448254773942,0.6691306063588582
1741232814,10.744981640783465,76.67727378319731,14625,356,22,3,21.2,90,0.7,,1011.0,7,21.2,19.6,10.0,1.5,0.0,15,0.7431448254773942,0.6691306063588582
1741232908,10.899405328999595,76.74344717611365,16750,369,22,4,21.2,90,0.7,,1011.0,7,21.2,19.6,10.0,1.5,0.0,15,0.7431448254773942,0.6691306063588582
1741233002,11.07166335498608,76.81661927614557,18825,377,22,5,22.7,69,4.0,,1011.0,8,24.9,16.8,10.0,7.6,0.0,15,-0.9396926207859084,-0.34202014332566855
1741233131,11.254918481248897,76.89334782375633,21650,392,22,6,17.8,53,3.6,,1012.0,7,17.8,8.0,10.0,7.6,0.0,15,-0.6156614753256582,0.788010753606722
1741233226,11.44454794709975,76.97095810335946,23650,408,27,7,15.0,58,2.5,,1014.0,5,15.0,6.8,10.0,5.3,0.0,15,-1.0,-1.8369701987210297e-16
1741233350,11.63785731954636,77.0474945942375,26275,423,27,8,22.4,59,5.8,,1011.0,9,24.7,14.1,10.0,12.1,0.0,15,0.6560590289905073,0.754709580222772
1741233446,11.833494424130452,77.12161414327043,27900,440,27,9,22.3,46,6.5,,1012.0,10,24.4,10.3,10.0,12.6,0.0,15,0.258819045102521,-0.9659258262890682
1741233541,12.03087143732882,77.19247040309878,29525,446,27,10,22.3,46,6.5,,1012.0,10,24.4,10.3,10.0,12.6,0.0,15,0.258819045102521,-0.9659258262890682
1741233605,12.229756394910057,77.2595690764727,30000,456,58,11,21.9,49,5.8,,1012.0,8,21.9,10.6,10.0,11.4,0.0,15,0.24192189559966773,-0.9702957262759965
1741233771,12.430055800735406,77.32257733830143,32075,466,12,12,21.4,46,5.0,,1012.0,4,21.5,9.3,10.0,10.5,0.0,15,0.5591929034707469,-0.8290375725550416
1741233897,12.631734769849054,77.3811148470132,33925,461,12,13,21.4,46,5.0,,1012.0,4,21.5,9.3,10.0,10.5,0.0,15,0.5591929034707469,-0.8290375725550416
1741233992,12.834790468126208,77.43463524515647,34000,462,12,14,20.9,46,4.0,,1012.0,2,20.9,8.8,10.0,8.3,0.0,15,0.2756373558169992,-0.9612616959383189
1741234087,13.039223980977884,77.4824671605901,34000,460,7,15,20.9,48,10.1,,1012.0,32,20.9,9.5,10.0,21.2,0.0,15,0.4383711467890773,-0.898794046299167
1741234202,13.244996785214935,77.52401362931182,34000,461,2,16,20.4,50,11.2,,1012.0,12,20.4,9.7,10.0,23.4,0.0,15,0.5150380749100544,-0.8571673007021122
1741234297,13.451989295996071,77.55902710723274,34000,460,2,17,20.4,50,11.2,,1012.0,12,20.4,9.7,10.0,23.4,0.0,15,0.5150380749100544,-0.8571673007021122
1741234394,13.659994178725311,77.58779570085025,34000,459,2,18,21.9,47,7.9,,1011.0,2,21.9,10.1,10.0,16.6,0.0,15,0.4226182617406995,-0.9063077870366499
1741234489,13.868748876439234,77.61114370801404,34000,459,2,19,21.9,47,7.9,,1011.0,2,21.9,10.1,10.0,16.6,0.0,15,0.4226182617406995,-0.9063077870366499
1741234585,14.077990257207029,77.63024763818038,34000,458,2,20,21.9,47,7.9,,1011.0,2,21.9,10.1,10.0,16.6,0.0,15,0.4226182617406995,-0.9063077870366499
1741234678,14.287502572763692,77.64636542437388,34000,456,2,21,24.4,41,9.4,,1010.0,3,25.0,10.2,10.0,19.7,0.0,15,-0.39073112848927355,-0.9205048534524404
1741234773,14.497139395577216,77.66060057517282,33975,457,2,22,24.4,41,9.4,,1010.0,3,25.0,10.2,10.0,19.7,0.0,15,-0.39073112848927355,-0.9205048534524404
1741234869,14.706818779333634,77.67377669015137,34000,459,2,23,25.1,35,8.6,,1010.0,3,25.1,8.6,10.0,18.1,0.0,15,-0.4067366430758002,-0.9135454576426009
1741234963,14.91650406629048,77.68642575674392,34000,460,2,24,24.9,35,5.4,,1010.0,3,25.0,8.4,10.0,11.3,0.0,15,0.5591929034707469,0.8290375725550417
1741235058,15.12618327321229,77.69884830309104,34000,461,2,25,24.9,35,5.4,,1010.0,3,25.0,8.4,10.0,11.3,0.0,15,0.5591929034707469,0.8290375725550417
1741235182,15.335854622882383,77.71119366446507,34025,463,2,26,24.9,35,5.4,,1010.0,3,25.0,8.4,10.0,11.3,0.0,15,0.5591929034707469,0.8290375725550417
1741235279,15.545519137654669,77.72352719827802,34025,462,2,27,24.9,35,5.4,,1010.0,3,25.0,8.4,10.0,11.3,0.0,15,0.5591929034707469,0.8290375725550417
