timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1741317974,10.154017900826446,76.39047789256198,0,2,357,0,25.7,83,7.9,,1009.0,42,28.3,22.6,10.0,12.4,0.0,16,0.9945218953682733,0.10452846326765346
1741318963,10.52494948845709,76.58234041490832,13375,321,22,1,21.5,92,2.2,,1010.0,48,21.5,20.2,10.0,4.5,0.0,16,-0.7071067811865477,0.7071067811865474
1741319026,10.617069570211369,76.62216510414866,14575,361,22,2,21.5,92,2.2,,1010.0,48,21.5,20.2,10.0,4.5,0.0,16,-0.7071067811865477,0.7071067811865474
1741319121,10.744981640783465,76.67727378319731,17325,377,22,3,21.5,92,2.2,,1010.0,48,21.5,20.2,10.0,4.5,0.0,16,-0.7071067811865477,0.7071067811865474
1741319215,10.899405328999595,76.74344717611365,19900,387,22,4,21.5,92,2.2,,1010.0,48,21.5,20.2,10.0,4.5,0.0,16,-0.7071067811865477,0.7071067811865474
1741319309,11.07166335498608,76.81661927614557,22225,396,22,5,22.6,70,4.3,,1010.0,4,24.8,16.8,10.0,7.8,0.0,16,-0.9396926207859083,0.342020143325669
1741319402,11.254918481248897,76.89334782375633,24125,410,22,6,17.2,56,4.7,,1011.0,4,17.2,8.4,10.0,9.8,0.0,16,-0.27563735581699894,0.9612616959383189
1741319529,11.44454794709975,76.97095810335946,26000,437,22,7,15.8,61,2.5,,1013.0,4,15.8,8.3,10.0,5.3,0.0,16,-0.992546151641322,0.12186934340514768
1741319626,11.63785731954636,77.0474945942375,27750,446,22,8,22.0,66,2.2,,1010.0,5,24.6,15.4,10.0,4.5,0.0,16,0.6560590289905073,0.754709580222772
1741319721,11.833494424130452,77.12161414327043,29650,446,22,9,21.9,53,7.6,,1011.0,3,21.9,11.8,10.0,14.8,0.0,16,-0.2079116908177595,-0.9781476007338056
1741319816,12.03087143732882,77.19247040309878,30000,424,22,10,21.9,53,7.6,,1011.0,3,21.9,11.8,10.0,14.8,0.0,16,-0.2079116908177595,-0.9781476007338056
1741319944,12.229756394910057,77.2595690764727,30000,425,15,11,21.9,53,7.6,,1011.0,3,21.9,11.8,10.0,14.8,0.0,16,-0.2079116908177595,-0.9781476007338056
1741320041,12.430055800735406,77.32257733830143,30000,422,15,12,20.9,47,1.8,,1011.0,0,20.9,9.3,10.0,3.7,0.0,16,0.9510565162951536,-0.30901699437494734
1741320136,12.631734769849054,77.3811148470132,29975,422,15,13,20.9,47,1.8,,1011.0,0,20.9,9.3,10.0,3.7,0.0,16,0.9510565162951536,-0.30901699437494734
1741320264,12.834790468126208,77.43463524515647,30000,426,15,14,20.2,47,2.2,,1011.0,0,20.2,8.7,10.0,4.5,0.0,16,0.6427876096865395,-0.7660444431189779
1741320375,13.039223980977884,77.4824671605901,30025,428,3,15,19.4,55,7.9,,1011.0,0,19.4,10.3,10.0,16.6,0.0,16,0.777145961456971,-0.6293203910498373
1741320472,13.244996785214935,77.52401362931182,30000,425,3,16,18.6,51,8.6,,1011.0,0,18.6,8.2,10.0,18.1,0.0,16,0.5299192642332049,-0.848048096156426
1741320565,13.451989295996071,77.55902710723274,29975,426,3,17,18.6,51,8.6,,1011.0,0,18.6,8.2,10.0,18.1,0.0,16,0.5299192642332049,-0.848048096156426
1741320693,13.659994178725311,77.58779570085025,31575,442,3,18,20.8,21,7.2,,1010.0,0,20.8,-2.4,10.0,15.1,0.0,16,0.766044443118978,-0.6427876096865394
1741320786,13.868748876439234,77.61114370801404,32575,453,3,19,20.8,21,7.2,,1010.0,0,20.8,-2.4,10.0,15.1,0.0,16,0.766044443118978,-0.6427876096865394
1741320881,14.077990257207029,77.63024763818038,33675,459,3,20,20.8,21,7.2,,1010.0,0,20.8,-2.4,10.0,15.1,0.0,16,0.766044443118978,-0.6427876096865394
1741320978,14.287502572763692,77.64636542437388,35625,440,3,21,22.5,17,5.0,,1009.0,0,22.3,-4.0,10.0,10.6,0.0,16,0.9563047559630355,-0.29237170472273666
1741321073,14.497139395577216,77.66060057517282,36000,445,3,22,22.5,17,5.0,,1009.0,0,22.3,-4.0,10.0,10.6,0.0,16,0.9563047559630355,-0.29237170472273666
1741321167,14.706818779333634,77.67377669015137,36000,447,3,23,23.1,14,5.0,,1009.0,0,22.6,-5.5,10.0,10.6,0.0,16,0.9975640502598242,-0.06975647374412533
1741321293,14.91650406629048,77.68642575674392,36025,450,3,24,22.9,13,4.3,,1009.0,0,22.5,-6.6,10.0,9.1,0.0,16,0.7313537016191705,0.6819983600624985
1741321389,15.12618327321229,77.69884830309104,35975,451,3,25,22.9,13,4.3,,1009.0,0,22.5,-6.6,10.0,9.1,0.0,16,0.7313537016191705,0.6819983600624985
1741321483,15.335854622882383,77.71119366446507,36025,451,3,26,22.9,13,4.3,,1009.0,0,22.5,-6.6,10.0,9.1,0.0,16,0.7313537016191705,0.6819983600624985
1741321577,15.545519137654669,77.72352719827802,36025,447,3,27,22.9,13,4.3,,1009.0,0,22.5,-6.6,10.0,9.1,0.0,16,0.7313537016191705,0.6819983600624985
1741321675,15.75517799606715,77.73587310045372,35950,440,3,28,21.5,14,6.1,,1009.0,0,21.5,-7.4,10.0,12.9,0.0,16,0.5150380749100542,0.8571673007021123
1741321800,15.96483193622853,77.74823846051845,36000,441,3,29,21.7,12,7.6,,1009.0,0,21.7,-8.4,10.0,15.9,0.0,16,0.573576436351046,0.8191520442889918
1741321896,16.174481506674212,77.76062136448084,36025,445,3,30,21.7,12,7.6,,1009.0,0,21.7,-8.4,10.0,15.9,0.0,16,0.573576436351046,0.8191520442889918
1741321993,16.384128168678938,77.77301014124134,36025,447,3,31,21.7,12,7.6,,1009.0,0,21.7,-8.4,10.0,15.9,0.0,16,0.573576436351046,0.8191520442889918
1741322088,16.593774567840622,77.78537760976337,36050,448,3,32,21.3,11,12.6,,1010.0,0,21.3,-10.6,10.0,26.5,0.0,16,0.6018150231520483,0.7986355100472928
1741322184,16.80342580561688,77.79767189183654,36000,445,3,33,21.3,11,12.6,,1010.0,0,21.3,-10.6,10.0,26.5,0.0,16,0.6018150231520483,0.7986355100472928
