timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1731514635,10.153991679012346,76.3907081111111,0,2,351,0,28.3,71,7.6,,1005.0,72,31.7,22.6,10.0,10.2,6.0,1,-0.981627183447664,-0.1908089953765446
1731515495,10.421403372654131,76.66085927082142,0,9,106,1,22.4,91,6.5,,1008.0,64,24.8,20.9,10.0,11.3,5.0,1,0.9335804264972017,0.3583679495453004
1731516284,10.506826416678226,76.70236628436182,18875,388,32,2,22.4,91,6.5,,1008.0,64,24.8,20.9,10.0,11.3,5.0,1,0.9335804264972017,0.3583679495453004
1731516349,10.62753601065119,76.75746308559965,20775,397,32,3,27.5,81,15.8,,1006.0,67,31.3,23.8,10.0,25.4,6.0,1,0.984807753012208,0.17364817766693041
1731516445,10.776186716332145,76.8203939127595,23225,412,32,4,27.5,81,15.8,,1006.0,67,31.3,23.8,10.0,25.4,6.0,1,0.984807753012208,0.17364817766693041
1731516509,10.945157716286456,76.8865925846169,24775,418,32,5,25.4,84,11.2,,1007.0,64,27.9,22.5,10.0,21.8,6.0,1,0.9396926207859083,0.3420201433256688
1731516604,11.127644724340314,76.95327230563768,26600,431,32,6,24.0,87,6.5,,1008.0,58,26.1,21.6,10.0,12.3,5.0,1,0.9876883405951378,0.15643446504023092
1731516698,11.318330007150855,77.01920150905376,28050,441,32,7,24.0,87,6.5,,1008.0,58,26.1,21.6,10.0,12.3,5.0,1,0.9876883405951378,0.15643446504023092
1731516796,11.513554686146064,77.08408813016672,29475,446,32,8,24.0,87,6.5,,1008.0,58,26.1,21.6,10.0,12.3,5.0,1,0.9876883405951378,0.15643446504023092
1731516892,11.711104790845887,77.14799170128917,30600,456,32,9,25.8,86,8.6,,1007.0,94,28.7,23.2,10.0,14.8,6.0,1,0.9993908270190958,0.03489949670250108
1731516985,11.909813104123014,77.2109734340695,31950,460,17,10,25.0,77,14.4,,1007.0,40,26.9,20.6,10.0,21.4,6.0,1,0.9902680687415704,-0.13917310096006535
1731517080,12.109154995583738,77.27299105035752,33425,455,17,11,25.0,77,14.4,,1007.0,40,26.9,20.6,10.0,21.4,6.0,1,0.9902680687415704,-0.13917310096006535
1731517177,12.308936420422748,77.33394201110872,34000,452,17,12,22.8,82,16.9,,1008.0,49,25.0,19.7,10.0,26.9,6.0,1,0.9998476951563913,0.0174524064372836
1731517271,12.509097519196734,77.39375157892471,34000,451,17,13,21.1,89,11.2,,1009.0,29,21.1,19.2,10.0,19.4,6.0,1,0.9563047559630354,0.29237170472273677
1731517399,12.709605390214172,77.4524408390919,33975,454,17,14,22.6,86,17.3,,1009.0,44,24.8,20.0,10.0,28.4,6.0,1,0.9975640502598242,0.06975647374412523
1731517495,12.910415356548729,77.51012765892526,34000,452,17,15,21.8,86,15.5,,1010.0,74,21.8,19.3,10.0,20.4,5.0,1,0.9945218953682733,-0.10452846326765355
1731517561,13.11147625670806,77.56695895168625,34025,453,9,16,21.4,87,15.1,,1010.0,80,21.4,19.1,10.0,21.7,5.0,1,0.9781476007338057,-0.20791169081775934
1731517687,13.312749277270743,77.62301089737193,33975,452,3,17,21.5,87,15.5,,1010.0,83,21.5,19.2,10.0,26.2,5.0,1,0.9271838545667874,-0.37460659341591207
1731517753,13.514231378668711,77.67818284603239,33975,455,3,18,21.1,89,12.2,,1010.0,41,21.1,19.2,10.0,18.1,6.0,1,0.9396926207859084,-0.3420201433256687
