timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1731685392,10.153991679012346,76.3907081111111,0,10,87,0,27.3,79,10.4,,1008.0,75,30.9,23.5,10.0,14.1,6.0,3,-0.8910065241883678,-0.4539904997395469
1731686066,10.421403372654131,76.66085927082142,13250,350,29,1,25.9,84,5.0,,1010.0,68,28.8,23.0,10.0,8.4,6.0,3,0.6427876096865393,0.766044443118978
1731686140,10.506826416678226,76.70236628436182,16775,345,17,2,25.9,84,5.0,,1010.0,68,28.8,23.0,10.0,8.4,6.0,3,0.6427876096865393,0.766044443118978
1731686224,10.62753601065119,76.75746308559965,18675,392,31,3,30.7,62,8.6,,1007.0,57,34.9,22.7,10.0,10.7,7.0,3,0.7313537016191705,0.6819983600624985
1731686310,10.776186716332145,76.8203939127595,21250,408,17,4,30.7,62,8.6,,1007.0,57,34.9,22.7,10.0,10.7,7.0,3,0.7313537016191705,0.6819983600624985
1731686405,10.945157716286456,76.8865925846169,23600,426,17,5,26.4,78,8.3,,1009.0,83,29.1,22.4,9.0,11.8,6.0,3,0.9612616959383189,0.27563735581699916
1731686500,11.127644724340314,76.95327230563768,25825,436,17,6,24.5,83,6.5,,1010.0,87,26.6,21.5,9.0,10.0,5.0,3,0.9455185755993168,-0.32556815445715664
1731686592,11.318330007150855,77.01920150905376,27450,450,17,7,24.5,83,6.5,,1010.0,87,26.6,21.5,9.0,10.0,5.0,3,0.9455185755993168,-0.32556815445715664
1731686688,11.513554686146064,77.08408813016672,29000,457,17,8,24.5,83,6.5,,1010.0,87,26.6,21.5,9.0,10.0,5.0,3,0.9455185755993168,-0.32556815445715664
1731686783,11.711104790845887,77.14799170128917,30300,466,17,9,27.3,80,8.3,,1009.0,67,30.8,23.5,10.0,11.8,6.0,3,0.9781476007338056,0.20791169081775945
1731686879,11.909813104123014,77.2109734340695,31650,472,15,10,24.4,80,10.1,,1009.0,88,26.3,20.7,10.0,15.8,5.0,3,0.9781476007338056,0.20791169081775945
1731686975,12.109154995583738,77.27299105035752,32000,482,15,11,24.4,80,10.1,,1009.0,88,26.3,20.7,10.0,15.8,5.0,3,0.9781476007338056,0.20791169081775945
1731687071,12.308936420422748,77.33394201110872,32000,472,15,12,24.0,84,13.7,,1010.0,82,26.1,21.3,10.0,23.7,5.0,3,0.9986295347545738,0.052335956242943966
1731687169,12.509097519196734,77.39375157892471,32000,469,15,13,24.0,84,13.7,,1010.0,82,26.1,21.3,10.0,23.7,5.0,3,0.9986295347545738,0.052335956242943966
1731687266,12.709605390214172,77.4524408390919,31975,471,9,14,24.4,84,13.0,,1010.0,87,26.5,21.5,10.0,22.7,5.0,3,0.9876883405951378,0.15643446504023092
1731687363,12.910415356548729,77.51012765892526,32050,474,4,15,23.4,79,12.2,,1010.0,86,25.4,19.5,9.0,19.8,5.0,3,0.9993908270190958,-0.034899496702500955
1731687460,13.11147625670806,77.56695895168625,32000,472,4,16,23.8,77,11.9,,1010.0,81,25.6,19.5,10.0,19.2,5.0,3,1.0,6.123233995736766e-17
1731687557,13.312749277270743,77.62301089737193,31975,475,4,17,23.9,77,11.5,,1010.0,74,25.7,19.5,10.0,19.4,5.0,3,0.9876883405951378,0.15643446504023092
1731687623,13.514231378668711,77.67818284603239,32000,477,4,18,23.3,79,10.8,,1010.0,87,25.3,19.4,10.0,16.6,5.0,3,0.9335804264972017,0.3583679495453004
1731687720,13.71597259927522,77.73211500851446,32025,476,4,19,23.3,79,10.8,,1010.0,87,25.3,19.4,10.0,16.6,5.0,3,0.9335804264972017,0.3583679495453004
1731687820,13.918079045387191,77.78416400686449,32000,478,4,20,25.4,74,14.4,,1010.0,83,27.2,20.4,9.0,20.4,6.0,3,0.8660254037844386,0.5000000000000001
1731687914,14.12069798535273,77.83346464349917,31975,479,4,21,27.6,68,16.2,,1009.0,59,29.9,21.0,10.0,26.6,6.0,3,0.9612616959383189,0.27563735581699916
1731688015,14.323985706364606,77.87908773424216,32025,479,4,22,27.6,68,16.2,,1009.0,59,29.9,21.0,10.0,26.6,6.0,3,0.9612616959383189,0.27563735581699916
1731688115,14.528065788567112,77.92026401301517,32325,472,4,23,27.6,68,16.2,,1009.0,59,29.9,21.0,10.0,26.6,6.0,3,0.9612616959383189,0.27563735581699916
1731688179,14.732992036597803,77.95660036700218,33150,474,4,24,26.7,74,18.0,,1010.0,57,29.1,21.7,10.0,35.2,6.0,3,0.9961946980917455,0.08715574274765814
1731688275,14.938731113169256,77.98819967241155,34000,468,4,25,26.7,74,18.0,,1010.0,57,29.1,21.7,10.0,35.2,6.0,3,0.9961946980917455,0.08715574274765814
1731688372,15.145172025593189,78.01563056959904,34450,468,4,26,26.7,74,18.0,,1010.0,57,29.1,21.7,10.0,35.2,6.0,3,0.9961946980917455,0.08715574274765814
1731688469,15.352157522945175,78.03976332358786,35725,468,4,27,27.1,70,15.1,,1010.0,55,29.4,21.2,10.0,26.7,6.0,3,0.9998476951563913,0.0174524064372836
1731688568,15.559522544700144,78.06154585445285,36000,470,4,28,27.6,76,14.4,,1010.0,72,30.9,22.9,10.0,27.1,6.0,3,0.9961946980917455,0.08715574274765814
1731688665,15.767125172576735,78.08180579167492,35975,466,4,29,27.8,68,14.0,,1010.0,58,30.3,21.3,10.0,20.4,6.0,3,1.0,6.123233995736766e-17
1731688760,15.974862191506954,78.10112924632486,35975,468,4,30,27.8,68,14.0,,1010.0,58,30.3,21.3,10.0,20.4,6.0,3,1.0,6.123233995736766e-17
1731688860,16.18267029080984,78.11981652679412,36025,472,4,31,28.2,61,17.6,,1010.0,76,30.2,20.1,10.0,23.7,6.0,3,0.984807753012208,0.17364817766693041
1731688956,16.39051898719864,78.13788559550791,36025,474,4,32,28.2,61,17.6,,1010.0,76,30.2,20.1,10.0,23.7,6.0,3,0.984807753012208,0.17364817766693041
1731689056,16.598401350575152,78.15509799784533,36050,472,4,33,28.2,61,17.6,,1010.0,76,30.2,20.1,10.0,23.7,6.0,3,0.984807753012208,0.17364817766693041
1731689154,16.806325690522307,78.17100569695916,36000,466,4,34,27.8,60,13.3,,1010.0,55,29.5,19.4,10.0,18.9,7.0,3,0.9876883405951378,0.15643446504023092
1731689249,17.014308473495255,78.18503422329727,35950,466,4,35,26.0,64,9.4,,1011.0,82,27.5,18.8,10.0,15.7,6.0,3,0.9876883405951378,-0.1564344650402308
1731689349,17.222367707076643,78.19661062697293,36000,468,4,36,26.0,64,9.4,,1011.0,82,27.5,18.8,10.0,15.7,6.0,3,0.9876883405951378,-0.1564344650402308
1731689444,17.430516590668915,78.20531316302339,36000,470,4,37,26.8,62,10.8,,1011.0,87,28.2,18.8,10.0,15.4,6.0,3,0.9563047559630355,-0.29237170472273666
1731689540,17.638758323886687,78.21098723902375,36025,471,4,38,26.0,64,9.4,,1011.0,82,27.5,18.8,10.0,15.7,6.0,3,0.9876883405951378,-0.1564344650402308
1731689636,17.847082776565195,78.21376990346705,36000,472,4,39,28.1,50,11.5,,1011.0,14,28.9,16.8,10.0,16.0,7.0,3,0.7431448254773942,0.6691306063588582
1731689733,18.05546504929316,78.21399806883615,35975,472,4,40,28.1,50,11.5,,1011.0,14,28.9,16.8,10.0,16.0,7.0,3,0.7431448254773942,0.6691306063588582
1731689830,18.263864507930467,78.21202640460123,36025,473,4,41,28.1,50,11.5,,1011.0,14,28.9,16.8,10.0,16.0,7.0,3,0.7431448254773942,0.6691306063588582
1731689927,18.47222273908981,78.20802190741115,36000,473,4,42,28.2,49,9.0,,1011.0,8,29.0,16.6,10.0,12.9,7.0,3,0.898794046299167,0.43837114678907746
1731690012,18.68046079691369,78.20181174883378,36025,470,4,43,25.1,56,9.0,,1011.0,7,26.2,15.8,10.0,18.9,7.0,3,0.992546151641322,0.12186934340514749
1731690091,18.888478895714755,78.19284432773253,35975,470,4,44,25.1,56,9.0,,1011.0,7,26.2,15.8,10.0,18.9,7.0,3,0.992546151641322,0.12186934340514749
1731690191,19.096163074045776,78.18028954480712,36000,471,4,45,24.9,55,8.3,,1012.0,7,26.0,15.3,10.0,17.4,6.0,3,0.6691306063588582,0.7431448254773942
1731690287,19.303401320495293,78.16325910452946,36025,469,4,46,25.0,54,9.7,,1011.0,8,26.0,15.1,10.0,20.4,7.0,3,0.7193398003386512,0.6946583704589973
1731690382,19.510106436793,78.14107873646246,36000,467,4,47,26.2,48,6.8,,1011.0,6,26.7,14.5,10.0,14.1,7.0,3,0.9876883405951378,0.15643446504023092
1731690481,19.716237572663857,78.1135126155324,36000,464,4,48,26.2,48,6.8,,1011.0,6,26.7,14.5,10.0,14.1,7.0,3,0.9876883405951378,0.15643446504023092
1731690579,19.92181101242469,78.08085193502792,35975,461,4,49,26.0,44,9.4,,1011.0,5,26.3,13.0,10.0,19.7,7.0,3,0.8290375725550417,0.5591929034707468
1731690676,20.126894837528983,78.04383678174275,36000,462,4,50,26.0,44,9.4,,1011.0,5,26.3,13.0,10.0,19.7,7.0,3,0.8290375725550417,0.5591929034707468
1731690770,20.331590123955017,78.003458672281,36000,464,4,51,25.1,42,6.5,,1011.0,2,25.5,11.3,10.0,13.6,7.0,3,0.9743700647852352,0.22495105434386492
1731690867,20.53600747083258,77.96073736564827,36050,457,356,52,25.1,42,6.5,,1011.0,2,25.5,11.3,10.0,13.6,7.0,3,0.9743700647852352,0.22495105434386492
1731690963,20.740248697785496,77.91656272576309,36000,450,347,53,26.2,37,1.4,,1011.0,4,26.0,10.5,10.0,3.0,7.0,3,0.7986355100472928,0.6018150231520484
1731691061,20.94439977444528,77.87164271633473,36000,450,347,54,26.2,37,1.4,,1011.0,4,26.0,10.5,10.0,3.0,7.0,3,0.7986355100472928,0.6018150231520484
1731691155,21.148534954971748,77.82654673205869,36000,450,346,55,25.3,41,8.3,,1011.0,3,25.6,11.3,10.0,17.4,7.0,3,-0.5735764363510465,0.8191520442889916
1731691253,21.35272719374521,77.78179703845348,35975,451,346,56,25.3,41,8.3,,1011.0,3,25.6,11.3,10.0,17.4,7.0,3,-0.5735764363510465,0.8191520442889916
1731691349,21.55705760157928,77.73795061630145,36000,453,346,57,22.7,49,8.3,,1012.0,4,24.6,11.3,10.0,17.4,6.0,3,0.15643446504023087,0.9876883405951378
1731691446,21.7616172703183,77.695623731641,36025,454,346,58,22.7,49,8.3,,1012.0,4,24.6,11.3,10.0,17.4,6.0,3,0.15643446504023087,0.9876883405951378
