timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1731770741,10.153991679012346,76.3907081111111,0,7,92,0,29.0,70,15.1,,1006.0,87,32.8,23.0,10.0,19.6,6.0,4,-0.6427876096865393,-0.766044443118978
1731771414,10.421403372654131,76.66085927082142,14600,324,47,1,26.1,83,4.3,,1009.0,55,29.0,23.0,10.0,5.8,6.0,4,0.8090169943749475,0.5877852522924731
1731771534,10.506826416678226,76.70236628436182,18175,375,17,2,26.1,83,4.3,,1009.0,55,29.0,23.0,10.0,5.8,6.0,4,0.8090169943749475,0.5877852522924731
1731771596,10.62753601065119,76.75746308559965,20025,389,17,3,30.7,62,14.4,,1006.0,72,34.8,22.5,10.0,16.6,7.0,4,0.992546151641322,0.12186934340514749
1731771692,10.776186716332145,76.8203939127595,22825,404,13,4,30.7,62,14.4,,1006.0,72,34.8,22.5,10.0,16.6,7.0,4,0.992546151641322,0.12186934340514749
1731771781,10.945157716286456,76.8865925846169,24900,418,21,5,28.2,68,8.6,,1007.0,78,31.1,21.9,10.0,10.2,6.0,4,0.8829475928589269,0.46947156278589086
1731771874,11.127644724340314,76.95327230563768,28000,396,33,6,27.6,74,7.2,,1008.0,84,30.7,22.5,9.0,8.9,6.0,4,0.9659258262890683,-0.25881904510252085
1731771967,11.318330007150855,77.01920150905376,30150,395,33,7,27.6,74,7.2,,1008.0,84,30.7,22.5,9.0,8.9,6.0,4,0.9659258262890683,-0.25881904510252085
1731772115,11.513554686146064,77.08408813016672,31925,433,13,8,27.6,74,7.2,,1008.0,84,30.7,22.5,9.0,8.9,6.0,4,0.9659258262890683,-0.25881904510252085
1731772210,11.711104790845887,77.14799170128917,33675,430,12,9,28.2,74,6.8,,1007.0,78,31.8,23.2,10.0,10.7,6.0,4,0.9975640502598242,0.06975647374412523
1731772304,11.909813104123014,77.2109734340695,34875,434,12,10,25.4,73,10.8,,1008.0,55,27.2,20.1,10.0,16.7,6.0,4,0.9975640502598242,0.06975647374412523
1731772430,12.109154995583738,77.27299105035752,36350,440,12,11,25.4,73,10.8,,1008.0,55,27.2,20.1,10.0,16.7,6.0,4,0.9975640502598242,0.06975647374412523
1731772526,12.308936420422748,77.33394201110872,36975,452,12,12,25.7,74,18.4,,1008.0,58,27.7,20.8,10.0,30.4,6.0,4,0.9993908270190958,-0.034899496702500955
1731772622,12.509097519196734,77.39375157892471,37875,452,12,13,25.7,74,18.4,,1008.0,58,27.7,20.8,10.0,30.4,6.0,4,0.9993908270190958,-0.034899496702500955
1731772719,12.709605390214172,77.4524408390919,38000,454,12,14,26.2,73,16.6,,1008.0,51,28.3,21.0,10.0,28.1,6.0,4,0.9975640502598242,-0.06975647374412533
1731772816,12.910415356548729,77.51012765892526,38000,454,12,15,24.4,76,19.1,,1009.0,72,26.2,20.0,10.0,30.1,5.0,4,0.9975640502598242,0.06975647374412523
1731772910,13.11147625670806,77.56695895168625,38000,460,11,16,24.1,78,18.7,,1009.0,87,26.0,20.0,10.0,28.7,5.0,4,0.981627183447664,0.19080899537654492
1731773007,13.312749277270743,77.62301089737193,38000,460,2,17,23.7,80,17.6,,1009.0,100,25.6,20.0,10.0,27.5,5.0,4,0.9271838545667874,0.37460659341591196
1731773106,13.514231378668711,77.67818284603239,38000,463,2,18,23.4,81,17.3,,1010.0,79,25.4,19.9,9.0,26.7,5.0,4,0.9335804264972017,0.3583679495453004
1731773203,13.71597259927522,77.73211500851446,38000,463,2,19,23.4,81,17.3,,1010.0,79,25.4,19.9,9.0,26.7,5.0,4,0.9335804264972017,0.3583679495453004
1731773299,13.918079045387191,77.78416400686449,38000,465,2,20,25.7,75,19.4,,1009.0,59,27.7,21.0,10.0,30.6,6.0,4,0.898794046299167,0.43837114678907746
1731773400,14.12069798535273,77.83346464349917,38000,468,2,21,26.5,75,20.9,,1009.0,84,28.9,21.8,9.0,32.9,6.0,4,0.992546151641322,0.12186934340514749
1731773499,14.323985706364606,77.87908773424216,38000,465,2,22,26.5,75,20.9,,1009.0,84,28.9,21.8,9.0,32.9,6.0,4,0.992546151641322,0.12186934340514749
1731773595,14.528065788567112,77.92026401301517,38000,466,2,23,26.5,75,20.9,,1009.0,84,28.9,21.8,9.0,32.9,6.0,4,0.992546151641322,0.12186934340514749
1731773692,14.732992036597803,77.95660036700218,38000,466,2,24,27.7,67,21.2,,1009.0,89,29.9,20.9,10.0,30.7,6.0,4,0.9455185755993168,-0.32556815445715664
