timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1731855311,10.153991679012346,76.3907081111111,0,0,354,0,29.3,71,16.6,,1006.0,12,33.7,23.5,10.0,20.2,7.0,5,-0.984807753012208,-0.17364817766693033
1731856623,10.421403372654131,76.66085927082142,14750,355,26,1,26.8,81,7.6,,1009.0,86,30.0,23.2,9.0,11.2,6.0,5,0.9271838545667874,0.37460659341591196
1731856687,10.506826416678226,76.70236628436182,17050,366,26,2,26.8,81,7.6,,1009.0,86,30.0,23.2,9.0,11.2,6.0,5,0.9271838545667874,0.37460659341591196
1731856752,10.62753601065119,76.75746308559965,19000,381,26,3,30.8,63,15.8,,1007.0,79,35.2,22.8,10.0,18.2,7.0,5,0.9612616959383189,0.27563735581699916
1731856848,10.776186716332145,76.8203939127595,21625,398,26,4,30.8,63,15.8,,1007.0,79,35.2,22.8,10.0,18.2,7.0,5,0.9612616959383189,0.27563735581699916
1731856944,10.945157716286456,76.8865925846169,23875,415,26,5,27.9,69,11.2,,1008.0,94,30.6,21.7,10.0,14.3,6.0,5,0.9271838545667874,0.37460659341591196
1731857040,11.127644724340314,76.95327230563768,25750,431,26,6,27.8,73,7.6,,1009.0,55,30.8,22.4,10.0,9.9,6.0,5,0.9945218953682733,-0.10452846326765355
1731857135,11.318330007150855,77.01920150905376,27325,446,26,7,27.8,73,7.6,,1009.0,55,30.8,22.4,10.0,9.9,6.0,5,0.9945218953682733,-0.10452846326765355
1731857229,11.513554686146064,77.08408813016672,28925,449,26,8,27.8,73,7.6,,1009.0,55,30.8,22.4,10.0,9.9,6.0,5,0.9945218953682733,-0.10452846326765355
1731857324,11.711104790845887,77.14799170128917,30175,458,26,9,28.3,73,9.0,,1008.0,74,31.9,23.0,10.0,13.4,6.0,5,0.9961946980917455,0.08715574274765814
1731857417,11.909813104123014,77.2109734340695,31250,468,24,10,25.8,69,13.0,,1008.0,72,27.5,19.8,9.0,19.2,6.0,5,0.9271838545667874,0.37460659341591196
1731857512,12.109154995583738,77.27299105035752,32475,473,16,11,25.8,69,13.0,,1008.0,72,27.5,19.8,9.0,19.2,6.0,5,0.9271838545667874,0.37460659341591196
1731857607,12.308936420422748,77.33394201110872,33750,471,16,12,25.5,71,15.8,,1009.0,56,27.2,19.8,10.0,24.5,6.0,5,0.9986295347545738,-0.05233595624294384
1731857701,12.509097519196734,77.39375157892471,35175,461,16,13,25.5,71,15.8,,1009.0,56,27.2,19.8,10.0,24.5,6.0,5,0.9986295347545738,-0.05233595624294384
1731857797,12.709605390214172,77.4524408390919,36000,456,16,14,26.4,70,15.5,,1008.0,79,28.3,20.5,9.0,23.0,6.0,5,0.9902680687415704,-0.13917310096006535
1731857893,12.910415356548729,77.51012765892526,36000,460,10,15,25.3,64,15.8,,1009.0,80,26.7,18.1,10.0,22.6,6.0,5,0.9945218953682733,0.10452846326765346
1731857989,13.11147625670806,77.56695895168625,36025,461,8,16,25.1,66,15.5,,1009.0,80,26.5,18.4,10.0,21.3,6.0,5,0.9659258262890683,0.25881904510252074
1731858088,13.312749277270743,77.62301089737193,35975,460,8,17,24.6,70,15.5,,1009.0,73,26.2,18.8,10.0,21.7,5.0,5,0.8660254037844386,0.5000000000000001
1731858184,13.514231378668711,77.67818284603239,36000,455,8,18,24.6,71,13.7,,1009.0,86,26.2,18.9,10.0,18.4,5.0,5,0.8910065241883678,0.4539904997395468
1731858283,13.71597259927522,77.73211500851446,35975,453,8,19,24.6,71,13.7,,1009.0,86,26.2,18.9,10.0,18.4,5.0,5,0.8910065241883678,0.4539904997395468
1731858412,13.918079045387191,77.78416400686449,36000,452,8,20,26.0,69,13.7,,1009.0,87,27.7,19.9,10.0,18.6,6.0,5,0.838670567945424,0.5446390350150271
1731858508,14.12069798535273,77.83346464349917,36000,449,8,21,27.1,68,17.3,,1009.0,76,29.3,20.8,9.0,25.7,6.0,5,0.8571673007021123,0.5150380749100542
1731858606,14.323985706364606,77.87908773424216,35975,448,8,22,27.1,68,17.3,,1009.0,76,29.3,20.8,9.0,25.7,6.0,5,0.8571673007021123,0.5150380749100542
1731858703,14.528065788567112,77.92026401301517,36000,449,8,23,27.1,68,17.3,,1009.0,76,29.3,20.8,9.0,25.7,6.0,5,0.8571673007021123,0.5150380749100542
1731858801,14.732992036597803,77.95660036700218,36025,450,8,24,29.5,61,19.1,,1009.0,67,32.3,21.2,10.0,31.4,6.0,5,0.9876883405951378,0.15643446504023092
1731858898,14.938731113169256,77.98819967241155,36025,449,8,25,29.5,61,19.1,,1009.0,67,32.3,21.2,10.0,31.4,6.0,5,0.9876883405951378,0.15643446504023092
1731858992,15.145172025593189,78.01563056959904,36000,447,8,26,29.5,61,19.1,,1009.0,67,32.3,21.2,10.0,31.4,6.0,5,0.9876883405951378,0.15643446504023092
1731859094,15.352157522945175,78.03976332358786,36000,448,8,27,29.4,56,14.4,,1008.0,77,31.3,19.6,10.0,19.7,6.0,5,0.9993908270190958,0.03489949670250108
1731859188,15.559522544700144,78.06154585445285,36000,450,8,28,28.8,68,10.1,,1008.0,87,32.1,22.3,10.0,17.9,6.0,5,0.9743700647852352,-0.22495105434386503
1731859287,15.767125172576735,78.08180579167492,36025,450,8,29,30.6,46,15.5,,1008.0,71,31.7,17.6,10.0,20.4,7.0,5,0.8660254037844386,0.5000000000000001
1731859384,15.974862191506954,78.10112924632486,36000,448,8,30,30.6,46,15.5,,1008.0,71,31.7,17.6,10.0,20.4,7.0,5,0.8660254037844386,0.5000000000000001
1731859478,16.18267029080984,78.11981652679412,36000,449,8,31,29.7,45,15.8,,1009.0,18,30.3,16.4,10.0,21.1,7.0,5,0.9135454576426009,0.4067366430758002
1731859575,16.39051898719864,78.13788559550791,36000,450,8,32,29.7,45,15.8,,1009.0,18,30.3,16.4,10.0,21.1,7.0,5,0.9135454576426009,0.4067366430758002
1731859705,16.598401350575152,78.15509799784533,36000,452,8,33,29.7,45,15.8,,1009.0,18,30.3,16.4,10.0,21.1,7.0,5,0.9135454576426009,0.4067366430758002
