timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1732025722,10.153991679012346,76.3907081111111,0,10,303,0,29.6,65,15.8,,1008.0,15,33.2,22.3,10.0,19.5,7.0,7,-0.9925461516413221,-0.12186934340514717
1732029230,10.421403372654131,76.66085927082142,13500,344,30,1,25.2,79,7.9,,1011.0,74,27.3,21.4,10.0,9.5,6.0,7,0.8571673007021123,0.5150380749100542
1732029292,10.506826416678226,76.70236628436182,15650,359,30,2,25.2,79,7.9,,1011.0,74,27.3,21.4,10.0,9.5,6.0,7,0.8571673007021123,0.5150380749100542
1732029354,10.62753601065119,76.75746308559965,17500,375,30,3,29.7,57,17.3,,1008.0,17,32.2,20.4,10.0,19.9,7.0,7,0.9659258262890683,0.25881904510252074
1732029446,10.776186716332145,76.8203939127595,20350,387,16,4,29.7,57,17.3,,1008.0,17,32.2,20.4,10.0,19.9,7.0,7,0.9659258262890683,0.25881904510252074
1732029573,10.945157716286456,76.8865925846169,24225,389,16,5,27.0,62,14.8,,1010.0,29,28.5,19.1,10.0,17.2,7.0,7,0.8829475928589269,0.46947156278589086
1732029667,11.127644724340314,76.95327230563768,25350,427,16,6,26.4,69,9.4,,1010.0,70,28.3,20.3,10.0,10.8,6.0,7,0.9702957262759965,-0.24192189559966779
1732029763,11.318330007150855,77.01920150905376,27175,434,17,7,26.4,69,9.4,,1010.0,70,28.3,20.3,10.0,10.8,6.0,7,0.9702957262759965,-0.24192189559966779
1732029857,11.513554686146064,77.08408813016672,28550,444,16,8,26.4,69,9.4,,1010.0,70,28.3,20.3,10.0,10.8,6.0,7,0.9702957262759965,-0.24192189559966779
1732029954,11.711104790845887,77.14799170128917,29625,456,16,9,27.9,60,10.1,,1009.0,23,29.6,19.5,10.0,11.8,7.0,7,0.9781476007338056,0.20791169081775945
1732030078,11.909813104123014,77.2109734340695,31675,456,16,10,25.6,56,12.6,,1010.0,30,26.6,16.2,10.0,18.1,7.0,7,0.8829475928589269,0.46947156278589086
1732030174,12.109154995583738,77.27299105035752,32850,466,16,11,25.6,56,12.6,,1010.0,30,26.6,16.2,10.0,18.1,7.0,7,0.8829475928589269,0.46947156278589086
1732030267,12.308936420422748,77.33394201110872,33825,473,15,12,25.4,56,14.0,,1010.0,32,26.4,16.0,10.0,20.7,7.0,7,0.9986295347545738,0.052335956242943966
1732030365,12.509097519196734,77.39375157892471,34875,476,15,13,25.4,56,14.0,,1010.0,32,26.4,16.0,10.0,20.7,7.0,7,0.9986295347545738,0.052335956242943966
1732030434,12.709605390214172,77.4524408390919,35725,473,15,14,27.0,52,12.2,,1010.0,21,27.8,16.4,10.0,14.6,7.0,7,0.9876883405951378,-0.1564344650402308
1732030532,12.910415356548729,77.51012765892526,36000,470,15,15,26.2,47,13.3,,1010.0,14,26.6,14.1,10.0,16.1,7.0,7,0.9455185755993167,0.32556815445715676
