timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1732200280,10.153991679012346,76.3907081111111,0,0,42,0,29.1,66,15.1,,1007.0,74,32.4,22.1,10.0,18.1,6.0,9,-0.961261695938319,-0.2756373558169989
1732201463,10.421403372654131,76.66085927082142,16425,304,26,1,24.9,84,6.5,,1010.0,67,27.2,22.1,10.0,9.1,5.0,9,0.8290375725550417,0.5591929034707468
1732201527,10.506826416678226,76.70236628436182,18875,309,26,2,24.9,84,6.5,,1010.0,67,27.2,22.1,10.0,9.1,5.0,9,0.8290375725550417,0.5591929034707468
1732201621,10.62753601065119,76.75746308559965,21775,330,26,3,30.1,59,15.5,,1008.0,77,33.1,21.2,10.0,17.8,7.0,9,0.9998476951563913,0.0174524064372836
1732201718,10.776186716332145,76.8203939127595,24525,344,26,4,30.1,59,15.5,,1008.0,77,33.1,21.2,10.0,17.8,7.0,9,0.9998476951563913,0.0174524064372836
1732201846,10.945157716286456,76.8865925846169,27375,372,26,5,26.9,68,10.8,,1009.0,85,28.9,20.5,10.0,13.4,6.0,9,0.9612616959383189,0.27563735581699916
1732201939,11.127644724340314,76.95327230563768,28450,406,26,6,27.0,71,8.6,,1010.0,72,29.2,21.2,10.0,9.9,6.0,9,0.981627183447664,-0.1908089953765448
1732202032,11.318330007150855,77.01920150905376,29000,443,26,7,27.0,71,8.6,,1010.0,72,29.2,21.2,10.0,9.9,6.0,9,0.981627183447664,-0.1908089953765448
1732202127,11.513554686146064,77.08408813016672,30175,453,26,8,27.0,71,8.6,,1010.0,72,29.2,21.2,10.0,9.9,6.0,9,0.981627183447664,-0.1908089953765448
1732202220,11.711104790845887,77.14799170128917,31375,462,26,9,28.4,63,7.9,,1009.0,74,30.7,20.6,10.0,9.1,6.0,9,0.9876883405951378,-0.1564344650402308
1732202316,11.909813104123014,77.2109734340695,32850,463,17,10,25.5,63,7.9,,1009.0,81,26.8,18.1,10.0,12.0,6.0,9,0.9781476007338056,0.20791169081775945
1732202409,12.109154995583738,77.27299105035752,34150,461,17,11,25.5,63,7.9,,1009.0,81,26.8,18.1,10.0,12.0,6.0,9,0.9781476007338056,0.20791169081775945
1732202505,12.308936420422748,77.33394201110872,35075,469,17,12,26.9,61,9.0,,1009.0,45,28.2,18.7,10.0,11.6,7.0,9,0.984807753012208,-0.1736481776669303
1732202603,12.509097519196734,77.39375157892471,36000,460,17,13,26.9,61,9.0,,1009.0,45,28.2,18.7,10.0,11.6,7.0,9,0.984807753012208,-0.1736481776669303
1732202702,12.709605390214172,77.4524408390919,36000,463,17,14,27.7,56,6.1,,1009.0,46,28.9,18.2,10.0,7.3,7.0,9,0.9993908270190958,-0.034899496702500955
1732202796,12.910415356548729,77.51012765892526,35975,461,17,15,26.6,53,11.2,,1009.0,23,27.4,16.3,10.0,14.1,7.0,9,0.6427876096865393,0.766044443118978
1732202892,13.11147625670806,77.56695895168625,35975,462,17,16,25.6,58,12.2,,1009.0,28,26.7,16.8,10.0,15.9,7.0,9,0.5299192642332049,0.848048096156426
1732203017,13.312749277270743,77.62301089737193,36025,463,17,17,24.2,66,11.9,,1010.0,44,25.7,17.3,10.0,17.2,6.0,9,0.374606593415912,0.9271838545667874
1732203112,13.514231378668711,77.67818284603239,36025,464,17,18,23.9,66,12.2,,1010.0,46,25.5,17.1,10.0,17.1,6.0,9,0.6819983600624985,0.7313537016191705
1732203207,13.71597259927522,77.73211500851446,36025,466,4,19,23.9,66,12.2,,1010.0,46,25.5,17.1,10.0,17.1,6.0,9,0.6819983600624985,0.7313537016191705
1732203304,13.918079045387191,77.78416400686449,36000,463,2,20,26.6,56,13.0,,1010.0,47,27.6,17.0,10.0,15.9,7.0,9,0.6560590289905073,0.754709580222772
1732203370,14.12069798535273,77.83346464349917,35975,462,2,21,28.6,44,14.0,,1009.0,17,28.9,15.3,10.0,16.2,7.0,9,0.8746197071393957,0.4848096202463371
1732203465,14.323985706364606,77.87908773424216,36000,464,2,22,28.6,44,14.0,,1009.0,17,28.9,15.3,10.0,16.2,7.0,9,0.8746197071393957,0.4848096202463371
1732203561,14.528065788567112,77.92026401301517,36000,466,2,23,28.6,44,14.0,,1009.0,17,28.9,15.3,10.0,16.2,7.0,9,0.8746197071393957,0.4848096202463371
1732203657,14.732992036597803,77.95660036700218,36000,467,2,24,29.6,39,12.2,,1009.0,0,29.5,14.1,10.0,14.1,7.0,9,0.8191520442889918,0.573576436351046
