timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1732375352,10.153991679012346,76.3907081111111,0,1,357,0,29.2,63,15.1,,1007.0,6,32.1,21.5,10.0,18.9,7.0,11,-0.9975640502598243,0.06975647374412522
1732376571,10.421403372654131,76.66085927082142,16800,361,29,1,26.5,70,5.8,,1010.0,85,28.5,20.6,9.0,6.8,6.0,11,0.754709580222772,0.6560590289905073
1732376634,10.506826416678226,76.70236628436182,18750,372,29,2,26.5,70,5.8,,1010.0,85,28.5,20.6,9.0,6.8,6.0,11,0.754709580222772,0.6560590289905073
1732376698,10.62753601065119,76.75746308559965,20425,388,29,3,30.9,52,14.0,,1008.0,5,33.2,19.8,10.0,16.2,8.0,11,0.9876883405951378,0.15643446504023092
1732376793,10.776186716332145,76.8203939127595,23000,400,29,4,30.9,52,14.0,,1008.0,5,33.2,19.8,10.0,16.2,8.0,11,0.9876883405951378,0.15643446504023092
1732376887,10.945157716286456,76.8865925846169,25200,418,29,5,27.4,60,11.5,,1009.0,4,28.9,18.9,10.0,13.4,7.0,11,0.8191520442889918,0.573576436351046
1732376982,11.127644724340314,76.95327230563768,26775,441,29,6,26.5,69,6.1,,1010.0,79,28.4,20.4,10.0,7.1,6.0,11,0.9902680687415704,-0.13917310096006535
1732377079,11.318330007150855,77.01920150905376,28350,454,29,7,26.5,69,6.1,,1010.0,79,28.4,20.4,10.0,7.1,6.0,11,0.9902680687415704,-0.13917310096006535
1732377176,11.513554686146064,77.08408813016672,29550,469,29,8,26.5,69,6.1,,1010.0,79,28.4,20.4,10.0,7.1,6.0,11,0.9902680687415704,-0.13917310096006535
1732377269,11.711104790845887,77.14799170128917,30825,476,29,9,28.3,58,6.5,,1009.0,9,30.0,19.4,10.0,7.5,7.0,11,0.9876883405951378,-0.1564344650402308
1732377332,11.909813104123014,77.2109734340695,31750,478,29,10,24.2,56,6.1,,1010.0,9,25.5,14.9,10.0,10.8,6.0,11,0.7771459614569709,0.6293203910498375
1732377427,12.109154995583738,77.27299105035752,32175,477,26,11,24.2,56,6.1,,1010.0,9,25.5,14.9,10.0,10.8,6.0,11,0.7771459614569709,0.6293203910498375
1732377526,12.308936420422748,77.33394201110872,33800,475,15,12,26.8,51,5.0,,1010.0,14,27.4,15.9,10.0,6.0,7.0,11,0.9902680687415704,0.13917310096006547
1732377623,12.509097519196734,77.39375157892471,34000,474,15,13,26.5,56,3.2,,1010.0,12,27.5,17.1,10.0,4.1,7.0,11,0.9781476007338056,0.20791169081775945
1732377719,12.709605390214172,77.4524408390919,34000,474,15,14,26.4,56,4.0,,1010.0,7,27.4,17.1,10.0,5.4,7.0,11,0.6293203910498374,-0.7771459614569709
1732377819,12.910415356548729,77.51012765892526,34000,474,15,15,26.1,47,4.3,,1010.0,8,26.6,14.0,10.0,6.0,7.0,11,0.6819983600624985,0.7313537016191705
1732377913,13.11147625670806,77.56695895168625,34050,478,15,16,26.0,47,6.1,,1010.0,8,26.5,13.9,10.0,8.2,7.0,11,0.4383711467890774,0.898794046299167
1732378006,13.312749277270743,77.62301089737193,34025,474,15,17,25.6,48,8.6,,1010.0,8,26.2,13.8,10.0,12.0,7.0,11,0.0,1.0
1732378101,13.514231378668711,77.67818284603239,33975,472,15,18,25.5,47,8.6,,1011.0,10,26.1,13.4,10.0,11.8,7.0,11,0.5591929034707469,0.8290375725550417
1732378197,13.71597259927522,77.73211500851446,34000,471,15,19,25.5,47,8.6,,1011.0,10,26.1,13.4,10.0,11.8,7.0,11,0.5591929034707469,0.8290375725550417
1732378293,13.918079045387191,77.78416400686449,34000,471,15,20,27.4,43,9.7,,1010.0,9,27.5,13.6,10.0,12.6,7.0,11,0.29237170472273677,0.9563047559630354
1732378390,14.12069798535273,77.83346464349917,34000,470,15,21,28.8,36,10.4,,1010.0,4,28.3,12.2,10.0,13.1,7.0,11,0.7771459614569709,0.6293203910498375
1732378487,14.323985706364606,77.87908773424216,34000,471,15,22,28.8,36,10.4,,1010.0,4,28.3,12.2,10.0,13.1,7.0,11,0.7771459614569709,0.6293203910498375
1732378590,14.528065788567112,77.92026401301517,34000,472,9,23,28.8,36,10.4,,1010.0,4,28.3,12.2,10.0,13.1,7.0,11,0.7771459614569709,0.6293203910498375
1732378687,14.732992036597803,77.95660036700218,33975,470,9,24,29.5,32,8.3,,1010.0,0,28.6,11.2,10.0,11.0,7.0,11,0.7431448254773942,0.6691306063588582
1732378754,14.938731113169256,77.98819967241155,34000,469,9,25,29.5,32,8.3,,1010.0,0,28.6,11.2,10.0,11.0,7.0,11,0.7431448254773942,0.6691306063588582
1732378852,15.145172025593189,78.01563056959904,34025,470,9,26,29.5,32,8.3,,1010.0,0,28.6,11.2,10.0,11.0,7.0,11,0.7431448254773942,0.6691306063588582
1732378949,15.352157522945175,78.03976332358786,33975,472,359,27,29.3,32,6.8,,1010.0,3,28.5,11.0,10.0,8.4,7.0,11,0.6156614753256583,0.7880107536067219
1732379048,15.559522544700144,78.06154585445285,34025,470,359,28,29.0,42,5.4,,1010.0,0,29.1,14.9,10.0,7.2,7.0,11,-0.4226182617406992,0.90630778703665
1732379144,15.767125172576735,78.08180579167492,33975,468,359,29,29.2,30,6.8,,1010.0,0,28.1,10.0,10.0,9.4,7.0,11,0.20791169081775934,0.9781476007338057
1732379243,15.974862191506954,78.10112924632486,33975,468,359,30,29.2,30,6.8,,1010.0,0,28.1,10.0,10.0,9.4,7.0,11,0.20791169081775934,0.9781476007338057
1732379341,16.18267029080984,78.11981652679412,34000,468,359,31,28.4,32,7.9,,1010.0,0,27.5,10.2,10.0,10.7,7.0,11,0.7431448254773942,0.6691306063588582
1732379435,16.39051898719864,78.13788559550791,34025,467,359,32,28.4,32,7.9,,1010.0,0,27.5,10.2,10.0,10.7,7.0,11,0.7431448254773942,0.6691306063588582
1732379530,16.598401350575152,78.15509799784533,34000,464,359,33,28.4,32,7.9,,1010.0,0,27.5,10.2,10.0,10.7,7.0,11,0.7431448254773942,0.6691306063588582
1732379626,16.806325690522307,78.17100569695916,33975,462,359,34,28.1,31,5.8,,1011.0,4,27.2,9.4,10.0,7.6,7.0,11,0.9335804264972017,0.3583679495453004
1732379724,17.014308473495255,78.18503422329727,33975,463,359,35,26.8,34,9.4,,1011.0,5,26.3,9.6,10.0,13.1,7.0,11,0.4383711467890774,0.898794046299167
1732379822,17.222367707076643,78.19661062697293,34000,468,359,36,26.8,34,9.4,,1011.0,5,26.3,9.6,10.0,13.1,7.0,11,0.4383711467890774,0.898794046299167
1732379917,17.430516590668915,78.20531316302339,34025,467,359,37,27.4,30,7.6,,1011.0,4,26.5,8.5,10.0,9.6,7.0,11,0.6946583704589973,0.7193398003386512
1732380012,17.638758323886687,78.21098723902375,34025,466,359,38,26.8,34,9.4,,1011.0,5,26.3,9.6,10.0,13.1,7.0,11,0.4383711467890774,0.898794046299167
1732380108,17.847082776565195,78.21376990346705,34000,465,359,39,26.6,39,7.6,,1012.0,6,26.5,11.6,10.0,10.3,7.0,11,0.6156614753256583,0.7880107536067219
1732380202,18.05546504929316,78.21399806883615,34025,466,359,40,26.6,39,7.6,,1012.0,6,26.5,11.6,10.0,10.3,7.0,11,0.6156614753256583,0.7880107536067219
1732380299,18.263864507930467,78.21202640460123,34000,465,359,41,26.6,39,7.6,,1012.0,6,26.5,11.6,10.0,10.3,7.0,11,0.6156614753256583,0.7880107536067219
1732380397,18.47222273908981,78.20802190741115,34000,466,359,42,26.4,42,7.2,,1012.0,0,26.5,12.6,10.0,10.0,7.0,11,0.7193398003386512,0.6946583704589973
1732380495,18.68046079691369,78.20181174883378,34000,464,352,43,26.4,42,7.2,,1012.0,0,26.5,12.6,10.0,10.0,7.0,11,0.7193398003386512,0.6946583704589973
1732380595,18.888478895714755,78.19284432773253,34000,464,352,44,26.4,42,7.2,,1012.0,0,26.5,12.6,10.0,10.0,7.0,11,0.7193398003386512,0.6946583704589973
1732380695,19.096163074045776,78.18028954480712,34000,464,352,45,26.4,42,7.2,,1012.0,0,26.5,12.4,10.0,10.3,7.0,11,0.6819983600624985,0.7313537016191705
1732380789,19.303401320495293,78.16325910452946,34000,460,352,46,26.6,39,7.9,,1012.0,2,26.5,11.7,10.0,11.2,7.0,11,0.6427876096865393,0.766044443118978
1732380887,19.510106436793,78.14107873646246,34000,459,351,47,26.5,38,7.2,,1012.0,0,26.4,11.3,10.0,9.4,7.0,11,0.9659258262890683,0.25881904510252074
1732380985,19.716237572663857,78.1135126155324,34000,461,351,48,26.5,38,7.2,,1012.0,0,26.4,11.3,10.0,9.4,7.0,11,0.9659258262890683,0.25881904510252074
1732381082,19.92181101242469,78.08085193502792,34025,463,351,49,27.2,35,7.6,,1012.0,4,26.7,10.6,10.0,10.3,7.0,11,0.9335804264972017,0.3583679495453004
1732381180,20.126894837528983,78.04383678174275,34000,462,352,50,27.2,35,7.6,,1012.0,4,26.7,10.6,10.0,10.3,7.0,11,0.9335804264972017,0.3583679495453004
1732381273,20.331590123955017,78.003458672281,34000,461,351,51,22.8,43,7.2,,1012.0,0,24.4,9.6,10.0,15.1,6.0,11,0.9961946980917455,0.08715574274765814
1732381370,20.53600747083258,77.96073736564827,34000,461,351,52,22.8,43,7.2,,1012.0,0,24.4,9.6,10.0,15.1,6.0,11,0.9961946980917455,0.08715574274765814
1732381468,20.740248697785496,77.91656272576309,34000,462,351,53,23.9,41,1.4,,1012.0,4,24.8,9.7,10.0,3.0,6.0,11,-0.35836794954530077,0.9335804264972015
1732381566,20.94439977444528,77.87164271633473,34000,462,351,54,23.9,41,1.4,,1012.0,4,24.8,9.7,10.0,3.0,6.0,11,-0.35836794954530077,0.9335804264972015
1732381666,21.148534954971748,77.82654673205869,34025,460,351,55,22.4,46,1.4,,1013.0,6,24.4,10.3,10.0,3.0,6.0,11,-0.5299192642332048,-0.8480480961564261
1732381763,21.35272719374521,77.78179703845348,33975,456,351,56,22.4,46,1.4,,1013.0,6,24.4,10.3,10.0,3.0,6.0,11,-0.5299192642332048,-0.8480480961564261
1732381860,21.55705760157928,77.73795061630145,34000,456,351,57,19.7,47,9.7,,1014.0,0,19.7,8.2,10.0,20.4,5.0,11,0.27563735581699916,0.9612616959383189
1732381954,21.7616172703183,77.695623731641,34000,456,351,58,19.7,47,9.7,,1014.0,0,19.7,8.2,10.0,20.4,5.0,11,0.27563735581699916,0.9612616959383189
1732382051,21.966498160951,77.65543764995141,34000,457,351,59,19.7,47,9.7,,1014.0,0,19.7,8.2,10.0,20.4,5.0,11,0.27563735581699916,0.9612616959383189
1732382151,22.17177525198118,77.61790168270977,34025,456,351,60,19.7,47,9.7,,1014.0,0,19.7,8.2,10.0,20.4,5.0,11,0.27563735581699916,0.9612616959383189
1732382252,22.37748742674377,77.58328468971064,34025,453,351,61,20.6,37,6.1,,1013.0,0,20.6,5.5,10.0,12.9,6.0,11,0.9563047559630354,0.29237170472273677
1732382348,22.583626504785705,77.55153946681057,33975,452,351,62,20.6,37,6.1,,1013.0,0,20.6,5.5,10.0,12.9,6.0,11,0.9563047559630354,0.29237170472273677
1732382448,22.790140226885768,77.52232095359082,34000,450,351,63,20.9,35,7.2,,1013.0,0,20.9,4.8,10.0,15.1,6.0,11,0.9945218953682733,-0.10452846326765355
