timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1732719953,10.153991679012346,76.3907081111111,0,4,106,0,28.2,67,11.2,,1005.0,25,30.9,21.6,10.0,14.4,7.0,15,-0.9612616959383188,0.2756373558169994
1732720789,10.421403372654131,76.66085927082142,13725,337,19,1,25.5,65,3.2,,1007.0,21,26.9,18.4,10.0,3.7,7.0,15,0.754709580222772,0.6560590289905073
1732720851,10.506826416678226,76.70236628436182,16050,352,19,2,25.5,65,3.2,,1007.0,21,26.9,18.4,10.0,3.7,7.0,15,0.754709580222772,0.6560590289905073
1732720946,10.62753601065119,76.75746308559965,19600,352,19,3,28.9,61,8.3,,1006.0,79,31.2,20.6,9.0,9.8,6.0,15,1.0,6.123233995736766e-17
1732721040,10.776186716332145,76.8203939127595,23100,343,19,4,28.9,61,8.3,,1006.0,79,31.2,20.6,9.0,9.8,6.0,15,1.0,6.123233995736766e-17
1732721135,10.945157716286456,76.8865925846169,25225,366,19,5,26.3,68,7.9,,1006.0,71,28.0,19.8,10.0,10.1,6.0,15,0.9510565162951535,0.30901699437494745
1732721264,11.127644724340314,76.95327230563768,27800,390,19,6,26.0,72,6.5,,1007.0,58,27.9,20.5,10.0,7.5,6.0,15,0.9612616959383189,0.27563735581699916
1732721360,11.318330007150855,77.01920150905376,29450,400,19,7,26.0,72,6.5,,1007.0,58,27.9,20.5,10.0,7.5,6.0,15,0.9612616959383189,0.27563735581699916
1732721486,11.513554686146064,77.08408813016672,31100,424,19,8,26.0,72,6.5,,1007.0,58,27.9,20.5,10.0,7.5,6.0,15,0.9612616959383189,0.27563735581699916
1732721585,11.711104790845887,77.14799170128917,32000,442,19,9,27.1,64,4.0,,1006.0,25,28.7,19.6,10.0,4.6,7.0,15,-0.2588190451025207,0.9659258262890683
1732721684,11.909813104123014,77.2109734340695,32000,451,15,10,21.9,70,7.2,,1008.0,53,21.9,16.1,10.0,12.5,5.0,15,0.4067366430758002,0.9135454576426009
1732721778,12.109154995583738,77.27299105035752,31975,448,15,11,21.9,70,7.2,,1008.0,53,21.9,16.1,10.0,12.5,5.0,15,0.4067366430758002,0.9135454576426009
1732721875,12.308936420422748,77.33394201110872,31975,450,15,12,23.4,64,13.0,,1008.0,32,25.1,16.2,10.0,19.6,6.0,15,0.42261826174069944,0.9063077870366499
1732721971,12.509097519196734,77.39375157892471,32050,447,15,13,23.4,64,13.0,,1008.0,32,25.1,16.2,10.0,19.6,6.0,15,0.42261826174069944,0.9063077870366499
1732722072,12.709605390214172,77.4524408390919,32000,448,15,14,24.6,64,13.3,,1008.0,55,26.0,17.4,10.0,16.1,6.0,15,0.3255681544571567,0.9455185755993168
1732722164,12.910415356548729,77.51012765892526,32000,446,15,15,22.2,62,18.7,,1008.0,9,24.6,14.7,10.0,23.9,6.0,15,0.3255681544571567,0.9455185755993168
1732722263,13.11147625670806,77.56695895168625,32000,460,10,16,21.9,63,19.4,,1008.0,8,21.9,14.6,10.0,23.8,6.0,15,0.3255681544571567,0.9455185755993168
1732722356,13.312749277270743,77.62301089737193,32000,468,7,17,21.6,64,20.2,,1009.0,8,21.7,14.6,10.0,25.1,6.0,15,0.39073112848927377,0.9205048534524404
1732722451,13.514231378668711,77.67818284603239,32000,468,7,18,20.8,66,16.9,,1009.0,8,20.8,14.2,10.0,21.4,6.0,15,0.29237170472273677,0.9563047559630354
1732722552,13.71597259927522,77.73211500851446,32000,470,7,19,20.8,66,16.9,,1009.0,8,20.8,14.2,10.0,21.4,6.0,15,0.29237170472273677,0.9563047559630354
1732722645,13.918079045387191,77.78416400686449,32000,452,7,20,23.3,58,15.8,,1008.0,13,25.0,14.6,10.0,18.9,6.0,15,0.45399049973954675,0.8910065241883679
1732722771,14.12069798535273,77.83346464349917,32000,447,7,21,25.2,51,12.6,,1008.0,9,26.0,14.2,10.0,15.3,7.0,15,0.6427876096865393,0.766044443118978
1732722868,14.323985706364606,77.87908773424216,32000,435,7,22,25.2,51,12.6,,1008.0,9,26.0,14.2,10.0,15.3,7.0,15,0.6427876096865393,0.766044443118978
1732722965,14.528065788567112,77.92026401301517,32000,440,7,23,25.2,51,12.6,,1008.0,9,26.0,14.2,10.0,15.3,7.0,15,0.6427876096865393,0.766044443118978
1732723060,14.732992036597803,77.95660036700218,32000,442,7,24,25.9,46,9.4,,1008.0,91,26.3,13.4,10.0,11.5,6.0,15,0.5446390350150271,0.838670567945424
1732723155,14.938731113169256,77.98819967241155,32000,436,7,25,25.9,46,9.4,,1008.0,91,26.3,13.4,10.0,11.5,6.0,15,0.5446390350150271,0.838670567945424
1732723253,15.145172025593189,78.01563056959904,32000,437,7,26,24.5,50,6.8,,1008.0,99,25.5,13.2,10.0,11.1,5.0,15,0.8290375725550417,0.5591929034707468
1732723379,15.352157522945175,78.03976332358786,32000,442,7,27,25.1,43,11.5,,1009.0,37,25.6,11.6,10.0,16.2,7.0,15,0.39073112848927377,0.9205048534524404
1732723480,15.559522544700144,78.06154585445285,32000,440,7,28,25.7,48,4.3,,1008.0,81,26.3,14.0,10.0,6.7,6.0,15,-0.2588190451025207,0.9659258262890683
1732723574,15.767125172576735,78.08180579167492,32000,452,7,29,25.0,41,14.8,,1009.0,34,25.4,10.8,10.0,23.3,6.0,15,0.6018150231520483,0.7986355100472928
1732723673,15.974862191506954,78.10112924632486,32000,452,7,30,25.0,41,14.8,,1009.0,34,25.4,10.8,10.0,23.3,6.0,15,0.6018150231520483,0.7986355100472928
1732723771,16.18267029080984,78.11981652679412,32000,447,7,31,23.8,44,14.8,,1009.0,6,24.9,10.9,10.0,24.9,6.0,15,0.9961946980917455,0.08715574274765814
1732723868,16.39051898719864,78.13788559550791,32000,450,7,32,23.8,44,14.8,,1009.0,6,24.9,10.9,10.0,24.9,6.0,15,0.9961946980917455,0.08715574274765814
1732723967,16.598401350575152,78.15509799784533,32000,451,7,33,23.8,44,14.8,,1009.0,6,24.9,10.9,10.0,24.9,6.0,15,0.9961946980917455,0.08715574274765814
1732724065,16.806325690522307,78.17100569695916,32000,454,7,34,23.6,40,11.9,,1009.0,3,24.6,9.1,10.0,21.7,6.0,15,0.898794046299167,0.43837114678907746
1732724159,17.014308473495255,78.18503422329727,32000,451,7,35,22.7,37,14.4,,1010.0,0,24.1,7.4,10.0,24.6,6.0,15,0.45399049973954675,0.8910065241883679
1732724258,17.222367707076643,78.19661062697293,32000,449,7,36,22.7,37,14.4,,1010.0,0,24.1,7.4,10.0,24.6,6.0,15,0.45399049973954675,0.8910065241883679
1732724356,17.430516590668915,78.20531316302339,32000,454,7,37,22.6,35,16.2,,1010.0,0,23.9,6.4,10.0,23.8,6.0,15,0.6427876096865393,0.766044443118978
1732724453,17.638758323886687,78.21098723902375,32000,451,7,38,22.7,37,14.4,,1010.0,0,24.1,7.4,10.0,24.6,6.0,15,0.45399049973954675,0.8910065241883679
