timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1733583281,10.153991679012346,76.3907081111111,0,6,101,0,28.6,71,15.5,,1008.0,6,32.1,22.8,10.0,18.7,7.0,25,-0.9961946980917455,-0.08715574274765825
1733584063,10.421403372654131,76.66085927082142,14775,356,26,1,23.4,77,2.9,,1010.0,83,25.3,19.2,10.0,4.1,5.0,25,0.573576436351046,0.8191520442889918
1733584125,10.506826416678226,76.70236628436182,16775,373,26,2,23.4,77,2.9,,1010.0,83,25.3,19.2,10.0,4.1,5.0,25,0.573576436351046,0.8191520442889918
1733584189,10.62753601065119,76.75746308559965,18650,385,26,3,31.5,54,7.2,,1007.0,72,34.8,20.9,9.0,8.3,7.0,25,0.981627183447664,-0.1908089953765448
1733584283,10.776186716332145,76.8203939127595,21425,393,26,4,31.5,54,7.2,,1007.0,72,34.8,20.9,9.0,8.3,7.0,25,0.981627183447664,-0.1908089953765448
1733584379,10.945157716286456,76.8865925846169,23850,406,26,5,29.4,56,6.8,,1008.0,84,31.5,19.8,10.0,7.9,6.0,25,0.9563047559630354,0.29237170472273677
1733584475,11.127644724340314,76.95327230563768,25850,426,26,6,28.0,66,4.7,,1009.0,87,30.3,21.0,9.0,5.8,6.0,25,0.8090169943749475,-0.587785252292473
1733584569,11.318330007150855,77.01920150905376,27325,445,26,7,28.0,66,4.7,,1009.0,87,30.3,21.0,9.0,5.8,6.0,25,0.8090169943749475,-0.587785252292473
1733584664,11.513554686146064,77.08408813016672,28800,453,26,8,28.0,66,4.7,,1009.0,87,30.3,21.0,9.0,5.8,6.0,25,0.8090169943749475,-0.587785252292473
1733584760,11.711104790845887,77.14799170128917,30025,462,26,9,29.7,60,3.2,,1008.0,76,32.5,21.0,10.0,3.9,6.0,25,0.9510565162951536,-0.30901699437494734
1733584858,11.909813104123014,77.2109734340695,31325,471,21,10,26.2,56,5.4,,1008.0,89,27.2,16.8,10.0,9.0,6.0,25,0.9945218953682733,0.10452846326765346
1733584952,12.109154995583738,77.27299105035752,33100,464,16,11,26.2,56,5.4,,1008.0,89,27.2,16.8,10.0,9.0,6.0,25,0.9945218953682733,0.10452846326765346
1733585047,12.308936420422748,77.33394201110872,34350,466,16,12,26.0,64,7.9,,1008.0,89,27.4,18.7,9.0,12.6,6.0,25,0.8191520442889917,-0.5735764363510462
1733585142,12.509097519196734,77.39375157892471,35525,467,16,13,26.0,64,7.9,,1008.0,89,27.4,18.7,9.0,12.6,6.0,25,0.8191520442889917,-0.5735764363510462
1733585240,12.709605390214172,77.4524408390919,36000,468,16,14,27.6,56,6.5,,1008.0,45,28.9,18.2,10.0,8.5,7.0,25,0.766044443118978,-0.6427876096865394
1733585339,12.910415356548729,77.51012765892526,36000,469,16,15,26.0,61,11.2,,1008.0,73,27.3,18.0,10.0,15.1,6.0,25,0.9135454576426009,-0.40673664307580026
1733585433,13.11147625670806,77.56695895168625,35975,472,16,16,26.0,62,10.8,,1009.0,80,27.2,18.1,10.0,15.5,6.0,25,0.9925461516413221,-0.12186934340514737
1733585529,13.312749277270743,77.62301089737193,36025,474,16,17,25.8,62,11.5,,1009.0,84,27.1,18.0,10.0,16.0,6.0,25,0.8571673007021123,0.5150380749100542
1733585627,13.514231378668711,77.67818284603239,36025,474,16,18,25.7,64,12.6,,1009.0,83,27.1,18.5,10.0,23.4,6.0,25,0.9335804264972017,0.3583679495453004
1733585725,13.71597259927522,77.73211500851446,35975,471,16,19,25.7,64,12.6,,1009.0,83,27.1,18.5,10.0,23.4,6.0,25,0.9335804264972017,0.3583679495453004
1733585822,13.918079045387191,77.78416400686449,36000,470,16,20,28.0,58,15.1,,1008.0,89,29.5,18.9,9.0,23.8,6.0,25,0.9455185755993167,0.32556815445715676
1733585921,14.12069798535273,77.83346464349917,35975,468,16,21,31.0,46,16.6,,1008.0,46,32.4,18.0,10.0,19.0,8.0,25,0.9563047559630354,0.29237170472273677
1733586016,14.323985706364606,77.87908773424216,35975,471,16,22,31.0,46,16.6,,1008.0,46,32.4,18.0,10.0,19.0,8.0,25,0.9563047559630354,0.29237170472273677
1733586113,14.528065788567112,77.92026401301517,36050,474,7,23,31.0,46,16.6,,1008.0,46,32.4,18.0,10.0,19.0,8.0,25,0.9563047559630354,0.29237170472273677
1733586210,14.732992036597803,77.95660036700218,36025,468,5,24,31.8,47,16.2,,1007.0,46,33.8,18.9,10.0,18.6,8.0,25,0.9945218953682733,0.10452846326765346
1733586307,14.938731113169256,77.98819967241155,35950,465,5,25,31.8,47,16.2,,1007.0,46,33.8,18.9,10.0,18.6,8.0,25,0.9945218953682733,0.10452846326765346
1733586403,15.145172025593189,78.01563056959904,35975,468,5,26,31.8,47,16.2,,1007.0,46,33.8,18.9,10.0,18.6,8.0,25,0.9945218953682733,0.10452846326765346
1733586503,15.352157522945175,78.03976332358786,36025,468,5,27,30.9,47,13.0,,1008.0,45,32.4,18.3,10.0,14.9,8.0,25,0.9925461516413221,-0.12186934340514737
1733586599,15.559522544700144,78.06154585445285,36000,468,5,28,30.8,56,7.2,,1007.0,46,34.0,21.1,10.0,9.9,8.0,25,0.6156614753256584,-0.7880107536067219
1733586696,15.767125172576735,78.08180579167492,36000,468,5,29,30.4,48,9.4,,1008.0,30,31.8,18.1,10.0,11.6,8.0,25,0.838670567945424,-0.5446390350150271
1733586793,15.974862191506954,78.10112924632486,36000,468,5,30,30.4,48,9.4,,1008.0,30,31.8,18.1,10.0,11.6,8.0,25,0.838670567945424,-0.5446390350150271
1733586859,16.18267029080984,78.11981652679412,35975,468,5,31,29.0,50,5.8,,1008.0,22,30.0,17.5,10.0,7.0,7.0,25,0.19080899537654497,-0.981627183447664
1733586956,16.39051898719864,78.13788559550791,36000,472,5,32,29.0,50,5.8,,1008.0,22,30.0,17.5,10.0,7.0,7.0,25,0.19080899537654497,-0.981627183447664
1733587081,16.598401350575152,78.15509799784533,36000,472,5,33,29.0,50,5.8,,1008.0,22,30.0,17.5,10.0,7.0,7.0,25,0.19080899537654497,-0.981627183447664
1733587147,16.806325690522307,78.17100569695916,36000,473,5,34,29.4,46,7.9,,1008.0,14,30.1,16.7,10.0,9.1,7.0,25,-0.17364817766693047,-0.984807753012208
1733587246,17.014308473495255,78.18503422329727,36000,472,5,35,26.5,58,6.8,,1009.0,82,27.6,17.5,10.0,10.4,6.0,25,-0.9876883405951377,-0.15643446504023104
1733587346,17.222367707076643,78.19661062697293,36025,470,5,36,26.5,58,6.8,,1009.0,82,27.6,17.5,10.0,10.4,6.0,25,-0.9876883405951377,-0.15643446504023104
1733587442,17.430516590668915,78.20531316302339,35975,470,5,37,27.0,56,0.4,,1009.0,85,28.0,17.4,10.0,0.5,6.0,25,0.10452846326765373,-0.9945218953682733
1733587537,17.638758323886687,78.21098723902375,35975,472,5,38,26.5,58,6.8,,1009.0,82,27.6,17.5,10.0,10.4,6.0,25,-0.9876883405951377,-0.15643446504023104
1733587636,17.847082776565195,78.21376990346705,36000,475,5,39,26.8,57,6.1,,1009.0,81,27.8,17.5,10.0,9.4,6.0,25,1.2246467991473532e-16,-1.0
1733587735,18.05546504929316,78.21399806883615,36025,480,5,40,26.8,57,6.1,,1009.0,81,27.8,17.5,10.0,9.4,6.0,25,1.2246467991473532e-16,-1.0
1733587832,18.263864507930467,78.21202640460123,35425,475,5,41,26.8,57,6.1,,1009.0,81,27.8,17.5,10.0,9.4,6.0,25,1.2246467991473532e-16,-1.0
1733587899,18.47222273908981,78.20802190741115,35000,476,12,42,28.0,60,5.0,,1008.0,80,29.7,19.5,10.0,8.1,6.0,25,0.838670567945424,-0.5446390350150271
1733588014,18.68046079691369,78.20181174883378,35000,473,2,43,28.0,60,5.0,,1008.0,80,29.7,19.5,10.0,8.1,6.0,25,0.838670567945424,-0.5446390350150271
1733588116,18.888478895714755,78.19284432773253,35000,463,349,44,28.0,60,5.0,,1008.0,80,29.7,19.5,10.0,8.1,6.0,25,0.838670567945424,-0.5446390350150271
1733588212,19.096163074045776,78.18028954480712,34975,461,349,45,28.9,54,3.2,,1008.0,13,30.4,18.8,10.0,5.3,7.0,25,0.9876883405951378,-0.1564344650402308
1733588310,19.303401320495293,78.16325910452946,35000,465,349,46,29.0,53,5.4,,1008.0,16,30.5,18.6,10.0,8.6,7.0,25,0.90630778703665,-0.42261826174069933
1733588410,19.510106436793,78.14107873646246,35025,466,349,47,28.7,52,9.4,,1008.0,15,29.9,18.0,10.0,13.5,7.0,25,0.981627183447664,-0.1908089953765448
1733588506,19.716237572663857,78.1135126155324,35350,474,349,48,28.7,52,9.4,,1008.0,15,29.9,18.0,10.0,13.5,7.0,25,0.981627183447664,-0.1908089953765448
