timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1734101336,10.153991679012346,76.3907081111111,0,3,270,0,28.3,71,5.4,,1007.0,50,31.5,22.5,10.0,7.0,6.0,31,-0.6819983600624984,-0.7313537016191706
1734102309,10.421403372654131,76.66085927082142,13900,353,20,1,23.4,93,5.8,,1010.0,87,25.8,22.2,10.0,6.8,5.0,31,0.9702957262759965,0.24192189559966767
1734102341,10.506826416678226,76.70236628436182,15200,358,20,2,23.4,93,5.8,,1010.0,87,25.8,22.2,10.0,6.8,5.0,31,0.9702957262759965,0.24192189559966767
1734102437,10.62753601065119,76.75746308559965,18225,382,20,3,28.0,73,18.4,,1008.0,58,31.2,22.7,10.0,22.8,6.0,31,0.9986295347545738,0.052335956242943966
1734102534,10.776186716332145,76.8203939127595,21050,400,20,4,28.0,73,18.4,,1008.0,58,31.2,22.7,10.0,22.8,6.0,31,0.9986295347545738,0.052335956242943966
1734102600,10.945157716286456,76.8865925846169,22625,414,20,5,25.1,81,11.2,,1009.0,100,27.3,21.6,10.0,18.2,6.0,31,0.9563047559630354,0.29237170472273677
1734102725,11.127644724340314,76.95327230563768,25325,438,20,6,25.4,81,8.3,,1009.0,74,27.8,21.9,10.0,11.9,6.0,31,0.9876883405951378,0.15643446504023092
1734102821,11.318330007150855,77.01920150905376,27200,450,20,7,25.4,81,8.3,,1009.0,74,27.8,21.9,10.0,11.9,6.0,31,0.9876883405951378,0.15643446504023092
1734102914,11.513554686146064,77.08408813016672,29450,439,20,8,25.4,81,8.3,,1009.0,74,27.8,21.9,10.0,11.9,6.0,31,0.9876883405951378,0.15643446504023092
1734103008,11.711104790845887,77.14799170128917,31675,431,20,9,25.1,80,7.6,,1009.0,88,27.2,21.4,10.0,9.9,6.0,31,0.984807753012208,-0.1736481776669303
1734103104,11.909813104123014,77.2109734340695,33475,429,20,10,24.7,73,12.6,,1009.0,83,26.4,19.6,10.0,16.4,5.0,31,0.9993908270190958,0.03489949670250108
1734103232,12.109154995583738,77.27299105035752,35050,440,20,11,24.7,73,12.6,,1009.0,83,26.4,19.6,10.0,16.4,5.0,31,0.9993908270190958,0.03489949670250108
1734103327,12.308936420422748,77.33394201110872,36000,448,15,12,23.7,76,16.6,,1009.0,82,25.5,19.2,10.0,24.5,5.0,31,0.9986295347545738,0.052335956242943966
1734103423,12.509097519196734,77.39375157892471,36000,473,15,13,23.7,76,16.6,,1009.0,82,25.5,19.2,10.0,24.5,5.0,31,0.9986295347545738,0.052335956242943966
1734103519,12.709605390214172,77.4524408390919,36000,470,15,14,24.6,74,14.8,,1009.0,63,26.4,19.7,10.0,20.7,5.0,31,0.9975640502598242,-0.06975647374412533
1734103616,12.910415356548729,77.51012765892526,36025,474,15,15,24.0,67,18.7,,1010.0,64,25.6,17.5,10.0,23.7,5.0,31,0.9986295347545738,-0.05233595624294384
1734103712,13.11147625670806,77.56695895168625,36025,475,15,16,24.0,68,16.2,,1010.0,54,25.7,17.7,10.0,20.3,5.0,31,0.9975640502598242,0.06975647374412523
1734103811,13.312749277270743,77.62301089737193,36000,476,10,17,23.7,70,13.0,,1010.0,65,25.4,18.0,10.0,17.5,5.0,31,0.8090169943749475,0.5877852522924731
1734103906,13.514231378668711,77.67818284603239,35975,476,7,18,22.3,78,16.6,,1010.0,100,24.7,18.4,10.0,21.0,5.0,31,0.7986355100472928,0.6018150231520484
1734104000,13.71597259927522,77.73211500851446,36025,477,7,19,22.3,78,16.6,,1010.0,100,24.7,18.4,10.0,21.0,5.0,31,0.7986355100472928,0.6018150231520484
1734104093,13.918079045387191,77.78416400686449,36000,476,7,20,23.6,76,14.0,,1010.0,67,25.5,19.1,10.0,18.4,5.0,31,0.9271838545667874,0.37460659341591196
1734104188,14.12069798535273,77.83346464349917,35975,476,7,21,26.9,61,15.5,,1009.0,83,28.3,18.8,10.0,18.5,6.0,31,0.981627183447664,0.19080899537654492
1734104251,14.323985706364606,77.87908773424216,36000,477,7,22,26.9,61,15.5,,1009.0,83,28.3,18.8,10.0,18.5,6.0,31,0.981627183447664,0.19080899537654492
1734104349,14.528065788567112,77.92026401301517,36000,477,2,23,26.9,61,15.5,,1009.0,83,28.3,18.8,10.0,18.5,6.0,31,0.981627183447664,0.19080899537654492
1734104445,14.732992036597803,77.95660036700218,36000,478,2,24,28.4,57,15.8,,1009.0,94,30.0,19.0,10.0,18.4,6.0,31,0.9743700647852352,0.22495105434386492
1734104539,14.938731113169256,77.98819967241155,36000,479,2,25,28.4,57,15.8,,1009.0,94,30.0,19.0,10.0,18.4,6.0,31,0.9743700647852352,0.22495105434386492
1734104633,15.145172025593189,78.01563056959904,36000,480,2,26,28.4,57,15.8,,1009.0,94,30.0,19.0,10.0,18.4,6.0,31,0.9743700647852352,0.22495105434386492
1734104729,15.352157522945175,78.03976332358786,36000,482,2,27,28.0,56,13.3,,1009.0,68,29.2,18.3,10.0,15.3,6.0,31,0.9781476007338056,0.20791169081775945
