timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1736088632,10.153991679012346,76.3907081111111,0,3,267,0,28.1,55,16.6,,1009.0,0,29.4,18.3,10.0,19.6,7.0,54,-0.984807753012208,-0.17364817766693033
1736089796,10.421403372654131,76.66085927082142,14450,369,15,1,25.0,44,5.0,,1010.0,3,25.6,11.9,10.0,5.9,6.0,54,0.27563735581699916,0.9612616959383189
1736089828,10.506826416678226,76.70236628436182,15600,372,16,2,25.0,44,5.0,,1010.0,3,25.6,11.9,10.0,5.9,6.0,54,0.27563735581699916,0.9612616959383189
1736089893,10.62753601065119,76.75746308559965,17350,396,15,3,30.7,38,16.2,,1009.0,0,30.8,14.9,10.0,18.6,8.0,54,0.9998476951563913,-0.017452406437283477
1736089987,10.776186716332145,76.8203939127595,20600,394,14,4,30.7,38,16.2,,1009.0,0,30.8,14.9,10.0,18.6,8.0,54,0.9998476951563913,-0.017452406437283477
1736090125,10.945157716286456,76.8865925846169,23600,421,28,5,27.7,45,12.6,,1010.0,0,27.9,14.6,10.0,14.5,7.0,54,0.9063077870366499,0.42261826174069944
1736090221,11.127644724340314,76.95327230563768,25425,440,28,6,27.3,50,9.0,,1011.0,10,27.9,16.0,10.0,10.4,7.0,54,0.9925461516413221,-0.12186934340514737
1736090319,11.318330007150855,77.01920150905376,27075,455,28,7,27.3,50,9.0,,1011.0,10,27.9,16.0,10.0,10.4,7.0,54,0.9925461516413221,-0.12186934340514737
1736090413,11.513554686146064,77.08408813016672,28575,459,28,8,27.3,50,9.0,,1011.0,10,27.9,16.0,10.0,10.4,7.0,54,0.9925461516413221,-0.12186934340514737
1736090508,11.711104790845887,77.14799170128917,29725,468,28,9,27.6,43,9.4,,1010.0,4,27.7,13.9,10.0,10.8,7.0,54,0.9510565162951536,-0.30901699437494734
1736090604,11.909813104123014,77.2109734340695,30000,471,28,10,26.7,36,7.9,,1010.0,3,26.4,10.6,10.0,9.1,7.0,54,0.9876883405951378,0.15643446504023092
1736090700,12.109154995583738,77.27299105035752,31150,469,15,11,26.7,36,7.9,,1010.0,3,26.4,10.6,10.0,9.1,7.0,54,0.9876883405951378,0.15643446504023092
1736090794,12.308936420422748,77.33394201110872,32700,465,15,12,26.8,35,12.2,,1010.0,5,26.4,10.2,10.0,14.1,7.0,54,0.9993908270190958,-0.034899496702500955
1736090887,12.509097519196734,77.39375157892471,34250,457,15,13,26.8,35,12.2,,1010.0,5,26.4,10.2,10.0,14.1,7.0,54,0.9993908270190958,-0.034899496702500955
1736090982,12.709605390214172,77.4524408390919,35825,444,15,14,27.7,31,11.2,,1010.0,4,26.8,9.1,10.0,12.9,7.0,54,0.9876883405951378,-0.1564344650402308
1736091077,12.910415356548729,77.51012765892526,36000,450,15,15,26.0,33,12.6,,1011.0,4,25.6,8.6,10.0,14.5,7.0,54,0.9961946980917455,-0.08715574274765824
1736091173,13.11147625670806,77.56695895168625,36000,450,15,16,25.9,33,12.6,,1011.0,4,25.6,8.7,10.0,14.5,7.0,54,0.9975640502598242,-0.06975647374412533
1736091268,13.312749277270743,77.62301089737193,36000,450,3,17,26.1,32,12.2,,1011.0,4,25.6,8.2,10.0,14.1,7.0,54,1.0,6.123233995736766e-17
1736091362,13.514231378668711,77.67818284603239,36025,450,3,18,25.8,34,12.2,,1011.0,4,25.6,9.0,10.0,14.1,7.0,54,0.9993908270190958,-0.034899496702500955
