timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1737297816,10.153991679012346,76.3907081111111,0,2,357,0,26.4,76,4.7,,1008.0,52,28.9,21.9,10.0,5.4,7.0,68,-0.1564344650402311,0.9876883405951377
1737299132,10.421403372654131,76.66085927082142,13200,364,26,1,21.0,79,7.9,,1010.0,62,21.0,17.3,10.0,12.2,5.0,68,0.8290375725550417,0.5591929034707468
1737299194,10.506826416678226,76.70236628436182,15500,373,26,2,21.0,79,7.9,,1010.0,62,21.0,17.3,10.0,12.2,5.0,68,0.8290375725550417,0.5591929034707468
1737299257,10.62753601065119,76.75746308559965,17575,383,26,3,29.9,55,15.1,,1008.0,74,32.1,19.9,10.0,17.4,6.0,68,0.981627183447664,0.19080899537654492
1737299353,10.776186716332145,76.8203939127595,20275,400,26,4,29.9,55,15.1,,1008.0,74,32.1,19.9,10.0,17.4,6.0,68,0.981627183447664,0.19080899537654492
1737299447,10.945157716286456,76.8865925846169,22900,409,26,5,27.1,61,13.0,,1009.0,100,28.6,19.1,10.0,15.3,6.0,68,0.8290375725550417,0.5591929034707468
1737299541,11.127644724340314,76.95327230563768,24775,414,26,6,27.5,62,8.3,,1010.0,77,29.2,19.5,10.0,9.6,6.0,68,0.9975640502598242,0.06975647374412523
1737299666,11.318330007150855,77.01920150905376,26525,444,26,7,27.5,62,8.3,,1010.0,77,29.2,19.5,10.0,9.6,6.0,68,0.9975640502598242,0.06975647374412523
1737299763,11.513554686146064,77.08408813016672,27000,472,26,8,27.5,62,8.3,,1010.0,77,29.2,19.5,10.0,9.6,6.0,68,0.9975640502598242,0.06975647374412523
1737299860,11.711104790845887,77.14799170128917,27000,466,26,9,27.6,59,13.3,,1009.0,83,29.2,19.0,10.0,15.5,6.0,68,0.7986355100472928,0.6018150231520484
1737299953,11.909813104123014,77.2109734340695,28400,461,26,10,25.5,59,13.7,,1009.0,75,26.6,16.9,10.0,17.8,6.0,68,0.981627183447664,-0.1908089953765448
1737300049,12.109154995583738,77.27299105035752,30175,453,25,11,25.5,59,13.7,,1009.0,75,26.6,16.9,10.0,17.8,6.0,68,0.981627183447664,-0.1908089953765448
1737300146,12.308936420422748,77.33394201110872,32000,449,20,12,26.3,60,17.3,,1009.0,85,27.4,17.8,10.0,23.7,6.0,68,0.9993908270190958,-0.034899496702500955
1737300243,12.509097519196734,77.39375157892471,32000,460,20,13,26.3,60,17.3,,1009.0,85,27.4,17.8,10.0,23.7,6.0,68,0.9993908270190958,-0.034899496702500955
1737300338,12.709605390214172,77.4524408390919,32025,462,20,14,26.4,58,17.6,,1009.0,54,27.5,17.4,10.0,25.1,6.0,68,1.0,6.123233995736766e-17
1737300436,12.910415356548729,77.51012765892526,32025,464,20,15,25.3,60,15.8,,1010.0,58,26.5,17.0,10.0,21.4,6.0,68,1.0,6.123233995736766e-17
1737300530,13.11147625670806,77.56695895168625,32000,463,20,16,25.2,61,15.1,,1010.0,51,26.4,17.1,10.0,21.2,6.0,68,0.9993908270190958,-0.034899496702500955
1737300627,13.312749277270743,77.62301089737193,32000,462,7,17,24.8,61,13.7,,1010.0,76,26.1,16.9,9.0,19.7,5.0,68,0.9993908270190958,-0.034899496702500955
1737300721,13.514231378668711,77.67818284603239,32900,467,2,18,25.4,58,14.0,,1010.0,83,26.5,16.6,10.0,19.0,6.0,68,0.9902680687415704,0.13917310096006547
1737300818,13.71597259927522,77.73211500851446,34125,470,2,19,25.4,58,14.0,,1010.0,83,26.5,16.6,10.0,19.0,6.0,68,0.9902680687415704,0.13917310096006547
