timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1737384781,10.153991679012346,76.3907081111111,0,11,87,0,28.8,65,15.1,,1007.0,21,31.6,21.5,10.0,17.6,7.0,69,-0.8571673007021121,-0.5150380749100544
1737385627,10.421403372654131,76.66085927082142,14600,351,26,1,23.6,67,7.2,,1009.0,75,25.4,17.2,10.0,12.1,5.0,69,0.8571673007021123,0.5150380749100542
1737385692,10.506826416678226,76.70236628436182,16950,357,26,2,23.6,67,7.2,,1009.0,75,25.4,17.2,10.0,12.1,5.0,69,0.8571673007021123,0.5150380749100542
1737385787,10.62753601065119,76.75746308559965,19650,377,26,3,33.9,40,19.4,,1007.0,44,36.0,18.4,10.0,22.4,8.0,69,0.9702957262759965,0.24192189559966767
1737385850,10.776186716332145,76.8203939127595,21075,398,26,4,33.9,40,19.4,,1007.0,44,36.0,18.4,10.0,22.4,8.0,69,0.9702957262759965,0.24192189559966767
1737385976,10.945157716286456,76.8865925846169,24750,406,26,5,29.2,51,12.6,,1008.0,64,30.5,18.2,10.0,14.7,6.0,69,0.9612616959383189,0.27563735581699916
1737386071,11.127644724340314,76.95327230563768,27325,405,27,6,29.6,54,10.1,,1009.0,71,31.5,19.3,10.0,11.6,6.0,69,0.9975640502598242,-0.06975647374412533
1737386167,11.318330007150855,77.01920150905376,29325,409,26,7,29.6,54,10.1,,1009.0,71,31.5,19.3,10.0,11.6,6.0,69,0.9975640502598242,-0.06975647374412533
1737386263,11.513554686146064,77.08408813016672,30350,434,26,8,29.6,54,10.1,,1009.0,71,31.5,19.3,10.0,11.6,6.0,69,0.9975640502598242,-0.06975647374412533
1737386356,11.711104790845887,77.14799170128917,31125,460,27,9,31.3,45,7.2,,1007.0,46,32.7,18.0,10.0,8.3,8.0,69,0.9902680687415704,-0.13917310096006535
1737386453,11.909813104123014,77.2109734340695,32550,465,17,10,29.3,40,13.7,,1008.0,23,29.3,14.2,10.0,18.3,7.0,69,0.9781476007338056,0.20791169081775945
1737386547,12.109154995583738,77.27299105035752,33750,468,17,11,29.3,40,13.7,,1008.0,23,29.3,14.2,10.0,18.3,7.0,69,0.9781476007338056,0.20791169081775945
