timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1737730414,10.153991679012346,76.3907081111111,0,2,357,0,29.3,64,20.2,,1007.0,31,32.3,21.7,10.0,23.2,7.0,73,-0.9271838545667873,-0.3746065934159123
1737731678,10.421403372654131,76.66085927082142,13375,354,19,1,28.8,38,7.2,,1008.0,16,28.5,13.2,10.0,8.3,7.0,73,0.48480962024633706,0.8746197071393957
1737731742,10.506826416678226,76.70236628436182,15475,373,19,2,28.8,38,7.2,,1008.0,16,28.5,13.2,10.0,8.3,7.0,73,0.48480962024633706,0.8746197071393957
1737731804,10.62753601065119,76.75746308559965,17775,380,19,3,33.7,25,23.0,,1006.0,24,32.6,11.2,10.0,26.5,8.0,73,0.9945218953682733,0.10452846326765346
1737731899,10.776186716332145,76.8203939127595,20625,397,19,4,33.7,25,23.0,,1006.0,24,32.6,11.2,10.0,26.5,8.0,73,0.9945218953682733,0.10452846326765346
1737731997,10.945157716286456,76.8865925846169,23075,420,19,5,30.1,33,16.9,,1008.0,22,29.4,12.3,10.0,19.5,8.0,73,0.9945218953682733,0.10452846326765346
1737732091,11.127644724340314,76.95327230563768,25400,430,19,6,29.5,35,11.9,,1009.0,20,28.9,12.6,10.0,13.7,7.0,73,0.9876883405951378,-0.1564344650402308
1737732188,11.318330007150855,77.01920150905376,27350,440,19,7,29.5,35,11.9,,1009.0,20,28.9,12.6,10.0,13.7,7.0,73,0.9876883405951378,-0.1564344650402308
1737732284,11.513554686146064,77.08408813016672,28575,456,16,8,29.5,35,11.9,,1009.0,20,28.9,12.6,10.0,13.7,7.0,73,0.9876883405951378,-0.1564344650402308
1737732377,11.711104790845887,77.14799170128917,29750,464,16,9,30.4,34,10.8,,1008.0,18,29.9,12.9,10.0,12.4,8.0,73,0.8571673007021123,-0.5150380749100543
1737732472,11.909813104123014,77.2109734340695,31075,468,16,10,29.2,25,18.0,,1007.0,4,27.5,6.9,10.0,22.5,7.0,73,0.9781476007338057,-0.20791169081775934
1737732568,12.109154995583738,77.27299105035752,32675,456,16,11,29.2,25,18.0,,1007.0,4,27.5,6.9,10.0,22.5,7.0,73,0.9781476007338057,-0.20791169081775934
