timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1739382842,10.154017900826446,76.39047789256198,0,1,354,0,28.3,60,19.1,,1009.0,0,30.2,19.9,10.0,25.1,7.0,111,-0.9998476951563913,-0.017452406437283498
1739384105,10.52494948845709,76.58234041490832,16950,363,29,1,29.0,29,6.1,,1010.0,0,27.8,9.1,10.0,12.9,7.0,111,0.6156614753256583,0.7880107536067219
1739384168,10.617069570211369,76.62216510414866,18925,376,29,2,29.0,29,6.1,,1010.0,0,27.8,9.1,10.0,12.9,7.0,111,0.6156614753256583,0.7880107536067219
1739384230,10.744981640783465,76.67727378319731,20775,386,29,3,29.0,29,6.1,,1010.0,0,27.8,9.1,10.0,12.9,7.0,111,0.6156614753256583,0.7880107536067219
1739384325,10.899405328999595,76.74344717611365,23675,395,29,4,29.0,29,6.1,,1010.0,0,27.8,9.1,10.0,12.9,7.0,111,0.6156614753256583,0.7880107536067219
1739384419,11.07166335498608,76.81661927614557,25850,408,29,5,27.4,25,11.2,,1011.0,0,26.1,5.9,10.0,23.4,7.0,111,0.9986295347545738,-0.05233595624294384
1739384514,11.254918481248897,76.89334782375633,27775,424,29,6,21.3,30,4.3,,1012.0,0,21.3,2.9,10.0,9.1,6.0,111,0.9455185755993168,-0.32556815445715664
1739384644,11.44454794709975,76.97095810335946,30200,435,29,7,24.3,36,3.6,,1014.0,0,24.7,8.3,10.0,5.2,6.0,111,0.90630778703665,-0.42261826174069933
1739384737,11.63785731954636,77.0474945942375,31050,460,29,8,28.2,25,6.8,,1010.0,0,26.7,6.6,10.0,14.4,7.0,111,0.45399049973954686,-0.8910065241883678
1739384833,11.833494424130452,77.12161414327043,32275,466,29,9,27.4,20,13.0,,1011.0,0,25.5,2.4,10.0,27.2,7.0,111,0.8090169943749475,-0.587785252292473
1739384927,12.03087143732882,77.19247040309878,33975,456,29,10,27.4,20,13.0,,1011.0,0,25.5,2.4,10.0,27.2,7.0,111,0.8090169943749475,-0.587785252292473
1739385024,12.229756394910057,77.2595690764727,35075,460,15,11,27.4,20,13.0,,1011.0,0,25.5,2.4,10.0,27.2,7.0,111,0.8090169943749475,-0.587785252292473
1739385121,12.430055800735406,77.32257733830143,35925,465,15,12,27.1,21,14.8,,1011.0,0,25.4,3.0,10.0,31.0,7.0,111,0.9743700647852352,-0.22495105434386503
1739385217,12.631734769849054,77.3811148470132,36625,472,15,13,27.1,21,14.8,,1011.0,0,25.4,3.0,10.0,31.0,7.0,111,0.9743700647852352,-0.22495105434386503
1739385312,12.834790468126208,77.43463524515647,37600,470,15,14,27.6,21,12.2,,1011.0,0,25.8,3.4,10.0,25.7,7.0,111,0.9945218953682733,-0.10452846326765355
1739385407,13.039223980977884,77.4824671605901,38025,468,15,15,26.5,22,14.4,,1012.0,0,25.0,3.1,10.0,30.0,7.0,111,0.898794046299167,0.43837114678907746
1739385501,13.244996785214935,77.52401362931182,38025,468,4,16,25.9,23,14.8,,1012.0,0,24.8,3.6,10.0,31.0,7.0,111,0.8571673007021123,0.5150380749100542
1739385597,13.451989295996071,77.55902710723274,37975,469,3,17,25.9,23,14.8,,1012.0,0,24.8,3.6,10.0,31.0,7.0,111,0.8571673007021123,0.5150380749100542
1739385692,13.659994178725311,77.58779570085025,38050,469,3,18,28.5,23,14.0,,1011.0,0,26.7,5.4,10.0,29.1,7.0,111,0.8480480961564261,0.5299192642332049
1739385788,13.868748876439234,77.61114370801404,38050,468,3,19,28.5,23,14.0,,1011.0,0,26.7,5.4,10.0,29.1,7.0,111,0.8480480961564261,0.5299192642332049
1739385884,14.077990257207029,77.63024763818038,38025,466,3,20,28.5,23,14.0,,1011.0,0,26.7,5.4,10.0,29.1,7.0,111,0.8480480961564261,0.5299192642332049
1739385981,14.287502572763692,77.64636542437388,38000,465,3,21,31.2,21,11.5,,1010.0,0,29.1,6.6,10.0,21.7,8.0,111,0.9975640502598242,0.06975647374412523
1739386076,14.497139395577216,77.66060057517282,38025,467,3,22,31.2,21,11.5,,1010.0,0,29.1,6.6,10.0,21.7,8.0,111,0.9975640502598242,0.06975647374412523
1739386171,14.706818779333634,77.67377669015137,38050,469,3,23,31.2,22,11.9,,1010.0,0,29.3,7.3,10.0,24.0,8.0,111,1.0,6.123233995736766e-17
1739386266,14.91650406629048,77.68642575674392,38025,469,3,24,31.7,24,7.9,,1010.0,4,29.9,8.5,10.0,14.9,8.0,111,0.9510565162951535,0.30901699437494745
1739386392,15.12618327321229,77.69884830309104,38000,465,3,25,31.7,24,7.9,,1010.0,4,29.9,8.5,10.0,14.9,8.0,111,0.9510565162951535,0.30901699437494745
1739386486,15.335854622882383,77.71119366446507,38025,466,3,26,31.7,24,7.9,,1010.0,4,29.9,8.5,10.0,14.9,8.0,111,0.9510565162951535,0.30901699437494745
1739386584,15.545519137654669,77.72352719827802,38050,463,3,27,31.7,24,7.9,,1010.0,4,29.9,8.5,10.0,14.9,8.0,111,0.9510565162951535,0.30901699437494745
1739386677,15.75517799606715,77.73587310045372,38000,459,3,28,32.0,24,10.1,,1009.0,4,30.3,9.1,10.0,20.2,8.0,111,-0.6560590289905074,0.7547095802227719
1739386772,15.96483193622853,77.74823846051845,38000,459,3,29,31.7,25,4.3,,1010.0,2,30.2,9.6,10.0,8.4,8.0,111,-0.6560590289905074,0.7547095802227719
1739386866,16.174481506674212,77.76062136448084,38025,461,3,30,31.0,26,5.8,,1011.0,0,29.5,9.4,10.0,12.1,0.0,111,-0.9993908270190958,-0.03489949670250076
1739386961,16.384128168678938,77.77301014124134,38050,462,3,31,31.0,26,5.8,,1011.0,0,29.5,9.4,10.0,12.1,0.0,111,-0.9993908270190958,-0.03489949670250076
1739387090,16.593774567840622,77.78537760976337,38025,459,3,32,29.0,27,7.6,,1011.0,7,27.6,8.2,10.0,15.9,0.0,111,-0.9271838545667874,0.37460659341591196
1739387152,16.80342580561688,77.79767189183654,38000,458,3,33,29.0,27,7.6,,1011.0,7,27.6,8.2,10.0,15.9,0.0,111,-0.9271838545667874,0.37460659341591196
1739387248,17.01309018178446,77.80980952963448,38025,459,3,34,29.1,24,1.8,,1011.0,4,27.4,6.8,10.0,3.8,0.0,111,0.9702957262759965,-0.24192189559966779
1739387374,17.222771830181234,77.82169543604259,38050,458,3,35,29.0,22,7.6,,1012.0,5,27.1,5.5,10.0,15.6,0.0,111,0.15643446504023087,0.9876883405951378
1739387467,17.43247073978548,77.83324229819674,38025,457,3,36,29.0,22,7.6,,1012.0,5,27.1,5.5,10.0,15.6,0.0,111,0.15643446504023087,0.9876883405951378
1739387564,17.642155763226675,77.84446492845426,38025,455,3,37,29.0,22,7.6,,1012.0,5,27.1,5.5,10.0,15.6,0.0,111,0.15643446504023087,0.9876883405951378
1739387659,17.851726598774675,77.85558936770911,38000,457,3,38,28.0,19,12.6,,1012.0,0,26.0,2.0,10.0,26.5,0.0,111,0.224951054343865,0.9743700647852352
1739387754,18.06094984876272,77.8671754652133,38050,459,3,39,28.0,19,12.6,,1012.0,0,26.0,2.0,10.0,26.5,0.0,111,0.224951054343865,0.9743700647852352
1739387848,18.269377198585083,77.88019984581798,38050,456,3,40,28.3,19,7.9,,1012.0,0,26.3,2.8,10.0,16.6,0.0,111,-0.27563735581699894,0.9612616959383189
1739387942,18.476278771059548,77.89602257846406,38025,451,3,41,28.3,19,7.9,,1012.0,0,26.3,2.8,10.0,16.6,0.0,111,-0.27563735581699894,0.9612616959383189
1739388037,18.680658965624385,77.91613679507235,38000,443,354,42,28.3,19,7.9,,1012.0,0,26.3,2.8,10.0,16.6,0.0,111,-0.27563735581699894,0.9612616959383189
1739388133,18.88143274323792,77.94162674346428,38000,447,354,43,28.3,19,7.9,,1012.0,0,26.3,2.8,10.0,16.6,0.0,111,-0.27563735581699894,0.9612616959383189
1739388226,19.077784501635573,77.97239697917226,38050,450,354,44,28.2,18,9.0,,1012.0,0,26.2,2.0,10.0,18.9,0.0,111,-0.13917310096006588,0.9902680687415703
