timestamp,lat,lon,altitude,speed,direction,waypoint_ID,temp_c,humidity,wind_kph,wind_degree,pressure_mb,cloud,feelslike_c,dewpoint_c,vis_km,gust_kph,uv,route_id,wind_sin,wind_cos
1741371177,10.154017900826446,76.39047789256198,0,12,87,0,28.7,73,12.6,,1008.0,69,32.7,23.3,10.0,18.0,6.0,119,-0.7880107536067221,-0.6156614753256581
1741372351,10.52494948845709,76.58234041490832,18075,359,27,1,29.5,59,21.2,,1008.0,72,32.0,20.7,10.0,28.2,6.0,119,-0.9945218953682734,-0.10452846326765336
1741372414,10.617069570211369,76.62216510414866,20300,371,27,2,29.5,59,21.2,,1008.0,72,32.0,20.7,10.0,28.2,6.0,119,-0.9945218953682734,-0.10452846326765336
1741372510,10.744981640783465,76.67727378319731,23225,388,27,3,29.5,59,21.2,,1008.0,72,32.0,20.7,10.0,28.2,6.0,119,-0.9945218953682734,-0.10452846326765336
1741372604,10.899405328999595,76.74344717611365,25750,407,27,4,29.5,59,21.2,,1008.0,72,32.0,20.7,10.0,28.2,6.0,119,-0.9945218953682734,-0.10452846326765336
1741372700,11.07166335498608,76.81661927614557,27750,432,27,5,31.7,25,7.9,,1006.0,7,30.1,9.1,10.0,15.8,8.0,119,0.9876883405951378,-0.1564344650402308
1741372793,11.254918481248897,76.89334782375633,29750,436,27,6,24.8,32,4.7,,1008.0,5,24.8,7.1,10.0,9.8,6.0,119,0.9702957262759965,-0.24192189559966779
1741372889,11.44454794709975,76.97095810335946,31300,446,27,7,21.6,39,2.2,,1010.0,5,21.6,7.2,10.0,4.5,6.0,119,0.8910065241883679,-0.45399049973954675
1741372983,11.63785731954636,77.0474945942375,33125,448,27,8,31.6,26,7.9,,1006.0,2,30.1,9.7,10.0,15.4,8.0,119,0.8191520442889917,-0.5735764363510462
1741373080,11.833494424130452,77.12161414327043,34000,444,27,9,30.6,18,6.1,,1007.0,0,28.3,4.0,10.0,12.1,8.0,119,-0.4383711467890778,0.8987940462991668
1741373174,12.03087143732882,77.19247040309878,34000,444,16,10,30.6,18,6.1,,1007.0,0,28.3,4.0,10.0,12.1,8.0,119,-0.4383711467890778,0.8987940462991668
1741373301,12.229756394910057,77.2595690764727,34000,443,16,11,30.6,18,6.1,,1007.0,0,28.3,4.0,10.0,12.1,8.0,119,-0.4383711467890778,0.8987940462991668
1741373397,12.430055800735406,77.32257733830143,34000,442,16,12,30.7,13,5.8,,1007.0,0,28.5,-0.3,10.0,12.0,8.0,119,0.4383711467890774,0.898794046299167
1741373493,12.631734769849054,77.3811148470132,34025,443,16,13,30.7,13,5.8,,1007.0,0,28.5,-0.3,10.0,12.0,8.0,119,0.4383711467890774,0.898794046299167
1741373589,12.834790468126208,77.43463524515647,34025,446,16,14,30.6,14,4.0,,1007.0,0,28.3,0.1,10.0,8.3,8.0,119,0.45399049973954675,0.8910065241883679
1741373683,13.039223980977884,77.4824671605901,34000,444,14,15,28.6,10,13.7,,1008.0,0,26.5,-5.3,10.0,27.8,7.0,119,0.374606593415912,0.9271838545667874
1741373810,13.244996785214935,77.52401362931182,33950,450,7,16,27.7,11,11.9,,1008.0,0,25.7,-5.6,10.0,24.9,7.0,119,0.10452846326765347,0.9945218953682733
1741373906,13.451989295996071,77.55902710723274,34050,455,7,17,27.7,11,11.9,,1008.0,0,25.7,-5.6,10.0,24.9,7.0,119,0.10452846326765347,0.9945218953682733
1741373999,13.659994178725311,77.58779570085025,34025,453,7,18,29.4,9,13.0,,1008.0,0,27.2,-6.8,10.0,27.2,7.0,119,0.15643446504023087,0.9876883405951378
1741374095,13.868748876439234,77.61114370801404,34000,450,7,19,27.9,9,11.5,,1009.0,0,25.9,-7.3,10.0,24.2,0.0,119,0.3255681544571567,0.9455185755993168
1741374190,14.077990257207029,77.63024763818038,33975,448,7,20,27.9,9,11.5,,1009.0,0,25.9,-7.3,10.0,24.2,0.0,119,0.3255681544571567,0.9455185755993168
1741374285,14.287502572763692,77.64636542437388,34025,444,7,21,29.8,9,6.1,,1008.0,0,27.6,-7.1,10.0,12.9,0.0,119,0.9135454576426009,0.4067366430758002
1741374412,14.497139395577216,77.66060057517282,33975,440,7,22,29.8,9,6.1,,1008.0,0,27.6,-7.1,10.0,12.9,0.0,119,0.9135454576426009,0.4067366430758002
1741374504,14.706818779333634,77.67377669015137,34000,442,7,23,30.0,8,5.4,,1008.0,0,27.8,-7.6,10.0,11.3,0.0,119,0.7313537016191705,0.6819983600624985
1741374601,14.91650406629048,77.68642575674392,34025,443,7,24,30.2,7,10.1,,1008.0,0,28.0,-9.0,10.0,21.2,0.0,119,0.27563735581699916,0.9612616959383189
1741374698,15.12618327321229,77.69884830309104,34025,443,7,25,30.2,7,10.1,,1008.0,0,28.0,-9.0,10.0,21.2,0.0,119,0.27563735581699916,0.9612616959383189
1741374794,15.335854622882383,77.71119366446507,34000,440,7,26,30.2,7,10.1,,1008.0,0,28.0,-9.0,10.0,21.2,0.0,119,0.27563735581699916,0.9612616959383189
1741374921,15.545519137654669,77.72352719827802,34000,439,7,27,30.2,7,10.1,,1008.0,0,28.0,-9.0,10.0,21.2,0.0,119,0.27563735581699916,0.9612616959383189
