         7433371 function calls (7304118 primitive calls) in 5.823 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    5.830    5.830 D:\mini project\FPO\FINAL\ML\oop_t\flightoop2.py:625(find_optimal_route)
        1    0.002    0.002    2.897    2.897 D:\mini project\FPO\FINAL\ML\oop_t\flightoop2.py:476(process_all_waypoints)
      100    0.003    0.000    2.826    0.028 D:\mini project\FPO\FINAL\ML\oop_t\flightoop2.py:445(form_clusters)
      100    0.005    0.000    1.993    0.020 D:\mini project\FPO\FINAL\ML\oop_t\flightoop2.py:430(find_optimal_clusters)
     1200    0.010    0.000    1.523    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\base.py:1372(wrapper)
     1000    0.001    0.000    1.427    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\cluster\_kmeans.py:1041(fit_predict)
        1    0.006    0.006    1.370    1.370 D:\mini project\FPO\FINAL\ML\oop_t\flightoop2.py:485(predict_and_save_visualizations)
     1000    0.021    0.000    1.227    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\cluster\_kmeans.py:1426(fit)
        1    0.001    0.001    0.904    0.904 D:\mini project\FPO\FINAL\ML\oop_t\flightoop2.py:136(get_current_weather)
        2    0.000    0.000    0.886    0.443 D:\mini project\FPO\FINAL\ML\oop_t\flightoop2.py:182(fetch_current_weather)
        2    0.000    0.000    0.885    0.443 D:\mini project\FPO\FINAL\env\Lib\site-packages\requests\api.py:103(post)
        2    0.000    0.000    0.885    0.443 D:\mini project\FPO\FINAL\env\Lib\site-packages\requests\api.py:14(request)
        2    0.000    0.000    0.885    0.442 D:\mini project\FPO\FINAL\env\Lib\site-packages\requests\sessions.py:500(request)
        2    0.000    0.000    0.882    0.441 D:\mini project\FPO\FINAL\env\Lib\site-packages\requests\sessions.py:673(send)
        2    0.000    0.000    0.882    0.441 D:\mini project\FPO\FINAL\env\Lib\site-packages\requests\adapters.py:613(send)
