Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1740624018,2025-02-27T02:40:18Z,IGO706,"10.154346,76.390274",0,0,357
1740626378,2025-02-27T03:19:38Z,IGO706,"10.154125,76.390282",0,2,357
1740626418,2025-02-27T03:20:18Z,IGO706,"10.153683,76.39032",0,0,30
1740626444,2025-02-27T03:20:44Z,IGO706,"10.153473,76.39016",0,2,81
1740626559,2025-02-27T03:22:39Z,IGO706,"10.153461,76.390396",0,6,92
1740626571,2025-02-27T03:22:51Z,IGO706,"10.153244,76.390549",0,4,151
1740626597,2025-02-27T03:23:17Z,IGO706,"10.153015,76.390579",0,2,168
1740626613,2025-02-27T03:23:33Z,IGO706,"10.152718,76.390625",0,6,165
1740626625,2025-02-27T03:23:45Z,IGO706,"10.152555,76.3909",0,6,115
1740626671,2025-02-27T03:24:31Z,IGO706,"10.152531,76.391151",0,5,95
1740626680,2025-02-27T03:24:40Z,IGO706,"10.1525,76.391357",0,6,101
1740626973,2025-02-27T03:29:33Z,IGO706,"10.152237,76.391533",0,8,154
1740626981,2025-02-27T03:29:41Z,IGO706,"10.151825,76.391548",0,13,180
1740626990,2025-02-27T03:29:50Z,IGO706,"10.151184,76.391548",0,15,182
1740626996,2025-02-27T03:29:56Z,IGO706,"10.15089,76.391441",0,10,199
1740627015,2025-02-27T03:30:15Z,IGO706,"10.150795,76.391663",0,3,92
1740627043,2025-02-27T03:30:43Z,IGO706,"10.150806,76.39193",0,15,87
1740627050,2025-02-27T03:30:50Z,IGO706,"10.150864,76.393173",0,53,87
1740627064,2025-02-27T03:31:04Z,IGO706,"10.151088,76.399162",0,74,87
1740627085,2025-02-27T03:31:25Z,IGO706,"10.15155,76.413826",350,165,88
1740627091,2025-02-27T03:31:31Z,IGO706,"10.151688,76.419174",625,170,88
1740627098,2025-02-27T03:31:38Z,IGO706,"10.151786,76.4244",775,181,89
1740627107,2025-02-27T03:31:47Z,IGO706,"10.151926,76.432594",1050,190,89
1740627113,2025-02-27T03:31:53Z,IGO706,"10.152008,76.438545",1225,199,88
1740627122,2025-02-27T03:32:02Z,IGO706,"10.152251,76.446846",1450,211,88
1740627131,2025-02-27T03:32:11Z,IGO706,"10.152485,76.455559",1650,222,88
1740627137,2025-02-27T03:32:17Z,IGO706,"10.153015,76.462517",1850,229,82
1740627139,2025-02-27T03:32:19Z,IGO706,"10.153381,76.464798",1925,232,79
1740627142,2025-02-27T03:32:22Z,IGO706,"10.153839,76.466888",2000,233,76
1740627144,2025-02-27T03:32:24Z,IGO706,"10.154626,76.469528",2100,235,72
1740627146,2025-02-27T03:32:26Z,IGO706,"10.15565,76.472137",2175,237,66
1740627148,2025-02-27T03:32:28Z,IGO706,"10.156348,76.473602",2250,238,62
1740627150,2025-02-27T03:32:30Z,IGO706,"10.157776,76.476013",2350,239,58
1740627152,2025-02-27T03:32:32Z,IGO706,"10.159048,76.477913",2450,240,54
1740627154,2025-02-27T03:32:34Z,IGO706,"10.160398,76.479622",2550,241,50
1740627156,2025-02-27T03:32:36Z,IGO706,"10.161987,76.481369",2650,241,46
1740627158,2025-02-27T03:32:38Z,IGO706,"10.163635,76.482956",2750,242,42
1740627161,2025-02-27T03:32:41Z,IGO706,"10.165604,76.484581",2850,242,37
1740627163,2025-02-27T03:32:43Z,IGO706,"10.167521,76.48587",2975,242,33
1740627165,2025-02-27T03:32:45Z,IGO706,"10.169449,76.487",3100,243,29
1740627167,2025-02-27T03:32:47Z,IGO706,"10.171921,76.488213",3225,242,23
1740627169,2025-02-27T03:32:49Z,IGO706,"10.173889,76.489006",3350,241,20
1740627171,2025-02-27T03:32:51Z,IGO706,"10.176599,76.489891",3525,242,18
1740627173,2025-02-27T03:32:53Z,IGO706,"10.178786,76.490463",3650,240,14
1740627176,2025-02-27T03:32:56Z,IGO706,"10.181021,76.491028",3775,240,13
1740627178,2025-02-27T03:32:58Z,IGO706,"10.183365,76.491562",3900,241,13
