Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1741145260,2025-03-05T03:27:40Z,IGO706,"10.154382,76.390961",0,0,357
1741145303,2025-03-05T03:28:23Z,IGO706,"10.154171,76.390968",0,2,357
1741145327,2025-03-05T03:28:47Z,IGO706,"10.153928,76.390984",0,2,357
1741145349,2025-03-05T03:29:09Z,IGO706,"10.153725,76.390999",0,2,28
1741145370,2025-03-05T03:29:30Z,IGO706,"10.153519,76.390907",0,2,78
1741145739,2025-03-05T03:35:39Z,IGO706,"10.153508,76.391205",0,6,87
1741145747,2025-03-05T03:35:47Z,IGO706,"10.153508,76.391479",0,7,87
1741145755,2025-03-05T03:35:55Z,IGO706,"10.153519,76.391685",0,6,87
1741145900,2025-03-05T03:38:20Z,IGO706,"10.153532,76.391891",0,0,87
1741145913,2025-03-05T03:38:33Z,IGO706,"10.15353,76.39212",0,5,92
1741145923,2025-03-05T03:38:43Z,IGO706,"10.153358,76.392349",0,7,132
1741145931,2025-03-05T03:38:51Z,IGO706,"10.15309,76.392403",0,8,168
1741145937,2025-03-05T03:38:57Z,IGO706,"10.152868,76.392418",0,8,180
1741145946,2025-03-05T03:39:06Z,IGO706,"10.152626,76.392296",0,6,210
1741145956,2025-03-05T03:39:16Z,IGO706,"10.152543,76.392021",0,6,255
1741146071,2025-03-05T03:41:11Z,IGO706,"10.152523,76.391777",0,0,261
1741146080,2025-03-05T03:41:20Z,IGO706,"10.152309,76.391571",0,9,219
1741146084,2025-03-05T03:41:24Z,IGO706,"10.152088,76.391533",0,12,194
1741146089,2025-03-05T03:41:29Z,IGO706,"10.151821,76.391541",0,12,180
1741146093,2025-03-05T03:41:33Z,IGO706,"10.1516,76.391548",0,12,177
1741146097,2025-03-05T03:41:37Z,IGO706,"10.151321,76.391556",0,12,177
1741146102,2025-03-05T03:41:42Z,IGO706,"10.151076,76.391571",0,11,177
1741146108,2025-03-05T03:41:48Z,IGO706,"10.150855,76.391762",0,10,135
1741146113,2025-03-05T03:41:53Z,IGO706,"10.150806,76.391991",0,9,104
1741146125,2025-03-05T03:42:05Z,IGO706,"10.150818,76.392197",0,1,90
1741146139,2025-03-05T03:42:19Z,IGO706,"10.150832,76.392487",0,16,90
1741146141,2025-03-05T03:42:21Z,IGO706,"10.150844,76.392876",0,32,87
1741146145,2025-03-05T03:42:25Z,IGO706,"10.150855,76.393265",0,43,87
1741146146,2025-03-05T03:42:26Z,IGO706,"10.150878,76.393776",0,54,87
1741146154,2025-03-05T03:42:34Z,IGO706,"10.150994,76.396843",0,0,87
1741146173,2025-03-05T03:42:53Z,IGO706,"10.151088,76.39959",0,0,87
1741146183,2025-03-05T03:43:03Z,IGO706,"10.151879,76.416969",550,164,87
1741146191,2025-03-05T03:43:11Z,IGO706,"10.152159,76.4235",800,171,87
1741146200,2025-03-05T03:43:20Z,IGO706,"10.152391,76.430321",1000,183,88
1741146206,2025-03-05T03:43:26Z,IGO706,"10.152577,76.436241",1150,192,88
1741146214,2025-03-05T03:43:34Z,IGO706,"10.152786,76.443756",1325,203,88
1741146221,2025-03-05T03:43:41Z,IGO706,"10.15295,76.450401",1500,212,88
1741146229,2025-03-05T03:43:49Z,IGO706,"10.153136,76.458832",1725,220,88
1741146236,2025-03-05T03:43:56Z,IGO706,"10.153602,76.465172",1925,224,81
1741146238,2025-03-05T03:43:58Z,IGO706,"10.15402,76.467682",2000,226,78
1741146240,2025-03-05T03:44:00Z,IGO706,"10.154572,76.469826",2050,229,74
1741146242,2025-03-05T03:44:02Z,IGO706,"10.155277,76.472183",2100,230,70
1741146244,2025-03-05T03:44:04Z,IGO706,"10.156174,76.474342",2175,232,66
1741146246,2025-03-05T03:44:06Z,IGO706,"10.157318,76.476669",2225,235,62
1741146248,2025-03-05T03:44:08Z,IGO706,"10.158508,76.478531",2275,238,57
1741146250,2025-03-05T03:44:10Z,IGO706,"10.159836,76.480392",2325,240,53
1741146253,2025-03-05T03:44:13Z,IGO706,"10.161329,76.482132",2375,244,46
1741146255,2025-03-05T03:44:15Z,IGO706,"10.163284,76.483978",2425,247,42
1741146257,2025-03-05T03:44:17Z,IGO706,"10.1651,76.485466",2450,250,37
1741146259,2025-03-05T03:44:19Z,IGO706,"10.167206,76.486908",2500,253,32
1741146262,2025-03-05T03:44:22Z,IGO706,"10.16954,76.488213",2550,256,27
1741146264,2025-03-05T03:44:24Z,IGO706,"10.172176,76.489372",2600,258,22
1741146266,2025-03-05T03:44:26Z,IGO706,"10.174301,76.49012",2675,260,17
1741146268,2025-03-05T03:44:28Z,IGO706,"10.176645,76.490791",2725,261,15
1741146270,2025-03-05T03:44:30Z,IGO706,"10.179439,76.491501",2825,262,13
1741146272,2025-03-05T03:44:32Z,IGO706,"10.181992,76.492073",2925,263,12
1741146274,2025-03-05T03:44:34Z,IGO706,"10.184932,76.492737",3025,264,12
1741146276,2025-03-05T03:44:36Z,IGO706,"10.187439,76.493286",3125,264,11
1741146279,2025-03-05T03:44:39Z,IGO706,"10.190323,76.493889",3250,264,11
1741146281,2025-03-05T03:44:41Z,IGO706,"10.192286,76.494301",3325,265,11
1741146283,2025-03-05T03:44:43Z,IGO706,"10.195452,76.49501",3450,265,12
1741146285,2025-03-05T03:44:45Z,IGO706,"10.197966,76.495575",3575,266,12
1741146287,2025-03-05T03:44:47Z,IGO706,"10.200302,76.496078",3675,266,12
1741146289,2025-03-05T03:44:49Z,IGO706,"10.202901,76.496666",3775,266,12
1741146291,2025-03-05T03:44:51Z,IGO706,"10.205246,76.497246",3850,268,13
1741146293,2025-03-05T03:44:53Z,IGO706,"10.207509,76.497757",3925,268,13
1741146300,2025-03-05T03:45:00Z,IGO706,"10.215866,76.499847",4250,271,14
1741146309,2025-03-05T03:45:09Z,IGO706,"10.226486,76.502647",4675,271,14
1741146315,2025-03-05T03:45:15Z,IGO706,"10.234277,76.504761",5025,270,15
1741146328,2025-03-05T03:45:28Z,IGO706,"10.249732,76.509171",5725,267,16
1741146341,2025-03-05T03:45:41Z,IGO706,"10.26542,76.513763",6425,263,16
1741146356,2025-03-05T03:45:56Z,IGO706,"10.283157,76.519073",6900,275,16
1741146370,2025-03-05T03:46:10Z,IGO706,"10.299911,76.524475",7050,292,19
1741146382,2025-03-05T03:46:22Z,IGO706,"10.316301,76.530998",7075,295,21
1741146396,2025-03-05T03:46:36Z,IGO706,"10.332688,76.53772",7225,288,22
1741146408,2025-03-05T03:46:48Z,IGO706,"10.34847,76.544258",7625,282,22
1741146421,2025-03-05T03:47:01Z,IGO706,"10.364548,76.550964",8275,283,22
1741146434,2025-03-05T03:47:14Z,IGO706,"10.379939,76.557373",8825,287,22
1741146447,2025-03-05T03:47:27Z,IGO706,"10.396558,76.564285",9425,291,22
1741146460,2025-03-05T03:47:40Z,IGO706,"10.412292,76.570793",9975,293,22
1741146473,2025-03-05T03:47:53Z,IGO706,"10.429191,76.577782",10375,303,22
1741146486,2025-03-05T03:48:06Z,IGO706,"10.44609,76.584793",10775,309,22
1741146499,2025-03-05T03:48:19Z,IGO706,"10.463608,76.592026",11375,308,22
1741146512,2025-03-05T03:48:32Z,IGO706,"10.481563,76.59938",11775,316,22
1741146525,2025-03-05T03:48:45Z,IGO706,"10.499532,76.606796",12025,327,22
1741146557,2025-03-05T03:49:17Z,IGO706,"10.545246,76.625687",12975,340,22
1741146588,2025-03-05T03:49:48Z,IGO706,"10.591919,76.644936",13950,348,22
1741146619,2025-03-05T03:50:19Z,IGO706,"10.63849,76.664139",15000,353,22
1741146652,2025-03-05T03:50:52Z,IGO706,"10.688161,76.684616",16275,353,22
1741146683,2025-03-05T03:51:23Z,IGO706,"10.736755,76.704697",16950,369,22
1741146714,2025-03-05T03:51:54Z,IGO706,"10.785874,76.724899",18075,368,22
1741146746,2025-03-05T03:52:26Z,IGO706,"10.83764,76.7463",18950,375,22
1741146777,2025-03-05T03:52:57Z,IGO706,"10.888149,76.767159",19800,382,22
1741146808,2025-03-05T03:53:28Z,IGO706,"10.939962,76.788605",20450,394,22
1741146839,2025-03-05T03:53:59Z,IGO706,"10.992599,76.81044",21275,398,22
1741146872,2025-03-05T03:54:32Z,IGO706,"11.048676,76.833694",22350,397,22
1741146902,2025-03-05T03:55:02Z,IGO706,"11.101172,76.855339",23100,402,22
1741146934,2025-03-05T03:55:34Z,IGO706,"11.156937,76.878487",23850,408,22
1741146965,2025-03-05T03:56:05Z,IGO706,"11.211365,76.900986",24500,414,22
1741146998,2025-03-05T03:56:38Z,IGO706,"11.271181,76.925835",25050,426,22
1741147029,2025-03-05T03:57:09Z,IGO706,"11.328964,76.949806",25625,434,22
1741147062,2025-03-05T03:57:42Z,IGO706,"11.389378,76.974838",26375,437,22
1741147094,2025-03-05T03:58:14Z,IGO706,"11.452549,77.001053",26650,452,22
1741147125,2025-03-05T03:58:45Z,IGO706,"11.512619,77.026001",27200,457,22
1741147157,2025-03-05T03:59:17Z,IGO706,"11.575866,77.052177",27900,457,22
1741147189,2025-03-05T03:59:49Z,IGO706,"11.638504,77.078186",28450,461,22
1741147222,2025-03-05T04:00:22Z,IGO706,"11.703139,77.105087",29000,463,22
1741147254,2025-03-05T04:00:54Z,IGO706,"11.767241,77.131874",29475,467,22
1741147286,2025-03-05T04:01:26Z,IGO706,"11.833159,77.15934",29900,474,22
1741147317,2025-03-05T04:01:57Z,IGO706,"11.895586,77.185364",30000,476,22
1741147349,2025-03-05T04:02:29Z,IGO706,"11.962143,77.213097",30000,475,22
1741147382,2025-03-05T04:03:02Z,IGO706,"12.028819,77.240875",30000,478,22
