Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1741317814,2025-03-07T03:23:34Z,IGO706,"10.154354,76.390266",0,0,357
1741317955,2025-03-07T03:25:55Z,IGO706,"10.154125,76.390259",0,2,357
1741317974,2025-03-07T03:26:14Z,IGO706,"10.153916,76.390282",0,2,357
1741317994,2025-03-07T03:26:34Z,IGO706,"10.153695,76.390282",0,2,30
1741318019,2025-03-07T03:26:59Z,IGO706,"10.153484,76.39016",0,2,78
1741318346,2025-03-07T03:32:26Z,IGO706,"10.15345,76.390381",0,5,98
1741318354,2025-03-07T03:32:34Z,IGO706,"10.15323,76.390556",0,7,146
1741318366,2025-03-07T03:32:46Z,IGO706,"10.152912,76.390556",0,6,174
1741318374,2025-03-07T03:32:54Z,IGO706,"10.152694,76.390579",0,6,174
1741318396,2025-03-07T03:33:16Z,IGO706,"10.152523,76.390953",0,1,90
1741318489,2025-03-07T03:34:49Z,IGO706,"10.152496,76.391205",0,7,95
1741318496,2025-03-07T03:34:56Z,IGO706,"10.15234,76.391441",0,10,129
1741318505,2025-03-07T03:35:05Z,IGO706,"10.151939,76.39151",0,10,174
1741318510,2025-03-07T03:35:10Z,IGO706,"10.151733,76.391525",0,10,177
1741318517,2025-03-07T03:35:17Z,IGO706,"10.151321,76.391533",0,12,177
1741318532,2025-03-07T03:35:32Z,IGO706,"10.150762,76.391823",0,8,109
1741318538,2025-03-07T03:35:38Z,IGO706,"10.150806,76.392075",0,9,87
1741318544,2025-03-07T03:35:44Z,IGO706,"10.15082,76.392357",0,11,84
1741318547,2025-03-07T03:35:47Z,IGO706,"10.150841,76.392586",0,14,87
1741318551,2025-03-07T03:35:51Z,IGO706,"10.150852,76.392967",0,24,87
1741318553,2025-03-07T03:35:53Z,IGO706,"10.150867,76.393196",0,29,87
1741318586,2025-03-07T03:36:26Z,IGO706,"10.15155,76.411491",300,165,88
1741318594,2025-03-07T03:36:34Z,IGO706,"10.15174,76.418533",675,167,88
1741318601,2025-03-07T03:36:41Z,IGO706,"10.151926,76.423454",850,172,87
1741318610,2025-03-07T03:36:50Z,IGO706,"10.152145,76.431236",1050,182,88
1741318618,2025-03-07T03:36:58Z,IGO706,"10.152345,76.438942",1225,193,88
1741318625,2025-03-07T03:37:05Z,IGO706,"10.152485,76.444626",1350,201,88
1741318634,2025-03-07T03:37:14Z,IGO706,"10.152695,76.453529",1575,211,88
1741318642,2025-03-07T03:37:22Z,IGO706,"10.153043,76.462051",1800,219,85
1741318644,2025-03-07T03:37:24Z,IGO706,"10.153322,76.464035",1850,221,83
1741318647,2025-03-07T03:37:27Z,IGO706,"10.153748,76.466423",1900,224,79
1741318649,2025-03-07T03:37:29Z,IGO706,"10.154487,76.469246",1975,226,76
1741318651,2025-03-07T03:37:31Z,IGO706,"10.155167,76.47113",2025,230,72
1741318653,2025-03-07T03:37:33Z,IGO706,"10.156174,76.473366",2075,231,68
1741318655,2025-03-07T03:37:35Z,IGO706,"10.157093,76.475075",2125,234,62
1741318657,2025-03-07T03:37:37Z,IGO706,"10.158325,76.476944",2175,236,57
1741318660,2025-03-07T03:37:40Z,IGO706,"10.160019,76.479225",2250,238,53
1741318662,2025-03-07T03:37:42Z,IGO706,"10.161942,76.48114",2350,240,48
1741318664,2025-03-07T03:37:44Z,IGO706,"10.163727,76.482719",2400,241,43
1741318666,2025-03-07T03:37:46Z,IGO706,"10.165053,76.483742",2450,243,39
1741318668,2025-03-07T03:37:48Z,IGO706,"10.167055,76.485062",2525,246,32
1741318670,2025-03-07T03:37:50Z,IGO706,"10.169678,76.486397",2625,246,28
1741318672,2025-03-07T03:37:52Z,IGO706,"10.171875,76.487282",2700,248,23
1741318674,2025-03-07T03:37:54Z,IGO706,"10.174255,76.488121",2775,248,19
1741318676,2025-03-07T03:37:56Z,IGO706,"10.176407,76.488724",2875,248,17
1741318679,2025-03-07T03:37:59Z,IGO706,"10.178694,76.489326",2975,249,15
1741318681,2025-03-07T03:38:01Z,IGO706,"10.1813,76.490036",3075,250,14
1741318683,2025-03-07T03:38:03Z,IGO706,"10.183502,76.490585",3150,250,14
1741318685,2025-03-07T03:38:05Z,IGO706,"10.186203,76.491241",3275,250,13
1741318687,2025-03-07T03:38:07Z,IGO706,"10.188309,76.491753",3350,251,13
1741318689,2025-03-07T03:38:09Z,IGO706,"10.19103,76.492455",3450,251,13
1741318691,2025-03-07T03:38:11Z,IGO706,"10.192799,76.492874",3525,251,13
1741318693,2025-03-07T03:38:13Z,IGO706,"10.195313,76.493492",3625,251,14
1741318695,2025-03-07T03:38:15Z,IGO706,"10.198059,76.494217",3750,252,14
1741318698,2025-03-07T03:38:18Z,IGO706,"10.20048,76.49482",3825,252,14
1741318700,2025-03-07T03:38:20Z,IGO706,"10.202668,76.495384",3925,252,14
1741318702,2025-03-07T03:38:22Z,IGO706,"10.204995,76.496002",4000,253,14
1741318704,2025-03-07T03:38:24Z,IGO706,"10.207535,76.496689",4100,254,14
1741318713,2025-03-07T03:38:33Z,IGO706,"10.217471,76.499413",4525,253,15
1741318719,2025-03-07T03:38:39Z,IGO706,"10.224518,76.501389",4875,251,15
1741318728,2025-03-07T03:38:48Z,IGO706,"10.234268,76.504227",5325,249,15
1741318742,2025-03-07T03:39:02Z,IGO706,"10.250989,76.509171",6050,249,16
1741318756,2025-03-07T03:39:16Z,IGO706,"10.265259,76.513489",6750,246,16
1741318768,2025-03-07T03:39:28Z,IGO706,"10.279432,76.517883",7325,246,17
1741318781,2025-03-07T03:39:41Z,IGO706,"10.293259,76.522141",7850,249,17
1741318794,2025-03-07T03:39:54Z,IGO706,"10.308243,76.526711",8425,252,16
1741318807,2025-03-07T03:40:07Z,IGO706,"10.3224,76.530907",9075,249,16
1741318820,2025-03-07T03:40:20Z,IGO706,"10.336506,76.535118",9575,252,16
1741318833,2025-03-07T03:40:33Z,IGO706,"10.352005,76.5411",9950,257,22
1741318847,2025-03-07T03:40:47Z,IGO706,"10.366516,76.547195",10450,259,22
1741318859,2025-03-07T03:40:59Z,IGO706,"10.380823,76.553398",10850,263,23
1741318872,2025-03-07T03:41:12Z,IGO706,"10.395115,76.559601",11325,266,23
1741318885,2025-03-07T03:41:25Z,IGO706,"10.410049,76.565956",11850,264,22
1741318898,2025-03-07T03:41:38Z,IGO706,"10.424927,76.572197",12325,265,22
1741318931,2025-03-07T03:42:11Z,IGO706,"10.463699,76.588303",12900,291,22
1741318963,2025-03-07T03:42:43Z,IGO706,"10.505676,76.605728",13375,321,22
1741318995,2025-03-07T03:43:15Z,IGO706,"10.552597,76.625191",14050,340,22
1741319026,2025-03-07T03:43:46Z,IGO706,"10.599884,76.644699",14575,361,22
1741319057,2025-03-07T03:44:17Z,IGO706,"10.646988,76.664253",15500,366,22
1741319089,2025-03-07T03:44:49Z,IGO706,"10.697425,76.685196",16350,374,22
1741319121,2025-03-07T03:45:21Z,IGO706,"10.749983,76.707069",17325,377,22
1741319151,2025-03-07T03:45:51Z,IGO706,"10.799194,76.727524",18325,376,22
1741319182,2025-03-07T03:46:22Z,IGO706,"10.848907,76.748169",19100,380,22
1741319215,2025-03-07T03:46:55Z,IGO706,"10.903092,76.770729",19900,387,22
1741319245,2025-03-07T03:47:25Z,IGO706,"10.954376,76.792068",20600,392,22
1741319276,2025-03-07T03:47:56Z,IGO706,"11.006299,76.81366",21400,394,22
1741319309,2025-03-07T03:48:29Z,IGO706,"11.062088,76.836914",22225,396,22
1741319339,2025-03-07T03:48:59Z,IGO706,"11.11377,76.858414",22925,400,22
1741319371,2025-03-07T03:49:31Z,IGO706,"11.169186,76.881508",23550,405,22
1741319402,2025-03-07T03:50:02Z,IGO706,"11.22272,76.903862",24125,410,22
1741319434,2025-03-07T03:50:34Z,IGO706,"11.27998,76.927765",24575,418,22
1741319466,2025-03-07T03:51:06Z,IGO706,"11.338775,76.95224",25050,425,22
1741319499,2025-03-07T03:51:39Z,IGO706,"11.398819,76.977318",25550,432,22
1741319529,2025-03-07T03:52:09Z,IGO706,"11.455261,77.000854",26000,437,22
1741319562,2025-03-07T03:52:42Z,IGO706,"11.51619,77.026138",26725,437,22
1741319594,2025-03-07T03:53:14Z,IGO706,"11.577449,77.051743",27250,442,22
1741319626,2025-03-07T03:53:46Z,IGO706,"11.638687,77.077477",27750,446,22
1741319658,2025-03-07T03:54:18Z,IGO706,"11.699753,77.102997",28450,445,22
1741319689,2025-03-07T03:54:49Z,IGO706,"11.759079,77.127762",29100,444,22
1741319721,2025-03-07T03:55:21Z,IGO706,"11.821475,77.153946",29650,446,22
1741319754,2025-03-07T03:55:54Z,IGO706,"11.882996,77.179573",30000,446,22
1741319784,2025-03-07T03:56:24Z,IGO706,"11.939253,77.203094",30000,429,22
1741319816,2025-03-07T03:56:56Z,IGO706,"11.999258,77.228348",30000,424,22
1741319849,2025-03-07T03:57:29Z,IGO706,"12.058411,77.253258",30000,426,22
