Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1731943328,2024-11-18T15:22:08Z,AIC2886,"10.154277,76.389267",0,0,357
1731943371,2024-11-18T15:22:51Z,AIC2886,"10.154067,76.389275",0,2,357
1731943389,2024-11-18T15:23:09Z,AIC2886,"10.153834,76.389297",0,3,2
1731943406,2024-11-18T15:23:26Z,AIC2886,"10.153633,76.389313",0,3,33
1731943431,2024-11-18T15:23:51Z,AIC2886,"10.153427,76.389114",0,2,84
1731943735,2024-11-18T15:28:55Z,AIC2886,"10.153439,76.389336",0,5,87
1731943743,2024-11-18T15:29:03Z,AIC2886,"10.153439,76.389549",0,6,87
1731943750,2024-11-18T15:29:10Z,AIC2886,"10.15345,76.389786",0,8,87
1731943757,2024-11-18T15:29:17Z,AIC2886,"10.153462,76.390068",0,9,87
1731943765,2024-11-18T15:29:25Z,AIC2886,"10.153474,76.390411",0,10,87
1731943772,2024-11-18T15:29:32Z,AIC2886,"10.153485,76.390778",0,11,87
1731943780,2024-11-18T15:29:40Z,AIC2886,"10.153496,76.39119",0,12,87
1731943786,2024-11-18T15:29:46Z,AIC2886,"10.153521,76.391624",0,13,87
1731943795,2024-11-18T15:29:55Z,AIC2886,"10.153532,76.392128",0,15,87
1731943801,2024-11-18T15:30:01Z,AIC2886,"10.153555,76.392654",0,15,87
1731943809,2024-11-18T15:30:09Z,AIC2886,"10.153579,76.393288",0,17,87
1731943816,2024-11-18T15:30:16Z,AIC2886,"10.153599,76.393837",0,17,87
1731943823,2024-11-18T15:30:23Z,AIC2886,"10.153622,76.394379",0,12,87
1731943832,2024-11-18T15:30:32Z,AIC2886,"10.153637,76.394745",0,8,87
1731943841,2024-11-18T15:30:41Z,AIC2886,"10.153543,76.395004",0,8,115
1731943848,2024-11-18T15:30:48Z,AIC2886,"10.15329,76.395111",0,9,160
1731943853,2024-11-18T15:30:53Z,AIC2886,"10.153067,76.395111",0,8,177
1731943864,2024-11-18T15:31:04Z,AIC2886,"10.152752,76.395302",0,8,137
1731943870,2024-11-18T15:31:10Z,AIC2886,"10.152682,76.395531",0,8,109
1731943877,2024-11-18T15:31:17Z,AIC2886,"10.152683,76.395782",0,8,90
1731943885,2024-11-18T15:31:25Z,AIC2886,"10.152695,76.396141",0,11,87
1731943893,2024-11-18T15:31:33Z,AIC2886,"10.152705,76.396431",0,12,87
1731943898,2024-11-18T15:31:38Z,AIC2886,"10.152729,76.396912",0,15,87
1731943907,2024-11-18T15:31:47Z,AIC2886,"10.15274,76.397247",0,16,87
1731943917,2024-11-18T15:31:57Z,AIC2886,"10.152763,76.398109",0,0,87
1731943926,2024-11-18T15:32:06Z,AIC2886,"10.152798,76.399101",0,22,87
1731943989,2024-11-18T15:33:09Z,AIC2886,"10.153113,76.407555",0,24,90
1731943996,2024-11-18T15:33:16Z,AIC2886,"10.153152,76.408501",0,25,87
1731944003,2024-11-18T15:33:23Z,AIC2886,"10.153175,76.409271",0,25,87
1731944010,2024-11-18T15:33:30Z,AIC2886,"10.15321,76.410149",0,26,87
1731944018,2024-11-18T15:33:38Z,AIC2886,"10.153241,76.410965",0,21,87
1731944024,2024-11-18T15:33:44Z,AIC2886,"10.153255,76.411644",0,21,87
1731944031,2024-11-18T15:33:51Z,AIC2886,"10.15329,76.412323",0,22,87
1731944038,2024-11-18T15:33:58Z,AIC2886,"10.153313,76.413109",0,22,87
1731944045,2024-11-18T15:34:05Z,AIC2886,"10.153347,76.413834",0,18,87
1731944052,2024-11-18T15:34:12Z,AIC2886,"10.153358,76.414391",0,15,87
1731944060,2024-11-18T15:34:20Z,AIC2886,"10.15338,76.414734",0,5,87
1731944068,2024-11-18T15:34:28Z,AIC2886,"10.153393,76.414963",0,6,87
1731944075,2024-11-18T15:34:35Z,AIC2886,"10.153393,76.415169",0,6,87
1731944083,2024-11-18T15:34:43Z,AIC2886,"10.153404,76.415405",0,6,87
1731944092,2024-11-18T15:34:52Z,AIC2886,"10.15337,76.415627",0,5,104
1731944102,2024-11-18T15:35:02Z,AIC2886,"10.153148,76.415817",0,7,140
1731944107,2024-11-18T15:35:07Z,AIC2886,"10.152924,76.415871",0,8,165
1731944114,2024-11-18T15:35:14Z,AIC2886,"10.152705,76.415878",0,8,177
1731944118,2024-11-18T15:35:18Z,AIC2886,"10.1525,76.415886",0,9,177
1731944125,2024-11-18T15:35:25Z,AIC2886,"10.152251,76.415901",0,8,177
1731944130,2024-11-18T15:35:30Z,AIC2886,"10.152031,76.415901",0,9,180
1731944136,2024-11-18T15:35:36Z,AIC2886,"10.151825,76.41581",0,9,205
1731944142,2024-11-18T15:35:42Z,AIC2886,"10.151681,76.415596",0,8,239
1731944148,2024-11-18T15:35:48Z,AIC2886,"10.151665,76.415382",0,8,261
1731944154,2024-11-18T15:35:54Z,AIC2886,"10.151653,76.415123",0,10,267
1731944159,2024-11-18T15:35:59Z,AIC2886,"10.151647,76.41481",0,16,270
1731944161,2024-11-18T15:36:01Z,AIC2886,"10.151642,76.414482",0,29,267
1731944162,2024-11-18T15:36:02Z,AIC2886,"10.151623,76.414246",0,34,267
1731944164,2024-11-18T15:36:04Z,AIC2886,"10.151608,76.413925",0,44,267
1731944165,2024-11-18T15:36:05Z,AIC2886,"10.1516,76.413673",0,50,267
1731944166,2024-11-18T15:36:06Z,AIC2886,"10.151588,76.4133",0,56,267
1731944167,2024-11-18T15:36:07Z,AIC2886,"10.151577,76.412964",0,62,270
1731944174,2024-11-18T15:36:14Z,AIC2886,"10.151506,76.410431",125,102,267
1731944185,2024-11-18T15:36:25Z,AIC2886,"10.15123,76.40358",125,141,267
1731944193,2024-11-18T15:36:33Z,AIC2886,"10.150949,76.397224",250,173,267
1731944200,2024-11-18T15:36:40Z,AIC2886,"10.150726,76.391525",600,170,267
1731944208,2024-11-18T15:36:48Z,AIC2886,"10.150406,76.384911",1025,169,267
1731944217,2024-11-18T15:36:57Z,AIC2886,"10.150157,76.377945",1300,178,267
1731944225,2024-11-18T15:37:05Z,AIC2886,"10.149831,76.370323",1525,189,267
1731944232,2024-11-18T15:37:12Z,AIC2886,"10.149673,76.364571",1700,198,267
1731944241,2024-11-18T15:37:21Z,AIC2886,"10.149307,76.356285",1875,210,267
1731944247,2024-11-18T15:37:27Z,AIC2886,"10.149033,76.34967",2025,221,267
1731944256,2024-11-18T15:37:36Z,AIC2886,"10.148666,76.341156",2200,232,267
1731944262,2024-11-18T15:37:42Z,AIC2886,"10.148294,76.333435",2425,240,268
1731944266,2024-11-18T15:37:46Z,AIC2886,"10.148438,76.328583",2550,244,273
1731944269,2024-11-18T15:37:49Z,AIC2886,"10.148712,76.326164",2600,247,276
1731944271,2024-11-18T15:37:51Z,AIC2886,"10.149261,76.32328",2650,251,282
1731944273,2024-11-18T15:37:53Z,AIC2886,"10.149692,76.321503",2675,253,286
1731944275,2024-11-18T15:37:55Z,AIC2886,"10.150436,76.319229",2725,256,290
1731944277,2024-11-18T15:37:57Z,AIC2886,"10.151688,76.316391",2800,259,294
1731944279,2024-11-18T15:37:59Z,AIC2886,"10.152763,76.314255",2825,261,298
1731944281,2024-11-18T15:38:01Z,AIC2886,"10.154067,76.312172",2875,264,302
1731944283,2024-11-18T15:38:03Z,AIC2886,"10.15565,76.309944",2950,266,306
1731944285,2024-11-18T15:38:05Z,AIC2886,"10.157684,76.307541",3025,268,312
1731944288,2024-11-18T15:38:08Z,AIC2886,"10.159513,76.305687",3100,269,316
1731944290,2024-11-18T15:38:10Z,AIC2886,"10.161609,76.303886",3175,270,320
1731944292,2024-11-18T15:38:12Z,AIC2886,"10.163681,76.30233",3250,272,324
1731944295,2024-11-18T15:38:15Z,AIC2886,"10.166245,76.300697",3350,272,328
1731944297,2024-11-18T15:38:17Z,AIC2886,"10.168625,76.299492",3450,272,332
1731944299,2024-11-18T15:38:19Z,AIC2886,"10.171618,76.298248",3550,273,338
1731944301,2024-11-18T15:38:21Z,AIC2886,"10.174118,76.29744",3650,273,343
1731944303,2024-11-18T15:38:23Z,AIC2886,"10.176956,76.296745",3750,273,349
1731944305,2024-11-18T15:38:25Z,AIC2886,"10.179671,76.296356",3850,273,351
1731944308,2024-11-18T15:38:28Z,AIC2886,"10.182231,76.296211",3925,274,358
1731944310,2024-11-18T15:38:30Z,AIC2886,"10.185397,76.29631",4050,274,358
1731944312,2024-11-18T15:38:32Z,AIC2886,"10.187393,76.296509",4125,273,6
1731944314,2024-11-18T15:38:34Z,AIC2886,"10.190002,76.296928",4225,274,11
1731944316,2024-11-18T15:38:36Z,AIC2886,"10.19371,76.297951",4375,274,15
1731944318,2024-11-18T15:38:38Z,AIC2886,"10.196011,76.29882",4475,272,21
1731944321,2024-11-18T15:38:41Z,AIC2886,"10.198478,76.299812",4575,271,23
1731944323,2024-11-18T15:38:43Z,AIC2886,"10.200806,76.300934",4700,271,25
1731944326,2024-11-18T15:38:46Z,AIC2886,"10.204297,76.30265",4875,271,26
1731944328,2024-11-18T15:38:48Z,AIC2886,"10.206532,76.303841",4975,271,27
1731944330,2024-11-18T15:38:50Z,AIC2886,"10.209185,76.30526",5100,272,28
1731944332,2024-11-18T15:38:52Z,AIC2886,"10.211838,76.306656",5225,272,28
1731944335,2024-11-18T15:38:55Z,AIC2886,"10.21412,76.307907",5325,272,28
1731944337,2024-11-18T15:38:57Z,AIC2886,"10.216308,76.309143",5425,274,28
1731944339,2024-11-18T15:38:59Z,AIC2886,"10.219162,76.310707",5550,274,28
1731944341,2024-11-18T15:39:01Z,AIC2886,"10.221405,76.311966",5650,274,28
1731944343,2024-11-18T15:39:03Z,AIC2886,"10.223694,76.313179",5725,275,28
1731944346,2024-11-18T15:39:06Z,AIC2886,"10.226316,76.314636",5850,276,28
1731944360,2024-11-18T15:39:20Z,AIC2886,"10.243633,76.323776",6600,279,27
1731944373,2024-11-18T15:39:33Z,AIC2886,"10.257935,76.331146",7200,282,26
1731944386,2024-11-18T15:39:46Z,AIC2886,"10.27359,76.339058",7825,284,26
1731944399,2024-11-18T15:39:59Z,AIC2886,"10.289674,76.347168",8450,289,26
1731944413,2024-11-18T15:40:13Z,AIC2886,"10.305679,76.355263",9075,291,26
1731944426,2024-11-18T15:40:26Z,AIC2886,"10.321841,76.363365",9825,288,26
1731944439,2024-11-18T15:40:39Z,AIC2886,"10.336784,76.370895",10500,287,26
1731944453,2024-11-18T15:40:53Z,AIC2886,"10.353973,76.379517",11100,291,26
1731944466,2024-11-18T15:41:06Z,AIC2886,"10.370349,76.387794",11750,294,26
1731944479,2024-11-18T15:41:19Z,AIC2886,"10.385944,76.395706",12150,304,26
1731944510,2024-11-18T15:41:50Z,AIC2886,"10.428027,76.416969",12625,342,26
1731944541,2024-11-18T15:42:21Z,AIC2886,"10.472488,76.439415",13625,355,26
1731944574,2024-11-18T15:42:54Z,AIC2886,"10.521881,76.464279",14850,364,26
1731944606,2024-11-18T15:43:26Z,AIC2886,"10.570724,76.488945",16100,369,26
1731944637,2024-11-18T15:43:57Z,AIC2886,"10.618705,76.513176",17050,379,26
1731944670,2024-11-18T15:44:30Z,AIC2886,"10.671066,76.539619",18175,383,26
1731944703,2024-11-18T15:45:03Z,AIC2886,"10.724705,76.566711",19325,385,26
1731944734,2024-11-18T15:45:34Z,AIC2886,"10.774063,76.59166",20200,390,26
1731944766,2024-11-18T15:46:06Z,AIC2886,"10.827306,76.618553",21225,389,26
1731944799,2024-11-18T15:46:39Z,AIC2886,"10.879578,76.645027",22050,393,26
1731944829,2024-11-18T15:47:09Z,AIC2886,"10.928789,76.669968",22675,400,26
1731944862,2024-11-18T15:47:42Z,AIC2886,"10.985165,76.698494",23425,407,26
1731944893,2024-11-18T15:48:13Z,AIC2886,"11.038466,76.725479",24150,411,26
1731944926,2024-11-18T15:48:46Z,AIC2886,"11.094406,76.753799",24850,419,26
1731944958,2024-11-18T15:49:18Z,AIC2886,"11.150436,76.782166",25600,423,26
1731944991,2024-11-18T15:49:51Z,AIC2886,"11.209442,76.812141",26125,432,26
1731945023,2024-11-18T15:50:23Z,AIC2886,"11.266022,76.840843",26825,432,26
1731945055,2024-11-18T15:50:55Z,AIC2886,"11.324576,76.870667",27725,429,26
1731945087,2024-11-18T15:51:27Z,AIC2886,"11.382301,76.899818",28600,424,26
1731945118,2024-11-18T15:51:58Z,AIC2886,"11.435417,76.926796",29075,428,26
1731945150,2024-11-18T15:52:30Z,AIC2886,"11.493701,76.956482",29500,432,26
1731945181,2024-11-18T15:53:01Z,AIC2886,"11.548691,76.984467",30000,435,26
1731945214,2024-11-18T15:53:34Z,AIC2886,"11.608749,77.015015",30400,441,26
1731945247,2024-11-18T15:54:07Z,AIC2886,"11.66897,77.045677",30875,445,26
1731945278,2024-11-18T15:54:38Z,AIC2886,"11.726555,77.07502",31375,446,26
1731945309,2024-11-18T15:55:09Z,AIC2886,"11.784187,77.104462",31900,447,26
1731945340,2024-11-18T15:55:40Z,AIC2886,"11.841797,77.133827",32375,448,26
1731945373,2024-11-18T15:56:13Z,AIC2886,"11.902863,77.164986",32700,453,26
1731945403,2024-11-18T15:56:43Z,AIC2886,"11.960899,77.194618",33100,455,26
1731945434,2024-11-18T15:57:14Z,AIC2886,"12.018265,77.223892",33625,452,26
1731945466,2024-11-18T15:57:46Z,AIC2886,"12.079376,77.25515",33975,453,26
1731945498,2024-11-18T15:58:18Z,AIC2886,"12.138356,77.285057",34075,446,24
1731945529,2024-11-18T15:58:49Z,AIC2886,"12.198761,77.309654",34475,447,20
1731945561,2024-11-18T15:59:21Z,AIC2886,"12.26001,77.333",34750,452,20
1731945596,2024-11-18T15:59:56Z,AIC2886,"12.330322,77.359665",35125,454,20
1731945629,2024-11-18T16:00:29Z,AIC2886,"12.395698,77.384468",35500,456,20
1731945662,2024-11-18T16:01:02Z,AIC2886,"12.460876,77.408768",36000,450,18
1731945694,2024-11-18T16:01:34Z,AIC2886,"12.527534,77.427544",36025,460,14
1731945725,2024-11-18T16:02:05Z,AIC2886,"12.590973,77.444427",36000,464,14
1731945759,2024-11-18T16:02:39Z,AIC2886,"12.661469,77.463181",36025,464,14
1731945790,2024-11-18T16:03:10Z,AIC2886,"12.725986,77.480354",36025,465,14
1731945820,2024-11-18T16:03:40Z,AIC2886,"12.790414,77.496933",36025,467,12
1731945851,2024-11-18T16:04:11Z,AIC2886,"12.855972,77.507263",36025,471,5
1731945884,2024-11-18T16:04:44Z,AIC2886,"12.929398,77.512383",36050,472,3
1731945918,2024-11-18T16:05:18Z,AIC2886,"13.00058,77.517166",36075,471,3
1731945948,2024-11-18T16:05:48Z,AIC2886,"13.068284,77.521553",36050,462,3
1731945982,2024-11-18T16:06:22Z,AIC2886,"13.140067,77.526276",36025,449,3
1731946013,2024-11-18T16:06:53Z,AIC2886,"13.205054,77.530472",36025,451,3
1731946047,2024-11-18T16:07:27Z,AIC2886,"13.27565,77.535065",36025,455,3
1731946078,2024-11-18T16:07:58Z,AIC2886,"13.340378,77.53923",36000,456,3
1731946111,2024-11-18T16:08:31Z,AIC2886,"13.411234,77.543861",36050,454,3
1731946142,2024-11-18T16:09:02Z,AIC2886,"13.476883,77.54818",36050,454,3
1731946174,2024-11-18T16:09:34Z,AIC2886,"13.543023,77.552444",36025,452,3
1731946205,2024-11-18T16:10:05Z,AIC2886,"13.608582,77.556801",36000,452,3
1731946239,2024-11-18T16:10:39Z,AIC2886,"13.67894,77.561394",36000,452,3
1731946270,2024-11-18T16:11:10Z,AIC2886,"13.744781,77.565697",36000,449,3
1731946301,2024-11-18T16:11:41Z,AIC2886,"13.809023,77.569839",36000,448,3
1731946331,2024-11-18T16:12:11Z,AIC2886,"13.871567,77.573898",36000,446,3
1731946365,2024-11-18T16:12:45Z,AIC2886,"13.940999,77.578514",35975,446,3
1731946398,2024-11-18T16:13:18Z,AIC2886,"14.009664,77.582947",36000,446,3
1731946428,2024-11-18T16:13:48Z,AIC2886,"14.071997,77.58699",36000,448,3
1731946461,2024-11-18T16:14:21Z,AIC2886,"14.1415,77.591568",35975,447,3
1731946492,2024-11-18T16:14:52Z,AIC2886,"14.204727,77.595627",36000,448,3
1731946525,2024-11-18T16:15:25Z,AIC2886,"14.27417,77.600273",36000,450,3
1731946559,2024-11-18T16:15:59Z,AIC2886,"14.344188,77.604866",36000,452,3
1731946589,2024-11-18T16:16:29Z,AIC2886,"14.407516,77.609032",36025,453,3
1731946622,2024-11-18T16:17:02Z,AIC2886,"14.477281,77.613586",36050,454,3
1731946655,2024-11-18T16:17:35Z,AIC2886,"14.547043,77.618126",36050,454,3
1731946689,2024-11-18T16:18:09Z,AIC2886,"14.617449,77.622742",36050,454,3
1731946721,2024-11-18T16:18:41Z,AIC2886,"14.685745,77.627266",36050,453,3
1731946752,2024-11-18T16:19:12Z,AIC2886,"14.751434,77.631668",36050,454,3
1731946786,2024-11-18T16:19:46Z,AIC2886,"14.821534,77.636238",36025,451,3
1731946821,2024-11-18T16:20:21Z,AIC2886,"14.894806,77.641106",36000,450,3
1731946851,2024-11-18T16:20:51Z,AIC2886,"14.958351,77.645233",36000,450,3
1731946884,2024-11-18T16:21:24Z,AIC2886,"15.025899,77.64975",36000,450,3
1731946917,2024-11-18T16:21:57Z,AIC2886,"15.095588,77.654411",36000,450,3
1731946949,2024-11-18T16:22:29Z,AIC2886,"15.162689,77.658836",36000,450,3
1731946982,2024-11-18T16:23:02Z,AIC2886,"15.231706,77.663383",36000,452,3
1731947016,2024-11-18T16:23:36Z,AIC2886,"15.302233,77.667992",36000,452,3
1731947046,2024-11-18T16:24:06Z,AIC2886,"15.365021,77.67218",36000,452,3
1731947079,2024-11-18T16:24:39Z,AIC2886,"15.434487,77.676819",36000,454,3
1731947109,2024-11-18T16:25:09Z,AIC2886,"15.498001,77.681",36025,454,3
1731947142,2024-11-18T16:25:42Z,AIC2886,"15.567993,77.685631",36050,456,3
1731947176,2024-11-18T16:26:16Z,AIC2886,"15.63834,77.690361",36025,455,3
1731947206,2024-11-18T16:26:46Z,AIC2886,"15.70285,77.694641",36025,458,3
1731947239,2024-11-18T16:27:19Z,AIC2886,"15.773947,77.699333",36000,463,3
1731947273,2024-11-18T16:27:53Z,AIC2886,"15.846176,77.704132",36025,464,3
1731947303,2024-11-18T16:28:23Z,AIC2886,"15.910675,77.708466",36025,464,3
1731947337,2024-11-18T16:28:57Z,AIC2886,"15.98291,77.713333",36025,464,3
1731947370,2024-11-18T16:29:30Z,AIC2886,"16.055401,77.71817",36025,464,3
1731947400,2024-11-18T16:30:00Z,AIC2886,"16.120342,77.722481",36025,465,3
1731947434,2024-11-18T16:30:34Z,AIC2886,"16.192497,77.727287",36025,466,3
1731947466,2024-11-18T16:31:06Z,AIC2886,"16.263165,77.732048",36050,466,3
1731947497,2024-11-18T16:31:37Z,AIC2886,"16.3295,77.736511",36025,466,3
1731947531,2024-11-18T16:32:11Z,AIC2886,"16.401993,77.741379",36025,466,3
1731947563,2024-11-18T16:32:43Z,AIC2886,"16.471756,77.746002",36025,465,3
1731947596,2024-11-18T16:33:16Z,AIC2886,"16.543671,77.750824",36000,466,3
1731947627,2024-11-18T16:33:47Z,AIC2886,"16.610723,77.755394",36025,465,3
1731947661,2024-11-18T16:34:21Z,AIC2886,"16.682419,77.76017",36025,466,3
1731947694,2024-11-18T16:34:54Z,AIC2886,"16.754105,77.765053",36000,464,3
1731947724,2024-11-18T16:35:24Z,AIC2886,"16.81937,77.76947",36000,464,3
1731947757,2024-11-18T16:35:57Z,AIC2886,"16.890501,77.774231",36000,464,3
1731947790,2024-11-18T16:36:30Z,AIC2886,"16.962158,77.77906",36000,465,3
1731947824,2024-11-18T16:37:04Z,AIC2886,"17.034115,77.78389",36000,465,3
1731947857,2024-11-18T16:37:37Z,AIC2886,"17.105946,77.788795",36025,466,3
1731947891,2024-11-18T16:38:11Z,AIC2886,"17.17852,77.793648",36000,465,3
1731947924,2024-11-18T16:38:44Z,AIC2886,"17.249979,77.798454",36025,466,3
