Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1732025707,2024-11-19T14:15:07Z,AIC2886,"10.152904,76.390579",0,10,340
1732025718,2024-11-19T14:15:18Z,AIC2886,"10.153301,76.390549",0,8,348
1732025722,2024-11-19T14:15:22Z,AIC2886,"10.15345,76.390335",0,10,303
1732025727,2024-11-19T14:15:27Z,AIC2886,"10.153461,76.390091",0,10,270
1732025733,2024-11-19T14:15:33Z,AIC2886,"10.15345,76.389854",0,11,267
1732025737,2024-11-19T14:15:37Z,AIC2886,"10.153439,76.389587",0,12,267
1732025745,2024-11-19T14:15:45Z,AIC2886,"10.153416,76.38916",0,9,267
1732025751,2024-11-19T14:15:51Z,AIC2886,"10.153439,76.388947",0,7,278
1732025764,2024-11-19T14:16:04Z,AIC2886,"10.153839,76.388802",0,8,354
1732025774,2024-11-19T14:16:14Z,AIC2886,"10.154056,76.388794",0,3,357
1732025865,2024-11-19T14:17:45Z,AIC2886,"10.154263,76.388786",0,0,357
1732028267,2024-11-19T14:57:47Z,AIC2886,"10.154057,76.388802",0,0,357
1732028291,2024-11-19T14:58:11Z,AIC2886,"10.153851,76.388802",0,2,354
1732028316,2024-11-19T14:58:36Z,AIC2886,"10.153613,76.38884",0,2,28
1732028346,2024-11-19T14:59:06Z,AIC2886,"10.153404,76.388733",0,1,87
1732028605,2024-11-19T15:03:25Z,AIC2886,"10.153416,76.388954",0,4,87
1732028614,2024-11-19T15:03:34Z,AIC2886,"10.153416,76.389183",0,6,87
1732028621,2024-11-19T15:03:41Z,AIC2886,"10.153427,76.389404",0,7,87
1732028630,2024-11-19T15:03:50Z,AIC2886,"10.153439,76.389702",0,8,87
1732028637,2024-11-19T15:03:57Z,AIC2886,"10.15345,76.389938",0,9,87
1732028644,2024-11-19T15:04:04Z,AIC2886,"10.15345,76.390305",0,10,90
1732028652,2024-11-19T15:04:12Z,AIC2886,"10.153253,76.390556",0,8,143
1732028662,2024-11-19T15:04:22Z,AIC2886,"10.15288,76.390564",0,8,177
1732028668,2024-11-19T15:04:28Z,AIC2886,"10.152649,76.390503",0,8,196
1732028677,2024-11-19T15:04:37Z,AIC2886,"10.1525,76.390266",0,7,239
1732028684,2024-11-19T15:04:44Z,AIC2886,"10.152477,76.390045",0,7,264
1732028693,2024-11-19T15:04:53Z,AIC2886,"10.152466,76.389717",0,9,267
1732028698,2024-11-19T15:04:58Z,AIC2886,"10.152454,76.389465",0,10,267
1732028704,2024-11-19T15:05:04Z,AIC2886,"10.152443,76.389137",0,12,267
1732028709,2024-11-19T15:05:09Z,AIC2886,"10.152443,76.38887",0,13,267
1732028713,2024-11-19T15:05:13Z,AIC2886,"10.152427,76.388588",0,15,267
1732028718,2024-11-19T15:05:18Z,AIC2886,"10.152409,76.388206",0,16,267
1732028728,2024-11-19T15:05:28Z,AIC2886,"10.15238,76.387383",0,18,267
1732028735,2024-11-19T15:05:35Z,AIC2886,"10.152351,76.386719",0,19,267
1732028742,2024-11-19T15:05:42Z,AIC2886,"10.152333,76.386139",0,16,267
1732028749,2024-11-19T15:05:49Z,AIC2886,"10.152317,76.385658",0,13,267
1732028756,2024-11-19T15:05:56Z,AIC2886,"10.152287,76.385315",0,10,261
1732028763,2024-11-19T15:06:03Z,AIC2886,"10.152147,76.385109",0,7,230
1732028771,2024-11-19T15:06:11Z,AIC2886,"10.151902,76.38504",0,8,194
1732028777,2024-11-19T15:06:17Z,AIC2886,"10.151665,76.385056",0,9,177
1732028781,2024-11-19T15:06:21Z,AIC2886,"10.151459,76.385063",0,10,177
