Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1732287995,2024-11-22T15:06:35Z,AIC2886,"10.154194,76.389717",0,1,354
1732288024,2024-11-22T15:07:04Z,AIC2886,"10.153939,76.38974",0,1,2
1732288052,2024-11-22T15:07:32Z,AIC2886,"10.153729,76.389748",0,1,22
1732288082,2024-11-22T15:08:02Z,AIC2886,"10.153521,76.389679",0,1,53
1732288119,2024-11-22T15:08:39Z,AIC2886,"10.153381,76.389473",0,1,90
1732288474,2024-11-22T15:14:34Z,AIC2886,"10.153275,76.390518",0,7,129
1732288486,2024-11-22T15:14:46Z,AIC2886,"10.152822,76.390602",0,7,174
1732288498,2024-11-22T15:14:58Z,AIC2886,"10.152523,76.390839",0,7,129
1732288511,2024-11-22T15:15:11Z,AIC2886,"10.152477,76.391167",0,0,95
1732288515,2024-11-22T15:15:15Z,AIC2886,"10.152485,76.391411",0,8,90
1732288523,2024-11-22T15:15:23Z,AIC2886,"10.152496,76.391678",0,9,90
1732288532,2024-11-22T15:15:32Z,AIC2886,"10.152512,76.39222",0,11,90
1732288553,2024-11-22T15:15:53Z,AIC2886,"10.152557,76.393517",0,0,87
1732288560,2024-11-22T15:16:00Z,AIC2886,"10.15258,76.393967",0,15,87
1732288580,2024-11-22T15:16:20Z,AIC2886,"10.152637,76.395493",0,0,87
1732288591,2024-11-22T15:16:31Z,AIC2886,"10.15266,76.396461",0,18,87
1732288711,2024-11-22T15:18:31Z,AIC2886,"10.153152,76.409645",0,23,87
1732288722,2024-11-22T15:18:42Z,AIC2886,"10.153187,76.410683",0,20,90
1732288732,2024-11-22T15:18:52Z,AIC2886,"10.153217,76.411674",0,21,87
1732288743,2024-11-22T15:19:03Z,AIC2886,"10.153264,76.412674",0,21,87
1732288750,2024-11-22T15:19:10Z,AIC2886,"10.153299,76.413544",0,21,87
1732288759,2024-11-22T15:19:19Z,AIC2886,"10.153322,76.414307",0,22,87
1732288765,2024-11-22T15:19:25Z,AIC2886,"10.153347,76.414917",0,17,87
1732288773,2024-11-22T15:19:33Z,AIC2886,"10.153358,76.415497",0,12,90
1732288780,2024-11-22T15:19:40Z,AIC2886,"10.153275,76.415749",0,9,112
1732288785,2024-11-22T15:19:45Z,AIC2886,"10.153067,76.415894",0,10,151
1732288791,2024-11-22T15:19:51Z,AIC2886,"10.152809,76.415894",0,10,177
