Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1732632245,2024-11-26T14:44:05Z,AIC2886,"10.154251,76.38929",0,0,357
1732632290,2024-11-26T14:44:50Z,AIC2886,"10.153976,76.389297",0,2,357
1732632317,2024-11-26T14:45:17Z,AIC2886,"10.153718,76.389336",0,2,14
1732632341,2024-11-26T14:45:41Z,AIC2886,"10.153507,76.38929",0,2,56
1732632374,2024-11-26T14:46:14Z,AIC2886,"10.153369,76.389076",0,1,84
1732632756,2024-11-26T14:52:36Z,AIC2886,"10.153393,76.38958",0,6,87
1732632766,2024-11-26T14:52:46Z,AIC2886,"10.153404,76.389915",0,8,87
1732632772,2024-11-26T14:52:52Z,AIC2886,"10.153416,76.390167",0,7,87
1732632779,2024-11-26T14:52:59Z,AIC2886,"10.153416,76.390381",0,7,92
1732632789,2024-11-26T14:53:09Z,AIC2886,"10.153113,76.390594",0,9,160
1732632796,2024-11-26T14:53:16Z,AIC2886,"10.152857,76.390602",0,9,174
1732632815,2024-11-26T14:53:35Z,AIC2886,"10.152427,76.390083",0,0,261
1732632820,2024-11-26T14:53:40Z,AIC2886,"10.152414,76.389847",0,9,267
1732632826,2024-11-26T14:53:46Z,AIC2886,"10.152414,76.389587",0,10,267
1732632830,2024-11-26T14:53:50Z,AIC2886,"10.152397,76.389374",0,11,267
1732632837,2024-11-26T14:53:57Z,AIC2886,"10.152386,76.389053",0,12,267
1732632842,2024-11-26T14:54:02Z,AIC2886,"10.152374,76.388695",0,12,267
1732632850,2024-11-26T14:54:10Z,AIC2886,"10.152363,76.388252",0,13,267
1732632857,2024-11-26T14:54:17Z,AIC2886,"10.152345,76.387772",0,14,267
1732632864,2024-11-26T14:54:24Z,AIC2886,"10.152328,76.387253",0,15,267
1732632872,2024-11-26T14:54:32Z,AIC2886,"10.152306,76.386681",0,16,267
1732632878,2024-11-26T14:54:38Z,AIC2886,"10.152294,76.386192",0,16,267
1732632885,2024-11-26T14:54:45Z,AIC2886,"10.152275,76.385712",0,12,267
1732632893,2024-11-26T14:54:53Z,AIC2886,"10.152251,76.385391",0,9,264
1732632900,2024-11-26T14:55:00Z,AIC2886,"10.152089,76.385132",0,10,233
1732632904,2024-11-26T14:55:04Z,AIC2886,"10.151868,76.385071",0,11,194
1732632909,2024-11-26T14:55:09Z,AIC2886,"10.151619,76.385086",0,12,180
1732632913,2024-11-26T14:55:13Z,AIC2886,"10.151413,76.385101",0,12,177
1732632916,2024-11-26T14:55:16Z,AIC2886,"10.151184,76.385101",0,13,177
1732632920,2024-11-26T14:55:20Z,AIC2886,"10.150967,76.385109",0,12,177
1732632926,2024-11-26T14:55:26Z,AIC2886,"10.150703,76.385147",0,9,171
1732632936,2024-11-26T14:55:36Z,AIC2886,"10.150529,76.385361",0,6,126
1732632943,2024-11-26T14:55:43Z,AIC2886,"10.15052,76.385567",0,6,95
1732632952,2024-11-26T14:55:52Z,AIC2886,"10.150529,76.385895",0,10,90
