Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1732802288,2024-11-28T13:58:08Z,AIC2886,"10.152543,76.392509",0,0,267
1732802320,2024-11-28T13:58:40Z,AIC2886,"10.152935,76.390594",0,10,351
1732802332,2024-11-28T13:58:52Z,AIC2886,"10.153416,76.390343",0,9,306
1732802340,2024-11-28T13:59:00Z,AIC2886,"10.153439,76.389999",0,10,267
1732802345,2024-11-28T13:59:05Z,AIC2886,"10.153416,76.389702",0,11,267
1732802351,2024-11-28T13:59:11Z,AIC2886,"10.153404,76.389351",0,12,267
1732802358,2024-11-28T13:59:18Z,AIC2886,"10.153392,76.389038",0,8,270
1732802367,2024-11-28T13:59:27Z,AIC2886,"10.153508,76.388817",0,6,306
1732802376,2024-11-28T13:59:36Z,AIC2886,"10.153713,76.388802",0,6,348
1732802381,2024-11-28T13:59:41Z,AIC2886,"10.153916,76.388802",0,6,357
1732802396,2024-11-28T13:59:56Z,AIC2886,"10.154125,76.388794",0,2,357
1732804868,2024-11-28T14:41:08Z,AIC2886,"10.153904,76.388802",0,2,357
1732804886,2024-11-28T14:41:26Z,AIC2886,"10.15369,76.388824",0,2,8
1732804906,2024-11-28T14:41:46Z,AIC2886,"10.153485,76.38884",0,2,47
1732804953,2024-11-28T14:42:33Z,AIC2886,"10.153358,76.388626",0,1,92
1732805352,2024-11-28T14:49:12Z,AIC2886,"10.15337,76.388863",0,4,87
1732805368,2024-11-28T14:49:28Z,AIC2886,"10.15338,76.389076",0,4,87
1732805378,2024-11-28T14:49:38Z,AIC2886,"10.153392,76.389328",0,6,87
1732805387,2024-11-28T14:49:47Z,AIC2886,"10.153404,76.389549",0,6,87
1732805395,2024-11-28T14:49:55Z,AIC2886,"10.153404,76.389778",0,6,87
1732805403,2024-11-28T14:50:03Z,AIC2886,"10.153416,76.389999",0,5,87
1732805412,2024-11-28T14:50:12Z,AIC2886,"10.153427,76.390244",0,6,87
1732805421,2024-11-28T14:50:21Z,AIC2886,"10.153381,76.39045",0,5,104
1732805433,2024-11-28T14:50:33Z,AIC2886,"10.153141,76.390579",0,6,157
1732805442,2024-11-28T14:50:42Z,AIC2886,"10.152904,76.390579",0,5,177
1732805450,2024-11-28T14:50:50Z,AIC2886,"10.152682,76.390594",0,5,180
1732805462,2024-11-28T14:51:02Z,AIC2886,"10.152454,76.390442",0,5,216
1732805474,2024-11-28T14:51:14Z,AIC2886,"10.15242,76.390175",0,5,261
1732805493,2024-11-28T14:51:33Z,AIC2886,"10.152414,76.389595",0,0,267
1732805505,2024-11-28T14:51:45Z,AIC2886,"10.152397,76.389229",0,0,270
1732805514,2024-11-28T14:51:54Z,AIC2886,"10.152397,76.388962",0,7,267
1732805521,2024-11-28T14:52:01Z,AIC2886,"10.152386,76.388718",0,8,267
1732805526,2024-11-28T14:52:06Z,AIC2886,"10.152374,76.388512",0,8,267
1732805536,2024-11-28T14:52:16Z,AIC2886,"10.152356,76.388062",0,10,267
1732805543,2024-11-28T14:52:23Z,AIC2886,"10.152345,76.387726",0,11,267
1732805550,2024-11-28T14:52:30Z,AIC2886,"10.152333,76.387337",0,11,267
1732805564,2024-11-28T14:52:44Z,AIC2886,"10.152306,76.386589",0,0,267
1732805575,2024-11-28T14:52:55Z,AIC2886,"10.152287,76.385857",0,12,267
1732805582,2024-11-28T14:53:02Z,AIC2886,"10.152271,76.385544",0,9,270
1732805589,2024-11-28T14:53:09Z,AIC2886,"10.152251,76.385277",0,7,261
1732805599,2024-11-28T14:53:19Z,AIC2886,"10.152077,76.385063",0,7,225
1732805606,2024-11-28T14:53:26Z,AIC2886,"10.151814,76.385056",0,8,182
1732805613,2024-11-28T14:53:33Z,AIC2886,"10.151542,76.385063",0,9,177
1732805617,2024-11-28T14:53:37Z,AIC2886,"10.151321,76.385078",0,10,177
1732805623,2024-11-28T14:53:43Z,AIC2886,"10.151047,76.385086",0,10,177
1732805629,2024-11-28T14:53:49Z,AIC2886,"10.150808,76.385124",0,8,171
1732805637,2024-11-28T14:53:57Z,AIC2886,"10.150587,76.385231",0,6,151
1732805647,2024-11-28T14:54:07Z,AIC2886,"10.150509,76.385437",0,5,112
1732805660,2024-11-28T14:54:20Z,AIC2886,"10.150532,76.385643",0,5,92
1732805664,2024-11-28T14:54:24Z,AIC2886,"10.150532,76.385895",0,11,90
1732805667,2024-11-28T14:54:27Z,AIC2886,"10.150543,76.386139",0,17,87
1732805669,2024-11-28T14:54:29Z,AIC2886,"10.150566,76.386475",0,26,87
1732805672,2024-11-28T14:54:32Z,AIC2886,"10.150576,76.386887",0,35,87
1732805673,2024-11-28T14:54:33Z,AIC2886,"10.150589,76.387253",0,45,90
1732805676,2024-11-28T14:54:36Z,AIC2886,"10.150611,76.387901",0,55,87
1732805677,2024-11-28T14:54:37Z,AIC2886,"10.150623,76.388199",0,59,87
1732805678,2024-11-28T14:54:38Z,AIC2886,"10.150634,76.388588",0,64,87
1732805679,2024-11-28T14:54:39Z,AIC2886,"10.150658,76.389297",0,72,87
1732805687,2024-11-28T14:54:47Z,AIC2886,"10.150818,76.39315",200,108,87
1732805712,2024-11-28T14:55:12Z,AIC2886,"10.151506,76.410431",600,155,87
1732805719,2024-11-28T14:55:19Z,AIC2886,"10.151733,76.415222",850,154,87
1732805728,2024-11-28T14:55:28Z,AIC2886,"10.151973,76.421227",1150,155,87
1732805736,2024-11-28T14:55:36Z,AIC2886,"10.152283,76.428116",1325,166,87
1732805743,2024-11-28T14:55:43Z,AIC2886,"10.152466,76.433144",1475,174,87
1732805750,2024-11-28T14:55:50Z,AIC2886,"10.15274,76.439659",1675,181,87
1732805758,2024-11-28T14:55:58Z,AIC2886,"10.152969,76.446175",1850,191,87
1732805766,2024-11-28T14:56:06Z,AIC2886,"10.15329,76.453529",2050,201,87
1732805774,2024-11-28T14:56:14Z,AIC2886,"10.15361,76.461769",2225,214,87
1732805783,2024-11-28T14:56:23Z,AIC2886,"10.15402,76.47081",2450,225,87
