Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733583244,2024-12-07T14:54:04Z,AIC2886,"10.153416,76.389091",0,6,87
1733583252,2024-12-07T14:54:12Z,AIC2886,"10.153427,76.389359",0,8,87
1733583258,2024-12-07T14:54:18Z,AIC2886,"10.153439,76.389618",0,9,87
1733583266,2024-12-07T14:54:26Z,AIC2886,"10.153461,76.389954",0,9,87
1733583273,2024-12-07T14:54:33Z,AIC2886,"10.153462,76.390213",0,7,87
1733583281,2024-12-07T14:54:41Z,AIC2886,"10.153439,76.390427",0,6,101
1733583288,2024-12-07T14:54:48Z,AIC2886,"10.153217,76.390564",0,8,149
1733583296,2024-12-07T14:54:56Z,AIC2886,"10.152958,76.390594",0,7,174
1733583302,2024-12-07T14:55:02Z,AIC2886,"10.15274,76.390648",0,7,163
1733583311,2024-12-07T14:55:11Z,AIC2886,"10.152557,76.390892",0,7,123
1733583318,2024-12-07T14:55:18Z,AIC2886,"10.152523,76.391151",0,7,98
1733583327,2024-12-07T14:55:27Z,AIC2886,"10.152531,76.391495",0,9,90
1733583334,2024-12-07T14:55:34Z,AIC2886,"10.152546,76.3918",0,10,87
1733583340,2024-12-07T14:55:40Z,AIC2886,"10.152555,76.392044",0,10,87
1733583344,2024-12-07T14:55:44Z,AIC2886,"10.152555,76.392273",0,11,87
1733583349,2024-12-07T14:55:49Z,AIC2886,"10.152566,76.392525",0,12,87
1733583357,2024-12-07T14:55:57Z,AIC2886,"10.152577,76.392937",0,13,87
1733583364,2024-12-07T14:56:04Z,AIC2886,"10.152603,76.393471",0,14,87
1733583372,2024-12-07T14:56:12Z,AIC2886,"10.152624,76.393974",0,15,87
1733583379,2024-12-07T14:56:19Z,AIC2886,"10.152636,76.394524",0,15,87
1733583387,2024-12-07T14:56:27Z,AIC2886,"10.15266,76.394958",0,16,87
1733583393,2024-12-07T14:56:33Z,AIC2886,"10.152682,76.395584",0,17,87
1733583400,2024-12-07T14:56:40Z,AIC2886,"10.152705,76.396194",0,17,87
1733583408,2024-12-07T14:56:48Z,AIC2886,"10.152729,76.396805",0,18,87
1733583418,2024-12-07T14:56:58Z,AIC2886,"10.152763,76.397766",0,19,87
1733583430,2024-12-07T14:57:10Z,AIC2886,"10.152786,76.398544",0,20,87
1733583444,2024-12-07T14:57:24Z,AIC2886,"10.152845,76.400253",0,0,87
1733583517,2024-12-07T14:58:37Z,AIC2886,"10.153152,76.408577",0,27,87
1733583523,2024-12-07T14:58:43Z,AIC2886,"10.153183,76.409508",0,27,87
1733583531,2024-12-07T14:58:51Z,AIC2886,"10.153217,76.410477",0,27,87
1733583537,2024-12-07T14:58:57Z,AIC2886,"10.153255,76.411308",0,25,87
1733583545,2024-12-07T14:59:05Z,AIC2886,"10.153288,76.412224",0,25,87
1733583552,2024-12-07T14:59:12Z,AIC2886,"10.153311,76.413025",0,26,87
1733583560,2024-12-07T14:59:20Z,AIC2886,"10.153358,76.41407",0,24,87
1733583566,2024-12-07T14:59:26Z,AIC2886,"10.15338,76.414734",0,17,87
1733583573,2024-12-07T14:59:33Z,AIC2886,"10.153404,76.415207",0,14,87
1733583580,2024-12-07T14:59:40Z,AIC2886,"10.153404,76.415543",0,9,92
1733583585,2024-12-07T14:59:45Z,AIC2886,"10.153311,76.415749",0,9,115
1733583590,2024-12-07T14:59:50Z,AIC2886,"10.153101,76.415871",0,10,149
1733583595,2024-12-07T14:59:55Z,AIC2886,"10.152878,76.415894",0,11,171
1733583599,2024-12-07T14:59:59Z,AIC2886,"10.152672,76.415894",0,12,180
1733583604,2024-12-07T15:00:04Z,AIC2886,"10.152438,76.415901",0,13,177
1733583606,2024-12-07T15:00:06Z,AIC2886,"10.152214,76.415916",0,12,180
1733583610,2024-12-07T15:00:10Z,AIC2886,"10.152008,76.415916",0,11,180
1733583617,2024-12-07T15:00:17Z,AIC2886,"10.151774,76.415833",0,7,202
1733583624,2024-12-07T15:00:24Z,AIC2886,"10.15167,76.415627",0,6,241
1733583630,2024-12-07T15:00:30Z,AIC2886,"10.151653,76.415405",0,12,264
1733583633,2024-12-07T15:00:33Z,AIC2886,"10.151653,76.415161",0,17,267
1733583636,2024-12-07T15:00:36Z,AIC2886,"10.151647,76.414917",0,21,267
1733583638,2024-12-07T15:00:38Z,AIC2886,"10.15163,76.414543",0,35,267
1733583640,2024-12-07T15:00:40Z,AIC2886,"10.151619,76.414139",0,45,267
1733583642,2024-12-07T15:00:42Z,AIC2886,"10.151608,76.413902",0,50,267
1733583645,2024-12-07T15:00:45Z,AIC2886,"10.151585,76.413162",0,64,267
1733583647,2024-12-07T15:00:47Z,AIC2886,"10.151565,76.412827",0,68,267
1733583652,2024-12-07T15:00:52Z,AIC2886,"10.151472,76.410187",0,94,267
1733583662,2024-12-07T15:01:02Z,AIC2886,"10.151276,76.404556",0,99,267
1733583673,2024-12-07T15:01:13Z,AIC2886,"10.150994,76.396744",0,0,267
1733583680,2024-12-07T15:01:20Z,AIC2886,"10.150772,76.391945",325,165,267
1733583687,2024-12-07T15:01:27Z,AIC2886,"10.150589,76.386169",625,160,268
1733583695,2024-12-07T15:01:35Z,AIC2886,"10.150497,76.380165",950,157,269
1733583703,2024-12-07T15:01:43Z,AIC2886,"10.15039,76.373543",1250,162,268
1733583710,2024-12-07T15:01:50Z,AIC2886,"10.150296,76.368858",1375,170,268
1733583718,2024-12-07T15:01:58Z,AIC2886,"10.150064,76.361801",1550,183,268
1733583727,2024-12-07T15:02:07Z,AIC2886,"10.149831,76.354271",1725,194,268
1733583735,2024-12-07T15:02:15Z,AIC2886,"10.149551,76.346413",1925,208,267
1733583744,2024-12-07T15:02:24Z,AIC2886,"10.149307,76.337898",2075,223,268
1733583751,2024-12-07T15:02:31Z,AIC2886,"10.149033,76.330124",2200,236,268
1733583757,2024-12-07T15:02:37Z,AIC2886,"10.149124,76.322487",2300,248,274
1733583761,2024-12-07T15:02:41Z,AIC2886,"10.149628,76.318527",2375,251,279
1733583763,2024-12-07T15:02:43Z,AIC2886,"10.150085,76.316528",2425,254,283
1733583765,2024-12-07T15:02:45Z,AIC2886,"10.150864,76.313644",2500,256,286
1733583767,2024-12-07T15:02:47Z,AIC2886,"10.151642,76.311455",2550,258,289
1733583769,2024-12-07T15:02:49Z,AIC2886,"10.152763,76.308853",2625,260,295
1733583771,2024-12-07T15:02:51Z,AIC2886,"10.153881,76.306679",2700,262,297
1733583774,2024-12-07T15:02:54Z,AIC2886,"10.15565,76.303886",2800,262,303
1733583776,2024-12-07T15:02:56Z,AIC2886,"10.15714,76.301895",2875,264,307
1733583778,2024-12-07T15:02:58Z,AIC2886,"10.158691,76.300049",2950,264,311
1733583780,2024-12-07T15:03:00Z,AIC2886,"10.160843,76.298004",3050,265,316
1733583782,2024-12-07T15:03:02Z,AIC2886,"10.162766,76.296417",3125,267,322
1733583785,2024-12-07T15:03:05Z,AIC2886,"10.16538,76.294601",3250,268,326
1733583787,2024-12-07T15:03:07Z,AIC2886,"10.167149,76.29361",3300,269,330
1733583790,2024-12-07T15:03:10Z,AIC2886,"10.171188,76.291718",3450,271,337
1733583792,2024-12-07T15:03:12Z,AIC2886,"10.173569,76.290924",3525,270,344
1733583794,2024-12-07T15:03:14Z,AIC2886,"10.176132,76.290321",3625,270,349
1733583796,2024-12-07T15:03:16Z,AIC2886,"10.178787,76.289948",3750,270,353
1733583798,2024-12-07T15:03:18Z,AIC2886,"10.181719,76.289726",3850,270,358
1733583800,2024-12-07T15:03:20Z,AIC2886,"10.184093,76.289772",3950,269,2
1733583803,2024-12-07T15:03:23Z,AIC2886,"10.187119,76.290085",4075,268,6
1733583805,2024-12-07T15:03:25Z,AIC2886,"10.189028,76.290436",4150,267,10
1733583807,2024-12-07T15:03:27Z,AIC2886,"10.192108,76.291161",4275,268,14
1733583809,2024-12-07T15:03:29Z,AIC2886,"10.193962,76.291763",4350,268,17
1733583811,2024-12-07T15:03:31Z,AIC2886,"10.197035,76.292854",4475,268,20
1733583813,2024-12-07T15:03:33Z,AIC2886,"10.199595,76.293938",4575,268,22
1733583815,2024-12-07T15:03:35Z,AIC2886,"10.202063,76.295174",4700,267,26
1733583817,2024-12-07T15:03:37Z,AIC2886,"10.20425,76.29631",4825,267,28
1733583820,2024-12-07T15:03:40Z,AIC2886,"10.206532,76.297585",4950,266,29
1733583822,2024-12-07T15:03:42Z,AIC2886,"10.208725,76.298882",5050,266,30
1733583824,2024-12-07T15:03:44Z,AIC2886,"10.211,76.300285",5175,266,31
1733583826,2024-12-07T15:03:46Z,AIC2886,"10.21344,76.301819",5325,264,32
1733583828,2024-12-07T15:03:48Z,AIC2886,"10.215546,76.303123",5475,263,32
1733583830,2024-12-07T15:03:50Z,AIC2886,"10.217983,76.304688",5625,262,32
1733583833,2024-12-07T15:03:53Z,AIC2886,"10.220169,76.306099",5775,261,32
1733583835,2024-12-07T15:03:55Z,AIC2886,"10.223145,76.307961",5950,261,32
1733583837,2024-12-07T15:03:57Z,AIC2886,"10.225245,76.309334",6050,261,32
1733583839,2024-12-07T15:03:59Z,AIC2886,"10.227402,76.310661",6150,262,31
1733583842,2024-12-07T15:04:02Z,AIC2886,"10.229553,76.312012",6275,262,31
1733583854,2024-12-07T15:04:14Z,AIC2886,"10.243122,76.319984",6850,267,29
1733583868,2024-12-07T15:04:28Z,AIC2886,"10.257506,76.327896",7375,273,28
1733583881,2024-12-07T15:04:41Z,AIC2886,"10.27272,76.335938",8025,276,27
1733583894,2024-12-07T15:04:54Z,AIC2886,"10.287346,76.34343",8650,276,26
1733583907,2024-12-07T15:05:07Z,AIC2886,"10.302941,76.351288",9300,278,26
1733583919,2024-12-07T15:05:19Z,AIC2886,"10.317581,76.358658",9850,282,26
1733583933,2024-12-07T15:05:33Z,AIC2886,"10.333008,76.366386",10375,288,26
1733583946,2024-12-07T15:05:46Z,AIC2886,"10.349854,76.375092",10650,306,26
1733583959,2024-12-07T15:05:59Z,AIC2886,"10.366699,76.383751",10825,323,26
1733583972,2024-12-07T15:06:12Z,AIC2886,"10.383865,76.392502",11050,337,26
1733583987,2024-12-07T15:06:27Z,AIC2886,"10.405289,76.403397",11650,341,26
1733584000,2024-12-07T15:06:40Z,AIC2886,"10.423828,76.41275",12350,338,26
1733584032,2024-12-07T15:07:12Z,AIC2886,"10.469179,76.435768",13675,345,26
1733584063,2024-12-07T15:07:43Z,AIC2886,"10.515152,76.459023",14775,356,26
1733584094,2024-12-07T15:08:14Z,AIC2886,"10.561981,76.482788",15700,368,26
1733584125,2024-12-07T15:08:45Z,AIC2886,"10.608463,76.506287",16775,373,26
1733584158,2024-12-07T15:09:18Z,AIC2886,"10.659997,76.532402",17800,379,26
1733584189,2024-12-07T15:09:49Z,AIC2886,"10.708649,76.557045",18650,385,26
1733584220,2024-12-07T15:10:20Z,AIC2886,"10.759433,76.582756",19675,386,26
1733584251,2024-12-07T15:10:51Z,AIC2886,"10.810181,76.608475",20575,390,26
1733584283,2024-12-07T15:11:23Z,AIC2886,"10.861614,76.634506",21425,393,26
1733584316,2024-12-07T15:11:56Z,AIC2886,"10.91501,76.661636",22400,394,26
1733584347,2024-12-07T15:12:27Z,AIC2886,"10.966404,76.687798",23225,398,26
1733584379,2024-12-07T15:12:59Z,AIC2886,"11.020683,76.715363",23850,406,26
1733584412,2024-12-07T15:13:32Z,AIC2886,"11.075317,76.743103",24550,414,26
1733584442,2024-12-07T15:14:02Z,AIC2886,"11.128592,76.770149",25200,420,26
1733584475,2024-12-07T15:14:35Z,AIC2886,"11.186142,76.799362",25850,426,26
1733584507,2024-12-07T15:15:07Z,AIC2886,"11.242813,76.828102",26400,432,26
1733584537,2024-12-07T15:15:37Z,AIC2886,"11.297653,76.856041",26850,440,26
1733584569,2024-12-07T15:16:09Z,AIC2886,"11.357722,76.886612",27325,445,26
1733584600,2024-12-07T15:16:40Z,AIC2886,"11.414701,76.915619",27775,451,26
1733584632,2024-12-07T15:17:12Z,AIC2886,"11.475174,76.946304",28350,450,26
1733584664,2024-12-07T15:17:44Z,AIC2886,"11.534088,76.976372",28800,453,26
1733584695,2024-12-07T15:18:15Z,AIC2886,"11.593974,77.006981",29225,456,26
1733584727,2024-12-07T15:18:47Z,AIC2886,"11.654892,77.038071",29600,460,26
1733584760,2024-12-07T15:19:20Z,AIC2886,"11.716546,77.069527",30025,462,26
