Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733755270,2024-12-09T14:41:10Z,AIC2886,"10.154102,76.389732",0,2,357
1733755291,2024-12-09T14:41:31Z,AIC2886,"10.153893,76.38974",0,2,357
1733755314,2024-12-09T14:41:54Z,AIC2886,"10.153648,76.389748",0,2,36
1733755346,2024-12-09T14:42:26Z,AIC2886,"10.15345,76.389534",0,2,87
1733755661,2024-12-09T14:47:41Z,AIC2886,"10.15345,76.389778",0,5,87
1733755668,2024-12-09T14:47:48Z,AIC2886,"10.15345,76.389984",0,7,87
1733755676,2024-12-09T14:47:56Z,AIC2886,"10.153473,76.390244",0,8,87
1733755684,2024-12-09T14:48:04Z,AIC2886,"10.153474,76.390564",0,10,87
1733755690,2024-12-09T14:48:10Z,AIC2886,"10.153484,76.390793",0,6,87
1733755703,2024-12-09T14:48:23Z,AIC2886,"10.153484,76.391014",0,2,87
1733755718,2024-12-09T14:48:38Z,AIC2886,"10.153496,76.391258",0,5,87
1733755728,2024-12-09T14:48:48Z,AIC2886,"10.153507,76.391556",0,7,87
1733755737,2024-12-09T14:48:57Z,AIC2886,"10.153521,76.3918",0,5,87
1733755783,2024-12-09T14:49:43Z,AIC2886,"10.153521,76.392014",0,0,87
1733755822,2024-12-09T14:50:22Z,AIC2886,"10.153473,76.392319",0,5,106
1733755834,2024-12-09T14:50:34Z,AIC2886,"10.153241,76.392403",0,5,160
1733755842,2024-12-09T14:50:42Z,AIC2886,"10.153038,76.39241",0,5,174
1733755850,2024-12-09T14:50:50Z,AIC2886,"10.15281,76.392448",0,8,168
1733755858,2024-12-09T14:50:58Z,AIC2886,"10.152589,76.392708",0,9,120
1733755863,2024-12-09T14:51:03Z,AIC2886,"10.152569,76.392944",0,10,95
1733755868,2024-12-09T14:51:08Z,AIC2886,"10.152577,76.393181",0,10,90
1733755873,2024-12-09T14:51:13Z,AIC2886,"10.152592,76.393456",0,11,87
1733755880,2024-12-09T14:51:20Z,AIC2886,"10.152615,76.393692",0,12,87
1733755882,2024-12-09T14:51:22Z,AIC2886,"10.152613,76.393974",0,13,90
1733755886,2024-12-09T14:51:26Z,AIC2886,"10.152626,76.394203",0,13,90
1733755891,2024-12-09T14:51:31Z,AIC2886,"10.152636,76.394524",0,14,87
1733755899,2024-12-09T14:51:39Z,AIC2886,"10.152659,76.395088",0,15,87
1733755907,2024-12-09T14:51:47Z,AIC2886,"10.152683,76.395676",0,15,90
1733755914,2024-12-09T14:51:54Z,AIC2886,"10.152694,76.396156",0,16,87
1733755922,2024-12-09T14:52:02Z,AIC2886,"10.152718,76.396843",0,17,87
1733755936,2024-12-09T14:52:16Z,AIC2886,"10.152763,76.398041",0,19,87
1733756024,2024-12-09T14:53:44Z,AIC2886,"10.153125,76.407745",0,0,87
1733756039,2024-12-09T14:53:59Z,AIC2886,"10.153187,76.409576",0,26,87
1733756048,2024-12-09T14:54:08Z,AIC2886,"10.153233,76.41082",0,24,87
1733756056,2024-12-09T14:54:16Z,AIC2886,"10.153264,76.411758",0,25,87
1733756065,2024-12-09T14:54:25Z,AIC2886,"10.153299,76.412788",0,25,87
1733756072,2024-12-09T14:54:32Z,AIC2886,"10.153334,76.413582",0,23,87
1733756080,2024-12-09T14:54:40Z,AIC2886,"10.153358,76.41436",0,20,87
1733756087,2024-12-09T14:54:47Z,AIC2886,"10.153381,76.41494",0,15,90
1733756095,2024-12-09T14:54:55Z,AIC2886,"10.153404,76.415367",0,7,87
1733756102,2024-12-09T14:55:02Z,AIC2886,"10.153404,76.415581",0,6,90
1733756109,2024-12-09T14:55:09Z,AIC2886,"10.153347,76.415802",0,7,106
1733756116,2024-12-09T14:55:16Z,AIC2886,"10.153095,76.415894",0,8,165
1733756123,2024-12-09T14:55:23Z,AIC2886,"10.152868,76.415878",0,6,177
1733756147,2024-12-09T14:55:47Z,AIC2886,"10.152659,76.415894",0,1,177
1733756159,2024-12-09T14:55:59Z,AIC2886,"10.15245,76.415901",0,5,177
1733756168,2024-12-09T14:56:08Z,AIC2886,"10.152214,76.415909",0,6,177
1733756177,2024-12-09T14:56:17Z,AIC2886,"10.151926,76.415878",0,7,191
1733756188,2024-12-09T14:56:28Z,AIC2886,"10.151699,76.415642",0,6,233
1733756197,2024-12-09T14:56:37Z,AIC2886,"10.151665,76.415382",0,6,258
1733756205,2024-12-09T14:56:45Z,AIC2886,"10.151653,76.415169",0,7,267
1733756209,2024-12-09T14:56:49Z,AIC2886,"10.151647,76.41494",0,12,267
1733756213,2024-12-09T14:56:53Z,AIC2886,"10.15163,76.41468",0,17,267
1733756215,2024-12-09T14:56:55Z,AIC2886,"10.151623,76.414421",0,29,267
1733756216,2024-12-09T14:56:56Z,AIC2886,"10.151619,76.414146",0,34,267
1733756218,2024-12-09T14:56:58Z,AIC2886,"10.151608,76.413849",0,43,267
1733756220,2024-12-09T14:57:00Z,AIC2886,"10.151588,76.413361",0,53,267
1733756228,2024-12-09T14:57:08Z,AIC2886,"10.15147,76.410355",0,0,267
1733756260,2024-12-09T14:57:40Z,AIC2886,"10.150716,76.389404",525,159,267
1733756267,2024-12-09T14:57:47Z,AIC2886,"10.150529,76.384384",800,157,267
1733756275,2024-12-09T14:57:55Z,AIC2886,"10.150249,76.378235",1125,156,267
1733756282,2024-12-09T14:58:02Z,AIC2886,"10.150085,76.372993",1300,166,267
1733756290,2024-12-09T14:58:10Z,AIC2886,"10.149857,76.365921",1525,174,268
1733756299,2024-12-09T14:58:19Z,AIC2886,"10.149598,76.358673",1750,185,268
1733756306,2024-12-09T14:58:26Z,AIC2886,"10.149412,76.352989",1950,194,268
1733756315,2024-12-09T14:58:35Z,AIC2886,"10.149216,76.344597",2200,207,268
1733756324,2024-12-09T14:58:44Z,AIC2886,"10.148987,76.335617",2500,216,268
1733756330,2024-12-09T14:58:50Z,AIC2886,"10.148853,76.329033",2800,220,268
1733756336,2024-12-09T14:58:56Z,AIC2886,"10.1489,76.322403",3050,225,273
1733756338,2024-12-09T14:58:58Z,AIC2886,"10.149124,76.320206",3150,227,276
1733756341,2024-12-09T14:59:01Z,AIC2886,"10.149628,76.317596",3250,228,280
1733756343,2024-12-09T14:59:03Z,AIC2886,"10.15004,76.315926",3300,230,286
