Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1734532466,2024-12-18T14:34:26Z,AIC2886,"10.154114,76.388802",0,0,357
1734532485,2024-12-18T14:34:45Z,AIC2886,"10.153893,76.388817",0,2,2
1734532511,2024-12-18T14:35:11Z,AIC2886,"10.153633,76.388809",0,2,30
1734532540,2024-12-18T14:35:40Z,AIC2886,"10.153427,76.388664",0,2,78
1734532856,2024-12-18T14:40:56Z,AIC2886,"10.153416,76.38887",0,3,87
1734532875,2024-12-18T14:41:15Z,AIC2886,"10.153416,76.389091",0,4,87
1734532885,2024-12-18T14:41:25Z,AIC2886,"10.153439,76.389297",0,6,87
1734532892,2024-12-18T14:41:32Z,AIC2886,"10.153439,76.389565",0,7,87
1734532899,2024-12-18T14:41:39Z,AIC2886,"10.15345,76.389801",0,9,87
1734532906,2024-12-18T14:41:46Z,AIC2886,"10.153474,76.390144",0,10,87
1734532914,2024-12-18T14:41:54Z,AIC2886,"10.153484,76.390572",0,11,87
1734532924,2024-12-18T14:42:04Z,AIC2886,"10.153507,76.391106",0,13,87
1734532932,2024-12-18T14:42:12Z,AIC2886,"10.153521,76.391647",0,14,87
1734532942,2024-12-18T14:42:22Z,AIC2886,"10.153543,76.392418",0,16,87
1734532955,2024-12-18T14:42:35Z,AIC2886,"10.153579,76.393478",0,18,87
1734532966,2024-12-18T14:42:46Z,AIC2886,"10.15361,76.394096",0,19,87
1734532989,2024-12-18T14:43:09Z,AIC2886,"10.153695,76.396248",0,0,87
1734533000,2024-12-18T14:43:20Z,AIC2886,"10.153713,76.396851",0,0,87
1734533039,2024-12-18T14:43:59Z,AIC2886,"10.152763,76.397797",0,0,115
1734533062,2024-12-18T14:44:22Z,AIC2886,"10.152798,76.398819",0,0,87
1734533143,2024-12-18T14:45:43Z,AIC2886,"10.15313,76.407898",0,27,87
1734533150,2024-12-18T14:45:50Z,AIC2886,"10.153159,76.40873",0,28,87
1734533157,2024-12-18T14:45:57Z,AIC2886,"10.153206,76.409637",0,28,87
1734533165,2024-12-18T14:46:05Z,AIC2886,"10.153244,76.410683",0,27,87
1734533172,2024-12-18T14:46:12Z,AIC2886,"10.153275,76.411667",0,27,87
1734533179,2024-12-18T14:46:19Z,AIC2886,"10.153301,76.412437",0,24,87
1734533186,2024-12-18T14:46:26Z,AIC2886,"10.153336,76.413345",0,23,87
1734533194,2024-12-18T14:46:34Z,AIC2886,"10.153369,76.414047",0,19,87
1734533200,2024-12-18T14:46:40Z,AIC2886,"10.15338,76.414597",0,15,87
1734533208,2024-12-18T14:46:48Z,AIC2886,"10.153404,76.4151",0,12,87
1734533214,2024-12-18T14:46:54Z,AIC2886,"10.153416,76.415382",0,8,87
1734533221,2024-12-18T14:47:01Z,AIC2886,"10.153416,76.415596",0,6,90
1734533228,2024-12-18T14:47:08Z,AIC2886,"10.153324,76.415802",0,8,115
1734533234,2024-12-18T14:47:14Z,AIC2886,"10.153101,76.415894",0,9,160
1734533241,2024-12-18T14:47:21Z,AIC2886,"10.152878,76.415886",0,6,177
1734533389,2024-12-18T14:49:49Z,AIC2886,"10.152637,76.415894",0,0,177
1734533398,2024-12-18T14:49:58Z,AIC2886,"10.152414,76.415894",0,6,180
1734533405,2024-12-18T14:50:05Z,AIC2886,"10.152168,76.415909",0,7,177
1734533413,2024-12-18T14:50:13Z,AIC2886,"10.151939,76.415909",0,7,180
1734533422,2024-12-18T14:50:22Z,AIC2886,"10.151716,76.415894",0,4,185
1734533434,2024-12-18T14:50:34Z,AIC2886,"10.151653,76.415688",0,4,250
1734533488,2024-12-18T14:51:28Z,AIC2886,"10.151665,76.41539",0,14,267
1734533494,2024-12-18T14:51:34Z,AIC2886,"10.151635,76.414551",0,41,267
1734533506,2024-12-18T14:51:46Z,AIC2886,"10.15153,76.411652",0,82,267
1734533537,2024-12-18T14:52:17Z,AIC2886,"10.150635,76.389801",525,158,267
1734533543,2024-12-18T14:52:23Z,AIC2886,"10.150436,76.384911",800,157,267
1734533552,2024-12-18T14:52:32Z,AIC2886,"10.150249,76.378799",1125,155,267
1734533558,2024-12-18T14:52:38Z,AIC2886,"10.150064,76.373878",1275,163,267
1734533565,2024-12-18T14:52:45Z,AIC2886,"10.149878,76.368622",1400,172,268
1734533574,2024-12-18T14:52:54Z,AIC2886,"10.149719,76.361221",1650,181,268
1734533580,2024-12-18T14:53:00Z,AIC2886,"10.149582,76.356003",1800,190,269
1734533587,2024-12-18T14:53:07Z,AIC2886,"10.149505,76.348679",2000,200,268
1734533594,2024-12-18T14:53:14Z,AIC2886,"10.149365,76.342667",2150,211,268
1734533602,2024-12-18T14:53:22Z,AIC2886,"10.149551,76.333954",2350,223,275
1734533605,2024-12-18T14:53:25Z,AIC2886,"10.149924,76.331726",2425,226,279
1734533607,2024-12-18T14:53:27Z,AIC2886,"10.150436,76.329643",2475,229,283
1734533609,2024-12-18T14:53:29Z,AIC2886,"10.15123,76.327095",2550,231,287
1734533611,2024-12-18T14:53:31Z,AIC2886,"10.152019,76.32515",2625,233,291
1734533613,2024-12-18T14:53:33Z,AIC2886,"10.152969,76.323189",2700,235,294
1734533615,2024-12-18T14:53:35Z,AIC2886,"10.15402,76.321167",2800,236,299
1734533617,2024-12-18T14:53:37Z,AIC2886,"10.155441,76.318901",2925,237,302
1734533619,2024-12-18T14:53:39Z,AIC2886,"10.156767,76.317047",3025,236,306
1734533621,2024-12-18T14:53:41Z,AIC2886,"10.158234,76.315269",3150,237,309
1734533624,2024-12-18T14:53:44Z,AIC2886,"10.159653,76.313736",3225,238,313
1734533626,2024-12-18T14:53:46Z,AIC2886,"10.161655,76.31189",3375,238,316
1734533628,2024-12-18T14:53:48Z,AIC2886,"10.163452,76.310432",3475,239,322
1734533630,2024-12-18T14:53:50Z,AIC2886,"10.165333,76.309143",3575,239,327
1734533632,2024-12-18T14:53:52Z,AIC2886,"10.167381,76.308006",3675,239,332
1734533634,2024-12-18T14:53:54Z,AIC2886,"10.170034,76.306824",3825,239,336
1734533637,2024-12-18T14:53:57Z,AIC2886,"10.172036,76.30616",3925,240,341
1734533639,2024-12-18T14:53:59Z,AIC2886,"10.174224,76.305634",4025,239,349
1734533641,2024-12-18T14:54:01Z,AIC2886,"10.17691,76.305305",4175,239,354
1734533643,2024-12-18T14:54:03Z,AIC2886,"10.179474,76.305168",4300,239,358
1734533645,2024-12-18T14:54:05Z,AIC2886,"10.181671,76.30526",4425,238,3
1734533647,2024-12-18T14:54:07Z,AIC2886,"10.183777,76.305542",4525,239,7
1734533649,2024-12-18T14:54:09Z,AIC2886,"10.185928,76.305962",4625,238,12
1734533651,2024-12-18T14:54:11Z,AIC2886,"10.18808,76.30661",4750,238,16
1734533653,2024-12-18T14:54:13Z,AIC2886,"10.190277,76.307404",4850,238,20
1734533656,2024-12-18T14:54:16Z,AIC2886,"10.192659,76.308434",5000,237,23
1734533658,2024-12-18T14:54:18Z,AIC2886,"10.194661,76.30938",5100,237,25
1734533660,2024-12-18T14:54:20Z,AIC2886,"10.196755,76.310417",5225,238,26
1734533662,2024-12-18T14:54:22Z,AIC2886,"10.199223,76.311699",5350,238,27
1734533664,2024-12-18T14:54:24Z,AIC2886,"10.201035,76.312668",5450,238,27
1734533666,2024-12-18T14:54:26Z,AIC2886,"10.203459,76.313927",5575,240,27
1734533668,2024-12-18T14:54:28Z,AIC2886,"10.205475,76.315041",5650,242,27
1734533671,2024-12-18T14:54:31Z,AIC2886,"10.207535,76.316063",5725,244,27
1734533673,2024-12-18T14:54:33Z,AIC2886,"10.209549,76.317131",5775,247,27
1734533675,2024-12-18T14:54:35Z,AIC2886,"10.211885,76.318329",5850,251,26
1734533677,2024-12-18T14:54:37Z,AIC2886,"10.214073,76.319466",5900,253,26
1734533679,2024-12-18T14:54:39Z,AIC2886,"10.216214,76.320557",5975,256,26
1734533681,2024-12-18T14:54:41Z,AIC2886,"10.21843,76.321648",6025,258,26
1734533694,2024-12-18T14:54:54Z,AIC2886,"10.232529,76.328682",6425,271,26
1734533708,2024-12-18T14:55:08Z,AIC2886,"10.249786,76.337196",7125,277,26
1734533721,2024-12-18T14:55:21Z,AIC2886,"10.264435,76.34446",7750,279,26
1734533734,2024-12-18T14:55:34Z,AIC2886,"10.27977,76.352051",8450,280,26
1734533748,2024-12-18T14:55:48Z,AIC2886,"10.29554,76.359856",9075,285,26
1734533761,2024-12-18T14:56:01Z,AIC2886,"10.31076,76.367409",9600,291,26
1734533775,2024-12-18T14:56:15Z,AIC2886,"10.32811,76.376068",10225,295,26
1734533787,2024-12-18T14:56:27Z,AIC2886,"10.343767,76.383865",10600,308,26
1734533800,2024-12-18T14:56:40Z,AIC2886,"10.361481,76.392685",10825,324,26
1734533814,2024-12-18T14:56:54Z,AIC2886,"10.380249,76.402092",11075,340,26
1734533827,2024-12-18T14:57:07Z,AIC2886,"10.399841,76.411865",11325,354,26
1734533841,2024-12-18T14:57:21Z,AIC2886,"10.420206,76.421989",11525,368,26
1734533854,2024-12-18T14:57:34Z,AIC2886,"10.441621,76.432693",11800,379,26
1734533868,2024-12-18T14:57:48Z,AIC2886,"10.463314,76.443535",12250,385,26
1734533901,2024-12-18T14:58:21Z,AIC2886,"10.515427,76.469582",13400,392,26
1734533932,2024-12-18T14:58:52Z,AIC2886,"10.566605,76.495102",14550,398,26
1734533964,2024-12-18T14:59:24Z,AIC2886,"10.621994,76.522758",15525,408,26
1734533996,2024-12-18T14:59:56Z,AIC2886,"10.676383,76.549942",16475,416,26
1734534027,2024-12-18T15:00:27Z,AIC2886,"10.730896,76.577209",17575,417,26
1734534058,2024-12-18T15:00:58Z,AIC2886,"10.784134,76.603928",18650,417,26
1734534090,2024-12-18T15:01:30Z,AIC2886,"10.840897,76.632339",19675,419,26
1734534122,2024-12-18T15:02:02Z,AIC2886,"10.896297,76.660042",20225,429,26
1734534152,2024-12-18T15:02:32Z,AIC2886,"10.951813,76.687836",20925,435,26
1734534185,2024-12-18T15:03:05Z,AIC2886,"11.010442,76.717194",21650,440,26
1734534219,2024-12-18T15:03:39Z,AIC2886,"11.072662,76.74855",22175,449,26
1734534250,2024-12-18T15:04:10Z,AIC2886,"11.131851,76.778145",23000,447,26
1734534282,2024-12-18T15:04:42Z,AIC2886,"11.192042,76.808456",23700,447,26
1734534315,2024-12-18T15:05:15Z,AIC2886,"11.252975,76.838997",24250,452,26
1734534347,2024-12-18T15:05:47Z,AIC2886,"11.313766,76.869583",24800,454,26
1734534380,2024-12-18T15:06:20Z,AIC2886,"11.375737,76.900734",25275,459,26
1734534411,2024-12-18T15:06:51Z,AIC2886,"11.435139,76.930702",25725,462,26
1734534441,2024-12-18T15:07:21Z,AIC2886,"11.49234,76.959511",26175,464,26
1734534474,2024-12-18T15:07:54Z,AIC2886,"11.556454,76.991852",26550,469,26
1734534505,2024-12-18T15:08:25Z,AIC2886,"11.61874,77.02317",26900,473,26
1734534536,2024-12-18T15:08:56Z,AIC2886,"11.679565,77.053795",27350,474,26
1734534568,2024-12-18T15:09:28Z,AIC2886,"11.743057,77.085854",27750,475,26
1734534601,2024-12-18T15:10:01Z,AIC2886,"11.807419,77.11673",28150,478,22
1734534631,2024-12-18T15:10:31Z,AIC2886,"11.871964,77.139038",28675,476,16
1734534662,2024-12-18T15:11:02Z,AIC2886,"11.937158,77.159149",29200,474,16
1734534694,2024-12-18T15:11:34Z,AIC2886,"12.004845,77.180061",29650,475,16
1734534725,2024-12-18T15:12:05Z,AIC2886,"12.070358,77.200218",30000,477,16
1734534757,2024-12-18T15:12:37Z,AIC2886,"12.136681,77.220779",30600,475,16
1734534788,2024-12-18T15:13:08Z,AIC2886,"12.202515,77.241035",31050,476,16
1734534820,2024-12-18T15:13:40Z,AIC2886,"12.271123,77.262268",31600,476,16
1734534852,2024-12-18T15:14:12Z,AIC2886,"12.338928,77.28318",32150,476,16
1734534885,2024-12-18T15:14:45Z,AIC2886,"12.407707,77.304382",32825,472,16
1734534915,2024-12-18T15:15:15Z,AIC2886,"12.470553,77.323799",33225,472,16
1734534949,2024-12-18T15:15:49Z,AIC2886,"12.542038,77.345932",33725,473,16
1734534982,2024-12-18T15:16:22Z,AIC2886,"12.611115,77.367287",34000,469,17
1734535013,2024-12-18T15:16:53Z,AIC2886,"12.675895,77.387306",34000,463,16
1734535045,2024-12-18T15:17:25Z,AIC2886,"12.742081,77.40773",34000,465,16
1734535078,2024-12-18T15:17:58Z,AIC2886,"12.809267,77.428604",34000,463,17
1734535108,2024-12-18T15:18:28Z,AIC2886,"12.871089,77.447784",34000,465,16
1734535140,2024-12-18T15:19:00Z,AIC2886,"12.939056,77.468811",34000,468,16
1734535174,2024-12-18T15:19:34Z,AIC2886,"13.008743,77.490425",34000,470,16
1734535206,2024-12-18T15:20:06Z,AIC2886,"13.074738,77.510963",34000,469,16
1734535237,2024-12-18T15:20:37Z,AIC2886,"13.141205,77.531654",34000,468,16
1734535268,2024-12-18T15:21:08Z,AIC2886,"13.205334,77.551476",34000,468,16
1734535300,2024-12-18T15:21:40Z,AIC2886,"13.270569,77.571762",34000,468,16
1734535331,2024-12-18T15:22:11Z,AIC2886,"13.336331,77.58786",34000,470,9
1734535363,2024-12-18T15:22:43Z,AIC2886,"13.405884,77.594398",34000,469,3
1734535396,2024-12-18T15:23:16Z,AIC2886,"13.477203,77.598663",34000,470,3
1734535428,2024-12-18T15:23:48Z,AIC2886,"13.548051,77.60289",34000,469,3
1734535460,2024-12-18T15:24:20Z,AIC2886,"13.617647,77.606941",34000,468,3
1734535492,2024-12-18T15:24:52Z,AIC2886,"13.686684,77.611038",34000,467,3
1734535523,2024-12-18T15:25:23Z,AIC2886,"13.753555,77.614906",34000,466,3
1734535556,2024-12-18T15:25:56Z,AIC2886,"13.824921,77.619118",34000,467,3
1734535587,2024-12-18T15:26:27Z,AIC2886,"13.892165,77.623032",34000,467,3
1734535619,2024-12-18T15:26:59Z,AIC2886,"13.960411,77.627037",34000,467,3
1734535650,2024-12-18T15:27:30Z,AIC2886,"14.030192,77.631126",34000,476,3
1734535682,2024-12-18T15:28:02Z,AIC2886,"14.099716,77.635216",34000,476,3
1734535713,2024-12-18T15:28:33Z,AIC2886,"14.16925,77.639244",34000,476,3
1734535745,2024-12-18T15:29:05Z,AIC2886,"14.23912,77.643372",34000,477,3
1734535777,2024-12-18T15:29:37Z,AIC2886,"14.309506,77.647514",34000,477,3
1734535807,2024-12-18T15:30:07Z,AIC2886,"14.376076,77.651413",34000,476,3
1734535839,2024-12-18T15:30:39Z,AIC2886,"14.447906,77.655609",34000,477,3
1734535870,2024-12-18T15:31:10Z,AIC2886,"14.51651,77.659607",34000,474,3
1734535902,2024-12-18T15:31:42Z,AIC2886,"14.587144,77.66375",34000,474,3
1734535933,2024-12-18T15:32:13Z,AIC2886,"14.654388,77.667702",34000,474,3
1734535965,2024-12-18T15:32:45Z,AIC2886,"14.725983,77.671967",34000,475,3
1734535999,2024-12-18T15:33:19Z,AIC2886,"14.800772,77.676376",34000,474,3
1734536030,2024-12-18T15:33:50Z,AIC2886,"14.867157,77.680275",34000,473,3
1734536062,2024-12-18T15:34:22Z,AIC2886,"14.93779,77.684425",34000,473,3
1734536095,2024-12-18T15:34:55Z,AIC2886,"15.006775,77.688469",34000,474,3
1734536127,2024-12-18T15:35:27Z,AIC2886,"15.080704,77.692856",34000,474,3
1734536159,2024-12-18T15:35:59Z,AIC2886,"15.15266,77.697128",34000,473,3
1734536193,2024-12-18T15:36:33Z,AIC2886,"15.225096,77.701447",34000,473,3
1734536226,2024-12-18T15:37:06Z,AIC2886,"15.298874,77.705772",34000,474,3
1734536258,2024-12-18T15:37:38Z,AIC2886,"15.368042,77.709915",34000,472,3
1734536290,2024-12-18T15:38:10Z,AIC2886,"15.437622,77.714104",34000,471,3
1734536322,2024-12-18T15:38:42Z,AIC2886,"15.507155,77.718269",34000,465,3
1734536354,2024-12-18T15:39:14Z,AIC2886,"15.57605,77.722252",34000,466,3
1734536385,2024-12-18T15:39:45Z,AIC2886,"15.642059,77.726196",34000,466,3
1734536417,2024-12-18T15:40:17Z,AIC2886,"15.71283,77.730492",34000,464,3
1734536447,2024-12-18T15:40:47Z,AIC2886,"15.778834,77.734352",34000,464,3
1734536479,2024-12-18T15:41:19Z,AIC2886,"15.846475,77.738373",34000,464,3
1734536510,2024-12-18T15:41:50Z,AIC2886,"15.913513,77.74234",34000,466,3
1734536541,2024-12-18T15:42:21Z,AIC2886,"15.980778,77.746368",34000,465,3
1734536573,2024-12-18T15:42:53Z,AIC2886,"16.048883,77.750443",34000,465,3
1734536605,2024-12-18T15:43:25Z,AIC2886,"16.118013,77.754608",34000,465,3
1734536636,2024-12-18T15:43:56Z,AIC2886,"16.185516,77.758629",34000,465,3
1734536669,2024-12-18T15:44:29Z,AIC2886,"16.256741,77.762848",34000,468,3
1734536700,2024-12-18T15:45:00Z,AIC2886,"16.323915,77.766869",34000,466,3
1734536733,2024-12-18T15:45:33Z,AIC2886,"16.394302,77.771088",34000,467,3
1734536765,2024-12-18T15:46:05Z,AIC2886,"16.465992,77.775406",34000,467,3
1734536797,2024-12-18T15:46:37Z,AIC2886,"16.533737,77.779495",34000,470,3
1734536827,2024-12-18T15:47:07Z,AIC2886,"16.600481,77.783501",34000,471,3
1734536859,2024-12-18T15:47:39Z,AIC2886,"16.670822,77.787766",34000,471,3
1734536891,2024-12-18T15:48:11Z,AIC2886,"16.739777,77.791878",34000,472,3
1734536923,2024-12-18T15:48:43Z,AIC2886,"16.809874,77.796104",34000,473,3
1734536955,2024-12-18T15:49:15Z,AIC2886,"16.881472,77.800415",34000,471,3
1734536987,2024-12-18T15:49:47Z,AIC2886,"16.949717,77.804535",34000,471,3
1734537018,2024-12-18T15:50:18Z,AIC2886,"17.017496,77.808655",34000,472,3
1734537049,2024-12-18T15:50:49Z,AIC2886,"17.085369,77.812729",34000,473,3
1734537081,2024-12-18T15:51:21Z,AIC2886,"17.155472,77.816978",34000,473,3
1734537113,2024-12-18T15:51:53Z,AIC2886,"17.226469,77.821266",34000,473,3
1734537145,2024-12-18T15:52:25Z,AIC2886,"17.29681,77.825531",34000,475,3
1734537177,2024-12-18T15:52:57Z,AIC2886,"17.36705,77.8311",34000,477,7
1734537209,2024-12-18T15:53:29Z,AIC2886,"17.435814,77.846817",34000,484,16
1734537240,2024-12-18T15:54:00Z,AIC2886,"17.504107,77.868103",34000,479,16
1734537271,2024-12-18T15:54:31Z,AIC2886,"17.568768,77.888214",34000,474,16
1734537303,2024-12-18T15:55:03Z,AIC2886,"17.636261,77.909302",34000,473,16
1734537335,2024-12-18T15:55:35Z,AIC2886,"17.704559,77.930794",34000,472,16
1734537367,2024-12-18T15:56:07Z,AIC2886,"17.769287,77.95108",34000,472,16
1734537397,2024-12-18T15:56:37Z,AIC2886,"17.834106,77.971413",34000,473,16
1734537428,2024-12-18T15:57:08Z,AIC2886,"17.89887,77.991745",34000,473,16
1734537460,2024-12-18T15:57:40Z,AIC2886,"17.967255,78.013229",34000,474,16
1734537493,2024-12-18T15:58:13Z,AIC2886,"18.036346,78.034927",34000,475,16
1734537526,2024-12-18T15:58:46Z,AIC2886,"18.104782,78.056511",34000,476,16
1734537558,2024-12-18T15:59:18Z,AIC2886,"18.174179,78.078362",34000,476,16
1734537590,2024-12-18T15:59:50Z,AIC2886,"18.240372,78.099205",34000,474,16
1734537623,2024-12-18T16:00:23Z,AIC2886,"18.311966,78.121765",34000,476,16
1734537656,2024-12-18T16:00:56Z,AIC2886,"18.379532,78.143204",34000,474,16
1734537687,2024-12-18T16:01:27Z,AIC2886,"18.447023,78.164528",34000,476,16
