Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1734705484,2024-12-20T14:38:04Z,AIC2886,"10.154253,76.388794",0,0,357
1734705566,2024-12-20T14:39:26Z,AIC2886,"10.154044,76.388794",0,0,357
1734705585,2024-12-20T14:39:45Z,AIC2886,"10.1538,76.388802",0,3,357
1734705603,2024-12-20T14:40:03Z,AIC2886,"10.15359,76.388824",0,2,33
1734706013,2024-12-20T14:46:53Z,AIC2886,"10.153416,76.389046",0,5,87
1734706020,2024-12-20T14:47:00Z,AIC2886,"10.153427,76.38929",0,7,87
1734706027,2024-12-20T14:47:07Z,AIC2886,"10.153439,76.389503",0,8,87
1734706034,2024-12-20T14:47:14Z,AIC2886,"10.15345,76.389824",0,9,87
1734706041,2024-12-20T14:47:21Z,AIC2886,"10.153462,76.390167",0,11,87
1734706049,2024-12-20T14:47:29Z,AIC2886,"10.153474,76.390579",0,12,87
1734706056,2024-12-20T14:47:36Z,AIC2886,"10.153485,76.391029",0,13,87
1734706064,2024-12-20T14:47:44Z,AIC2886,"10.153508,76.391594",0,15,87
1734706071,2024-12-20T14:47:51Z,AIC2886,"10.153532,76.392097",0,15,87
1734706080,2024-12-20T14:48:00Z,AIC2886,"10.153555,76.392784",0,17,87
1734706091,2024-12-20T14:48:11Z,AIC2886,"10.153564,76.393211",0,18,87
1734706103,2024-12-20T14:48:23Z,AIC2886,"10.153633,76.394852",0,0,87
1734706112,2024-12-20T14:48:32Z,AIC2886,"10.15366,76.39566",0,19,87
1734706122,2024-12-20T14:48:42Z,AIC2886,"10.153695,76.396523",0,0,87
1734706129,2024-12-20T14:48:49Z,AIC2886,"10.153702,76.396904",0,9,87
1734706147,2024-12-20T14:49:07Z,AIC2886,"10.153507,76.3974",0,0,137
1734706151,2024-12-20T14:49:11Z,AIC2886,"10.153253,76.397446",0,0,171
1734706176,2024-12-20T14:49:36Z,AIC2886,"10.152763,76.39785",0,0,104
1734706315,2024-12-20T14:51:55Z,AIC2886,"10.15313,76.408058",0,22,87
1734706321,2024-12-20T14:52:01Z,AIC2886,"10.153164,76.408829",0,23,87
1734706329,2024-12-20T14:52:09Z,AIC2886,"10.153198,76.409737",0,24,87
1734706336,2024-12-20T14:52:16Z,AIC2886,"10.153233,76.410553",0,24,87
1734706344,2024-12-20T14:52:24Z,AIC2886,"10.153264,76.411461",0,25,87
1734706351,2024-12-20T14:52:31Z,AIC2886,"10.153299,76.412407",0,26,87
1734706358,2024-12-20T14:52:38Z,AIC2886,"10.153324,76.413193",0,24,87
1734706365,2024-12-20T14:52:45Z,AIC2886,"10.153347,76.413895",0,19,87
1734706372,2024-12-20T14:52:52Z,AIC2886,"10.153369,76.414444",0,15,87
1734706380,2024-12-20T14:53:00Z,AIC2886,"10.153393,76.415024",0,15,87
1734706388,2024-12-20T14:53:08Z,AIC2886,"10.153404,76.415443",0,10,90
1734706392,2024-12-20T14:53:12Z,AIC2886,"10.153346,76.415665",0,10,106
1734706398,2024-12-20T14:53:18Z,AIC2886,"10.15313,76.415833",0,11,143
1734706403,2024-12-20T14:53:23Z,AIC2886,"10.152904,76.415871",0,11,171
1734706407,2024-12-20T14:53:27Z,AIC2886,"10.152626,76.415886",0,12,177
1734706411,2024-12-20T14:53:31Z,AIC2886,"10.152409,76.415894",0,13,177
1734706415,2024-12-20T14:53:35Z,AIC2886,"10.152203,76.415894",0,13,180
1734706418,2024-12-20T14:53:38Z,AIC2886,"10.151984,76.415894",0,12,182
1734706423,2024-12-20T14:53:43Z,AIC2886,"10.151774,76.415794",0,8,202
1734706430,2024-12-20T14:53:50Z,AIC2886,"10.151658,76.415581",0,8,244
1734706435,2024-12-20T14:53:55Z,AIC2886,"10.151665,76.415367",0,10,267
1734706440,2024-12-20T14:54:00Z,AIC2886,"10.151653,76.415024",0,21,267
1734706443,2024-12-20T14:54:03Z,AIC2886,"10.151642,76.414719",0,30,267
1734706444,2024-12-20T14:54:04Z,AIC2886,"10.151623,76.414421",0,39,267
1734706445,2024-12-20T14:54:05Z,AIC2886,"10.151611,76.414116",0,44,267
1734706448,2024-12-20T14:54:08Z,AIC2886,"10.1516,76.413475",0,58,267
1734706449,2024-12-20T14:54:09Z,AIC2886,"10.151585,76.413208",0,63,267
1734706451,2024-12-20T14:54:11Z,AIC2886,"10.151577,76.412956",0,63,267
1734706452,2024-12-20T14:54:12Z,AIC2886,"10.151539,76.412064",0,76,267
1734706484,2024-12-20T14:54:44Z,AIC2886,"10.150726,76.392128",350,162,266
1734706492,2024-12-20T14:54:52Z,AIC2886,"10.150436,76.386566",650,157,267
1734706498,2024-12-20T14:54:58Z,AIC2886,"10.150223,76.381798",925,155,267
1734706506,2024-12-20T14:55:06Z,AIC2886,"10.150064,76.376053",1175,160,268
1734706513,2024-12-20T14:55:13Z,AIC2886,"10.149924,76.370842",1325,167,268
1734706521,2024-12-20T14:55:21Z,AIC2886,"10.149738,76.363739",1525,177,268
1734706530,2024-12-20T14:55:30Z,AIC2886,"10.149551,76.356735",1725,187,268
1734706536,2024-12-20T14:55:36Z,AIC2886,"10.149412,76.350578",1900,196,268
1734706543,2024-12-20T14:55:43Z,AIC2886,"10.149272,76.344376",2075,204,268
1734706549,2024-12-20T14:55:49Z,AIC2886,"10.149124,76.338081",2225,213,268
1734706559,2024-12-20T14:55:59Z,AIC2886,"10.148993,76.327988",2550,225,269
1734706566,2024-12-20T14:56:06Z,AIC2886,"10.149133,76.320976",2725,234,273
1734706568,2024-12-20T14:56:08Z,AIC2886,"10.149412,76.318657",2775,235,277
1734706570,2024-12-20T14:56:10Z,AIC2886,"10.149857,76.316437",2850,237,281
1734706572,2024-12-20T14:56:12Z,AIC2886,"10.15039,76.314301",2950,238,285
1734706574,2024-12-20T14:56:14Z,AIC2886,"10.151321,76.311737",3075,238,290
1734706576,2024-12-20T14:56:16Z,AIC2886,"10.152205,76.309753",3150,238,294
1734706578,2024-12-20T14:56:18Z,AIC2886,"10.15323,76.307907",3275,238,300
1734706580,2024-12-20T14:56:20Z,AIC2886,"10.154719,76.305542",3400,237,304
1734706583,2024-12-20T14:56:23Z,AIC2886,"10.156442,76.303223",3525,238,306
1734706585,2024-12-20T14:56:25Z,AIC2886,"10.157455,76.301956",3625,238,309
1734706587,2024-12-20T14:56:27Z,AIC2886,"10.159241,76.299812",3750,238,310
1734706589,2024-12-20T14:56:29Z,AIC2886,"10.16077,76.298111",3850,239,311
1734706591,2024-12-20T14:56:31Z,AIC2886,"10.162125,76.296555",3950,239,312
1734706593,2024-12-20T14:56:33Z,AIC2886,"10.164076,76.294464",4075,241,312
1734706595,2024-12-20T14:56:35Z,AIC2886,"10.165706,76.292709",4175,241,313
1734706598,2024-12-20T14:56:38Z,AIC2886,"10.167381,76.290909",4275,243,313
1734706600,2024-12-20T14:56:40Z,AIC2886,"10.168991,76.2892",4350,244,314
1734706602,2024-12-20T14:56:42Z,AIC2886,"10.170873,76.287262",4450,245,314
1734706604,2024-12-20T14:56:44Z,AIC2886,"10.172424,76.285667",4525,247,314
1734706606,2024-12-20T14:56:46Z,AIC2886,"10.173981,76.284081",4600,248,314
1734706608,2024-12-20T14:56:48Z,AIC2886,"10.175993,76.282005",4700,249,314
1734706610,2024-12-20T14:56:50Z,AIC2886,"10.177529,76.280441",4775,251,314
1734706612,2024-12-20T14:56:52Z,AIC2886,"10.179206,76.27874",4875,252,314
1734706614,2024-12-20T14:56:54Z,AIC2886,"10.180801,76.2771",4975,252,314
1734706622,2024-12-20T14:57:02Z,AIC2886,"10.187399,76.270401",5350,254,314
1734706636,2024-12-20T14:57:16Z,AIC2886,"10.199037,76.258522",6100,253,314
1734706651,2024-12-20T14:57:31Z,AIC2886,"10.211,76.246254",6800,256,314
1734706664,2024-12-20T14:57:44Z,AIC2886,"10.221588,76.23497",7500,255,312
1734706677,2024-12-20T14:57:57Z,AIC2886,"10.232758,76.222633",8250,253,312
1734706692,2024-12-20T14:58:12Z,AIC2886,"10.243561,76.210388",8925,256,311
1734706701,2024-12-20T14:58:21Z,AIC2886,"10.251984,76.202385",9350,258,322
1734706703,2024-12-20T14:58:23Z,AIC2886,"10.254364,76.200798",9450,257,325
1734706705,2024-12-20T14:58:25Z,AIC2886,"10.256389,76.199654",9550,256,329
1734706708,2024-12-20T14:58:28Z,AIC2886,"10.259033,76.19838",9700,255,335
1734706710,2024-12-20T14:58:30Z,AIC2886,"10.261277,76.197479",9800,255,338
1734706712,2024-12-20T14:58:32Z,AIC2886,"10.263611,76.196701",9900,256,342
1734706714,2024-12-20T14:58:34Z,AIC2886,"10.265979,76.196106",10000,257,345
1734706716,2024-12-20T14:58:36Z,AIC2886,"10.268875,76.195587",10100,257,349
1734706718,2024-12-20T14:58:38Z,AIC2886,"10.271164,76.195351",10175,258,355
1734706721,2024-12-20T14:58:41Z,AIC2886,"10.274219,76.195297",10275,260,359
1734706723,2024-12-20T14:58:43Z,AIC2886,"10.276108,76.195396",10325,260,3
1734706725,2024-12-20T14:58:45Z,AIC2886,"10.278625,76.195724",10425,261,7
1734706727,2024-12-20T14:58:47Z,AIC2886,"10.281738,76.196381",10525,262,11
1734706729,2024-12-20T14:58:49Z,AIC2886,"10.283981,76.196983",10600,263,17
1734706731,2024-12-20T14:58:51Z,AIC2886,"10.286865,76.198097",10700,266,21
1734706734,2024-12-20T14:58:54Z,AIC2886,"10.289022,76.199089",10775,266,25
1734706736,2024-12-20T14:58:56Z,AIC2886,"10.291582,76.200417",10850,268,27
1734706738,2024-12-20T14:58:58Z,AIC2886,"10.293771,76.201645",10925,268,28
1734706740,2024-12-20T14:59:00Z,AIC2886,"10.295865,76.202827",10975,270,29
1734706742,2024-12-20T14:59:02Z,AIC2886,"10.298035,76.204056",11025,273,29
1734706744,2024-12-20T14:59:04Z,AIC2886,"10.300846,76.205719",11100,275,30
1734706746,2024-12-20T14:59:06Z,AIC2886,"10.303081,76.207047",11150,277,30
1734706748,2024-12-20T14:59:08Z,AIC2886,"10.305313,76.208344",11175,280,30
1734706750,2024-12-20T14:59:10Z,AIC2886,"10.307504,76.209648",11225,284,30
1734706753,2024-12-20T14:59:13Z,AIC2886,"10.310532,76.211456",11275,287,30
1734706755,2024-12-20T14:59:15Z,AIC2886,"10.313461,76.213135",11325,289,30
1734706757,2024-12-20T14:59:17Z,AIC2886,"10.316162,76.214767",11375,292,30
1734706759,2024-12-20T14:59:19Z,AIC2886,"10.318497,76.216118",11425,293,30
1734706772,2024-12-20T14:59:32Z,AIC2886,"10.33342,76.224869",11800,301,30
1734706785,2024-12-20T14:59:45Z,AIC2886,"10.349727,76.234413",12375,304,29
1734706818,2024-12-20T15:00:18Z,AIC2886,"10.390686,76.258247",13300,327,29
1734706849,2024-12-20T15:00:49Z,AIC2886,"10.434404,76.283714",13850,357,30
1734706881,2024-12-20T15:01:21Z,AIC2886,"10.481277,76.311081",15000,363,30
1734706913,2024-12-20T15:01:53Z,AIC2886,"10.528394,76.3386",15925,375,30
1734706944,2024-12-20T15:02:24Z,AIC2886,"10.575439,76.366058",17000,379,29
1734706977,2024-12-20T15:02:57Z,AIC2886,"10.626293,76.39579",18000,387,30
1734707007,2024-12-20T15:03:27Z,AIC2886,"10.674195,76.423836",18925,392,29
1734707039,2024-12-20T15:03:59Z,AIC2886,"10.722982,76.452271",19800,399,29
1734707070,2024-12-20T15:04:30Z,AIC2886,"10.77356,76.481796",20625,391,29
1734707102,2024-12-20T15:05:02Z,AIC2886,"10.823547,76.511063",20975,386,30
1734707135,2024-12-20T15:05:35Z,AIC2886,"10.874039,76.540657",22200,379,29
1734707168,2024-12-20T15:06:08Z,AIC2886,"10.9246,76.570229",23150,383,30
1734707200,2024-12-20T15:06:40Z,AIC2886,"10.975389,76.599953",23800,392,30
1734707232,2024-12-20T15:07:12Z,AIC2886,"11.026245,76.62973",24675,394,30
1734707263,2024-12-20T15:07:43Z,AIC2886,"11.075043,76.658333",25500,395,30
1734707294,2024-12-20T15:08:14Z,AIC2886,"11.125194,76.687752",26125,401,30
1734707325,2024-12-20T15:08:45Z,AIC2886,"11.175283,76.717194",26625,409,30
1734707357,2024-12-20T15:09:17Z,AIC2886,"11.227236,76.747696",27325,411,30
1734707388,2024-12-20T15:09:48Z,AIC2886,"11.279846,76.778618",27950,416,30
