Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1735569801,2024-12-30T14:43:21Z,AIC2886,"10.154102,76.389297",0,3,357
1735569819,2024-12-30T14:43:39Z,AIC2886,"10.153896,76.389297",0,3,357
1735569836,2024-12-30T14:43:56Z,AIC2886,"10.153679,76.389328",0,3,22
1735569855,2024-12-30T14:44:15Z,AIC2886,"10.15345,76.389252",0,3,70
1735569878,2024-12-30T14:44:38Z,AIC2886,"10.153393,76.389046",0,1,87
1735570178,2024-12-30T14:49:38Z,AIC2886,"10.153393,76.389275",0,4,87
1735570192,2024-12-30T14:49:52Z,AIC2886,"10.153404,76.389641",0,7,87
1735570200,2024-12-30T14:50:00Z,AIC2886,"10.153416,76.389893",0,8,87
1735570207,2024-12-30T14:50:07Z,AIC2886,"10.153427,76.390205",0,10,87
1735570215,2024-12-30T14:50:15Z,AIC2886,"10.15345,76.390625",0,11,87
1735570222,2024-12-30T14:50:22Z,AIC2886,"10.153461,76.390892",0,12,87
1735570239,2024-12-30T14:50:39Z,AIC2886,"10.153496,76.391823",0,0,87
1735570255,2024-12-30T14:50:55Z,AIC2886,"10.153542,76.393234",0,0,87
1735570269,2024-12-30T14:51:09Z,AIC2886,"10.153579,76.394104",0,0,87
1735570292,2024-12-30T14:51:32Z,AIC2886,"10.153622,76.395203",0,0,90
1735570318,2024-12-30T14:51:58Z,AIC2886,"10.153671,76.396736",0,0,87
1735570476,2024-12-30T14:54:36Z,AIC2886,"10.153136,76.40876",0,26,87
1735570484,2024-12-30T14:54:44Z,AIC2886,"10.153172,76.409767",0,26,87
1735570491,2024-12-30T14:54:51Z,AIC2886,"10.153198,76.410561",0,27,87
1735570498,2024-12-30T14:54:58Z,AIC2886,"10.15323,76.411461",0,27,87
1735570505,2024-12-30T14:55:05Z,AIC2886,"10.153267,76.412415",0,28,87
1735570513,2024-12-30T14:55:13Z,AIC2886,"10.153301,76.413391",0,28,87
1735570521,2024-12-30T14:55:21Z,AIC2886,"10.153336,76.414383",0,26,87
1735570528,2024-12-30T14:55:28Z,AIC2886,"10.153358,76.414986",0,15,87
1735570535,2024-12-30T14:55:35Z,AIC2886,"10.153369,76.415298",0,8,87
1735570542,2024-12-30T14:55:42Z,AIC2886,"10.15337,76.415558",0,9,92
1735570548,2024-12-30T14:55:48Z,AIC2886,"10.153264,76.415794",0,9,126
1735570554,2024-12-30T14:55:54Z,AIC2886,"10.153008,76.415901",0,10,171
1735570562,2024-12-30T14:56:02Z,AIC2886,"10.152798,76.415894",0,7,177
1735570621,2024-12-30T14:57:01Z,AIC2886,"10.152443,76.415909",0,7,177
1735570629,2024-12-30T14:57:09Z,AIC2886,"10.152101,76.415924",0,11,177
1735570636,2024-12-30T14:57:16Z,AIC2886,"10.151791,76.415932",0,7,177
1735570658,2024-12-30T14:57:38Z,AIC2886,"10.151635,76.41571",0,3,247
1735570692,2024-12-30T14:58:12Z,AIC2886,"10.151642,76.415474",0,7,267
1735570699,2024-12-30T14:58:19Z,AIC2886,"10.151596,76.41436",0,44,267
1735570730,2024-12-30T14:58:50Z,AIC2886,"10.151402,76.408913",0,0,267
1735570756,2024-12-30T14:59:16Z,AIC2886,"10.149857,76.377792",1125,167,265
1735570763,2024-12-30T14:59:23Z,AIC2886,"10.149459,76.372314",1325,171,266
1735570772,2024-12-30T14:59:32Z,AIC2886,"10.149039,76.364449",1525,181,267
1735570778,2024-12-30T14:59:38Z,AIC2886,"10.148853,76.359482",1675,189,267
1735570785,2024-12-30T14:59:45Z,AIC2886,"10.148575,76.35247",1875,197,267
1735570792,2024-12-30T14:59:52Z,AIC2886,"10.148714,76.345604",2025,204,274
1735570795,2024-12-30T14:59:55Z,AIC2886,"10.149086,76.343185",2075,207,278
1735570797,2024-12-30T14:59:57Z,AIC2886,"10.149365,76.342148",2125,208,280
1735570799,2024-12-30T14:59:59Z,AIC2886,"10.15011,76.339447",2175,209,284
1735570801,2024-12-30T15:00:01Z,AIC2886,"10.150902,76.337646",2225,213,290
1735570803,2024-12-30T15:00:03Z,AIC2886,"10.151871,76.335518",2275,215,295
1735570806,2024-12-30T15:00:06Z,AIC2886,"10.153015,76.333801",2300,218,299
1735570808,2024-12-30T15:00:08Z,AIC2886,"10.154526,76.331566",2350,219,303
1735570810,2024-12-30T15:00:10Z,AIC2886,"10.156311,76.329659",2400,223,310
1735570812,2024-12-30T15:00:12Z,AIC2886,"10.157822,76.328072",2450,226,314
1735570815,2024-12-30T15:00:15Z,AIC2886,"10.160156,76.32621",2525,228,318
1735570817,2024-12-30T15:00:17Z,AIC2886,"10.161942,76.324905",2575,231,324
1735570819,2024-12-30T15:00:19Z,AIC2886,"10.16389,76.323822",2625,233,328
1735570821,2024-12-30T15:00:21Z,AIC2886,"10.164963,76.32328",2675,235,330
1735570823,2024-12-30T15:00:23Z,AIC2886,"10.1678,76.321976",2725,237,334
1735570825,2024-12-30T15:00:25Z,AIC2886,"10.169861,76.32132",2775,242,339
1735570828,2024-12-30T15:00:28Z,AIC2886,"10.172333,76.32058",2825,243,343
1735570830,2024-12-30T15:00:30Z,AIC2886,"10.175342,76.32003",2875,248,349
1735570832,2024-12-30T15:00:32Z,AIC2886,"10.178182,76.319748",2900,250,353
1735570835,2024-12-30T15:00:35Z,AIC2886,"10.181207,76.319748",2950,254,357
1735570837,2024-12-30T15:00:37Z,AIC2886,"10.183628,76.319939",2975,257,4
1735570839,2024-12-30T15:00:39Z,AIC2886,"10.186844,76.320488",3050,259,8
1735570841,2024-12-30T15:00:41Z,AIC2886,"10.18926,76.321266",3100,261,13
