Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1736173843,2025-01-06T14:30:43Z,AIC2886,"10.154311,76.389717",0,0,357
1736173892,2025-01-06T14:31:32Z,AIC2886,"10.154102,76.389717",0,2,357
1736173915,2025-01-06T14:31:55Z,AIC2886,"10.153893,76.389725",0,2,357
1736173942,2025-01-06T14:32:22Z,AIC2886,"10.153637,76.389748",0,0,30
1736173974,2025-01-06T14:32:54Z,AIC2886,"10.153427,76.38961",0,1,90
1736174378,2025-01-06T14:39:38Z,AIC2886,"10.15345,76.38987",0,5,87
1736174389,2025-01-06T14:39:49Z,AIC2886,"10.153462,76.390167",0,6,87
1736174398,2025-01-06T14:39:58Z,AIC2886,"10.15345,76.390396",0,5,95
1736174415,2025-01-06T14:40:15Z,AIC2886,"10.153159,76.390579",0,7,160
1736174418,2025-01-06T14:40:18Z,AIC2886,"10.152946,76.390579",0,6,177
1736174426,2025-01-06T14:40:26Z,AIC2886,"10.152718,76.390602",0,6,174
1736174439,2025-01-06T14:40:39Z,AIC2886,"10.152512,76.390862",0,5,120
1736174452,2025-01-06T14:40:52Z,AIC2886,"10.152523,76.391174",0,6,90
1736174460,2025-01-06T14:41:00Z,AIC2886,"10.152523,76.391418",0,7,87
1736174472,2025-01-06T14:41:12Z,AIC2886,"10.152534,76.391754",0,8,87
1736174502,2025-01-06T14:41:42Z,AIC2886,"10.152589,76.393158",0,0,87
1736174513,2025-01-06T14:41:53Z,AIC2886,"10.152626,76.394135",0,0,87
1736174665,2025-01-06T14:44:25Z,AIC2886,"10.153159,76.40863",0,0,87
1736174676,2025-01-06T14:44:36Z,AIC2886,"10.15321,76.410049",0,26,87
1736174684,2025-01-06T14:44:44Z,AIC2886,"10.153244,76.410973",0,27,87
1736174690,2025-01-06T14:44:50Z,AIC2886,"10.153278,76.411682",0,27,87
1736174697,2025-01-06T14:44:57Z,AIC2886,"10.153311,76.412727",0,25,87
1736174704,2025-01-06T14:45:04Z,AIC2886,"10.153347,76.413506",0,20,87
1736174711,2025-01-06T14:45:11Z,AIC2886,"10.153358,76.414017",0,16,87
1736174718,2025-01-06T14:45:18Z,AIC2886,"10.153381,76.414543",0,14,87
1736174725,2025-01-06T14:45:25Z,AIC2886,"10.153392,76.415001",0,14,87
1736174732,2025-01-06T14:45:32Z,AIC2886,"10.153416,76.415405",0,10,87
1736174739,2025-01-06T14:45:39Z,AIC2886,"10.153392,76.415642",0,7,98
1736174747,2025-01-06T14:45:47Z,AIC2886,"10.15321,76.415848",0,8,135
1736174754,2025-01-06T14:45:54Z,AIC2886,"10.152992,76.415886",0,7,168
1736174764,2025-01-06T14:46:04Z,AIC2886,"10.152786,76.415886",0,3,177
1736174911,2025-01-06T14:48:31Z,AIC2886,"10.15258,76.415894",0,4,177
1736174918,2025-01-06T14:48:38Z,AIC2886,"10.152333,76.415901",0,6,177
1736174926,2025-01-06T14:48:46Z,AIC2886,"10.1521,76.415916",0,6,177
1736174935,2025-01-06T14:48:55Z,AIC2886,"10.151844,76.415871",0,6,191
1736174947,2025-01-06T14:49:07Z,AIC2886,"10.151642,76.415627",0,5,239
1736174957,2025-01-06T14:49:17Z,AIC2886,"10.151653,76.415421",0,1,270
1736174983,2025-01-06T14:49:43Z,AIC2886,"10.151658,76.415192",0,15,270
1736174990,2025-01-06T14:49:50Z,AIC2886,"10.151611,76.414078",0,48,267
1736175028,2025-01-06T14:50:28Z,AIC2886,"10.150808,76.392342",300,165,267
1736175035,2025-01-06T14:50:35Z,AIC2886,"10.150589,76.387146",550,162,267
1736175044,2025-01-06T14:50:44Z,AIC2886,"10.150314,76.380493",975,156,267
1736175052,2025-01-06T14:50:52Z,AIC2886,"10.150064,76.374535",1225,159,267
1736175058,2025-01-06T14:50:58Z,AIC2886,"10.149878,76.369804",1350,169,267
1736175067,2025-01-06T14:51:07Z,AIC2886,"10.149598,76.362701",1575,177,267
1736175073,2025-01-06T14:51:13Z,AIC2886,"10.149412,76.3573",1725,186,267
1736175082,2025-01-06T14:51:22Z,AIC2886,"10.149078,76.349068",1950,199,267
1736175089,2025-01-06T14:51:29Z,AIC2886,"10.148853,76.342384",2100,209,267
1736175097,2025-01-06T14:51:37Z,AIC2886,"10.148621,76.333984",2275,224,267
1736175104,2025-01-06T14:51:44Z,AIC2886,"10.148341,76.326706",2450,233,267
1736175113,2025-01-06T14:51:53Z,AIC2886,"10.147969,76.317337",2650,246,267
1736175119,2025-01-06T14:51:59Z,AIC2886,"10.147659,76.30899",2800,256,267
1736175128,2025-01-06T14:52:08Z,AIC2886,"10.147317,76.299484",3175,258,267
1736175134,2025-01-06T14:52:14Z,AIC2886,"10.147156,76.291718",3575,257,270
1736175137,2025-01-06T14:52:17Z,AIC2886,"10.147522,76.287018",3800,256,275
1736175139,2025-01-06T14:52:19Z,AIC2886,"10.147923,76.284561",3900,256,280
1736175141,2025-01-06T14:52:21Z,AIC2886,"10.1483,76.282776",3975,256,283
1736175143,2025-01-06T14:52:23Z,AIC2886,"10.1489,76.280495",4075,257,287
1736175145,2025-01-06T14:52:25Z,AIC2886,"10.149971,76.277557",4200,257,289
1736175148,2025-01-06T14:52:28Z,AIC2886,"10.150909,76.275375",4275,258,294
1736175151,2025-01-06T14:52:31Z,AIC2886,"10.152671,76.272156",4425,258,300
1736175153,2025-01-06T14:52:33Z,AIC2886,"10.154114,76.269882",4525,259,303
1736175155,2025-01-06T14:52:35Z,AIC2886,"10.155464,76.268036",4625,260,307
1736175158,2025-01-06T14:52:38Z,AIC2886,"10.157466,76.265717",4725,260,311
1736175160,2025-01-06T14:52:40Z,AIC2886,"10.159513,76.263634",4800,262,316
1736175162,2025-01-06T14:52:42Z,AIC2886,"10.161438,76.261971",4875,263,320
1736175164,2025-01-06T14:52:44Z,AIC2886,"10.163315,76.260574",4950,264,324
1736175166,2025-01-06T14:52:46Z,AIC2886,"10.165426,76.259178",5050,266,327
1736175168,2025-01-06T14:52:48Z,AIC2886,"10.168167,76.257591",5150,266,331
1736175170,2025-01-06T14:52:50Z,AIC2886,"10.17041,76.256569",5225,266,335
1736175172,2025-01-06T14:52:52Z,AIC2886,"10.173203,76.255501",5350,266,338
1736175175,2025-01-06T14:52:55Z,AIC2886,"10.175528,76.254776",5425,266,344
1736175177,2025-01-06T14:52:57Z,AIC2886,"10.178009,76.254196",5525,267,348
1736175179,2025-01-06T14:52:59Z,AIC2886,"10.181076,76.253731",5650,266,351
1736175181,2025-01-06T14:53:01Z,AIC2886,"10.183208,76.253548",5725,266,355
1736175183,2025-01-06T14:53:03Z,AIC2886,"10.186386,76.253448",5850,267,358
1736175186,2025-01-06T14:53:06Z,AIC2886,"10.189362,76.253639",5975,267,2
1736175188,2025-01-06T14:53:08Z,AIC2886,"10.191696,76.253914",6075,266,7
1736175190,2025-01-06T14:53:10Z,AIC2886,"10.194428,76.254448",6175,266,11
1736175192,2025-01-06T14:53:12Z,AIC2886,"10.196869,76.255127",6275,266,15
1736175194,2025-01-06T14:53:14Z,AIC2886,"10.199735,76.256104",6425,266,18
1736175196,2025-01-06T14:53:16Z,AIC2886,"10.202087,76.25708",6525,266,21
1736175198,2025-01-06T14:53:18Z,AIC2886,"10.204297,76.258041",6625,264,24
1736175200,2025-01-06T14:53:20Z,AIC2886,"10.206436,76.259087",6750,264,25
1736175202,2025-01-06T14:53:22Z,AIC2886,"10.208542,76.260109",6875,262,26
1736175205,2025-01-06T14:53:25Z,AIC2886,"10.210629,76.261215",7000,262,27
1736175207,2025-01-06T14:53:27Z,AIC2886,"10.21291,76.262405",7125,262,27
1736175209,2025-01-06T14:53:29Z,AIC2886,"10.215134,76.26355",7225,263,27
1736175211,2025-01-06T14:53:31Z,AIC2886,"10.217797,76.265007",7300,265,28
1736175213,2025-01-06T14:53:33Z,AIC2886,"10.220497,76.266472",7400,267,28
1736175215,2025-01-06T14:53:35Z,AIC2886,"10.222732,76.267708",7450,269,28
1736175218,2025-01-06T14:53:38Z,AIC2886,"10.22612,76.269554",7525,272,28
1736175221,2025-01-06T14:53:41Z,AIC2886,"10.228455,76.270859",7575,276,28
1736175223,2025-01-06T14:53:43Z,AIC2886,"10.230835,76.272163",7650,276,28
1736175235,2025-01-06T14:53:55Z,AIC2886,"10.245263,76.279922",8175,281,27
