Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1736347508,2025-01-08T14:45:08Z,AIC2886,"10.1543,76.38974",0,0,357
1736348148,2025-01-08T14:55:48Z,AIC2886,"10.154079,76.389717",0,2,354
1736348168,2025-01-08T14:56:08Z,AIC2886,"10.153873,76.38974",0,2,357
1736348191,2025-01-08T14:56:31Z,AIC2886,"10.153667,76.389763",0,2,36
1736348215,2025-01-08T14:56:55Z,AIC2886,"10.153461,76.389648",0,2,75
1736348433,2025-01-08T15:00:33Z,AIC2886,"10.153393,76.389374",0,0,84
1736348484,2025-01-08T15:01:24Z,AIC2886,"10.153416,76.389786",0,8,90
1736348491,2025-01-08T15:01:31Z,AIC2886,"10.153416,76.390121",0,10,90
1736348501,2025-01-08T15:01:41Z,AIC2886,"10.15338,76.390533",0,7,106
1736348510,2025-01-08T15:01:50Z,AIC2886,"10.153043,76.390617",0,8,174
1736348515,2025-01-08T15:01:55Z,AIC2886,"10.152832,76.390602",0,8,180
1736348527,2025-01-08T15:02:07Z,AIC2886,"10.1525,76.390884",0,9,123
1736348535,2025-01-08T15:02:15Z,AIC2886,"10.152472,76.391243",0,10,92
1736348542,2025-01-08T15:02:22Z,AIC2886,"10.152496,76.391701",0,15,87
1736348550,2025-01-08T15:02:30Z,AIC2886,"10.152519,76.392365",0,20,87
1736348556,2025-01-08T15:02:36Z,AIC2886,"10.152543,76.392967",0,22,87
1736348558,2025-01-08T15:02:38Z,AIC2886,"10.152557,76.39325",0,23,87
1736348560,2025-01-08T15:02:40Z,AIC2886,"10.152566,76.393501",0,24,87
1736348567,2025-01-08T15:02:47Z,AIC2886,"10.152589,76.394341",0,25,87
1736348574,2025-01-08T15:02:54Z,AIC2886,"10.152626,76.395157",0,25,87
1736348608,2025-01-08T15:03:28Z,AIC2886,"10.152787,76.399529",0,0,87
1736348680,2025-01-08T15:04:40Z,AIC2886,"10.153148,76.409439",0,29,87
1736348687,2025-01-08T15:04:47Z,AIC2886,"10.153187,76.410416",0,30,87
1736348695,2025-01-08T15:04:55Z,AIC2886,"10.153221,76.411575",0,29,87
1736348702,2025-01-08T15:05:02Z,AIC2886,"10.153255,76.412369",0,29,87
1736348710,2025-01-08T15:05:10Z,AIC2886,"10.153301,76.413498",0,28,87
1736348717,2025-01-08T15:05:17Z,AIC2886,"10.153336,76.414513",0,26,87
1736348724,2025-01-08T15:05:24Z,AIC2886,"10.153358,76.415276",0,20,90
1736348729,2025-01-08T15:05:29Z,AIC2886,"10.153358,76.415627",0,14,92
1736348735,2025-01-08T15:05:35Z,AIC2886,"10.153233,76.415886",0,10,126
1736348740,2025-01-08T15:05:40Z,AIC2886,"10.152992,76.415909",0,10,171
1736348744,2025-01-08T15:05:44Z,AIC2886,"10.152776,76.415894",0,11,180
1736348748,2025-01-08T15:05:48Z,AIC2886,"10.152543,76.415901",0,12,180
1736348752,2025-01-08T15:05:52Z,AIC2886,"10.152309,76.415901",0,13,177
1736348757,2025-01-08T15:05:57Z,AIC2886,"10.152031,76.415916",0,14,180
1736348760,2025-01-08T15:06:00Z,AIC2886,"10.151821,76.415878",0,12,191
1736348768,2025-01-08T15:06:08Z,AIC2886,"10.151608,76.415604",0,10,244
1736348773,2025-01-08T15:06:13Z,AIC2886,"10.151619,76.415367",0,10,270
1736348778,2025-01-08T15:06:18Z,AIC2886,"10.151608,76.414986",0,17,270
1736348781,2025-01-08T15:06:21Z,AIC2886,"10.151608,76.414635",0,25,267
1736348782,2025-01-08T15:06:22Z,AIC2886,"10.151588,76.41436",0,34,267
1736348784,2025-01-08T15:06:24Z,AIC2886,"10.151573,76.413895",0,44,267
1736348786,2025-01-08T15:06:26Z,AIC2886,"10.151562,76.413475",0,54,267
1736348787,2025-01-08T15:06:27Z,AIC2886,"10.15155,76.413162",0,58,267
1736348789,2025-01-08T15:06:29Z,AIC2886,"10.15153,76.412529",0,68,267
1736348796,2025-01-08T15:06:36Z,AIC2886,"10.151414,76.409439",0,0,267
1736348819,2025-01-08T15:06:59Z,AIC2886,"10.150855,76.394051",350,159,267
1736348827,2025-01-08T15:07:07Z,AIC2886,"10.150622,76.388557",575,162,267
1736348836,2025-01-08T15:07:16Z,AIC2886,"10.150343,76.381828",950,160,267
1736348843,2025-01-08T15:07:23Z,AIC2886,"10.150177,76.376999",1175,161,267
1736348850,2025-01-08T15:07:30Z,AIC2886,"10.149948,76.371323",1325,172,267
1736348856,2025-01-08T15:07:36Z,AIC2886,"10.149811,76.36573",1450,180,268
1736348864,2025-01-08T15:07:44Z,AIC2886,"10.149551,76.358109",1625,194,268
1736348871,2025-01-08T15:07:51Z,AIC2886,"10.149353,76.352234",1750,203,267
1736348879,2025-01-08T15:07:59Z,AIC2886,"10.149133,76.343666",1950,218,268
1736348888,2025-01-08T15:08:08Z,AIC2886,"10.148947,76.334381",2150,232,270
1736348892,2025-01-08T15:08:12Z,AIC2886,"10.149365,76.32988",2250,236,276
1736348894,2025-01-08T15:08:14Z,AIC2886,"10.149765,76.327606",2300,238,279
1736348896,2025-01-08T15:08:16Z,AIC2886,"10.15039,76.325386",2325,241,283
1736348898,2025-01-08T15:08:18Z,AIC2886,"10.151093,76.323372",2375,243,288
1736348901,2025-01-08T15:08:21Z,AIC2886,"10.152391,76.320366",2450,245,292
1736348903,2025-01-08T15:08:23Z,AIC2886,"10.153275,76.31871",2500,246,298
1736348905,2025-01-08T15:08:25Z,AIC2886,"10.15448,76.316811",2575,245,303
1736348907,2025-01-08T15:08:27Z,AIC2886,"10.156348,76.314346",2700,244,307
1736348909,2025-01-08T15:08:29Z,AIC2886,"10.157838,76.312645",2825,243,311
1736348911,2025-01-08T15:08:31Z,AIC2886,"10.159424,76.311127",2925,241,315
1736348913,2025-01-08T15:08:33Z,AIC2886,"10.161346,76.309502",3075,240,319
1736348915,2025-01-08T15:08:35Z,AIC2886,"10.163331,76.308006",3200,238,323
1736348918,2025-01-08T15:08:38Z,AIC2886,"10.165375,76.306755",3325,236,328
1736348920,2025-01-08T15:08:40Z,AIC2886,"10.167381,76.305687",3450,235,333
1736348922,2025-01-08T15:08:42Z,AIC2886,"10.169522,76.304787",3550,235,337
1736348924,2025-01-08T15:08:44Z,AIC2886,"10.17213,76.303886",3700,234,341
1736348926,2025-01-08T15:08:46Z,AIC2886,"10.174224,76.30336",3800,234,345
1736348929,2025-01-08T15:08:49Z,AIC2886,"10.176773,76.302887",3925,233,349
1736348931,2025-01-08T15:08:51Z,AIC2886,"10.178925,76.302704",4025,234,353
1736348934,2025-01-08T15:08:54Z,AIC2886,"10.18277,76.302795",4175,234,3
1736348936,2025-01-08T15:08:56Z,AIC2886,"10.184978,76.303078",4275,233,4
