Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1736521442,2025-01-10T15:04:02Z,AIC2886,"10.154207,76.389275",0,1,357
1736521469,2025-01-10T15:04:29Z,AIC2886,"10.153986,76.389297",0,1,357
1736521498,2025-01-10T15:04:58Z,AIC2886,"10.153776,76.389328",0,1,14
1736521525,2025-01-10T15:05:25Z,AIC2886,"10.153566,76.38929",0,1,47
1736521572,2025-01-10T15:06:12Z,AIC2886,"10.153427,76.389076",0,1,87
1736521767,2025-01-10T15:09:27Z,AIC2886,"10.153439,76.389351",0,5,87
1736521776,2025-01-10T15:09:36Z,AIC2886,"10.153439,76.389572",0,6,87
1736521782,2025-01-10T15:09:42Z,AIC2886,"10.15345,76.389809",0,8,87
1736521789,2025-01-10T15:09:49Z,AIC2886,"10.153462,76.390068",0,9,87
1736521795,2025-01-10T15:09:55Z,AIC2886,"10.15345,76.390343",0,9,95
1736521804,2025-01-10T15:10:04Z,AIC2886,"10.15323,76.390564",0,7,146
1736521812,2025-01-10T15:10:12Z,AIC2886,"10.152981,76.390594",0,7,177
1736521821,2025-01-10T15:10:21Z,AIC2886,"10.15274,76.390602",0,6,174
1736521831,2025-01-10T15:10:31Z,AIC2886,"10.152523,76.390816",0,6,129
1736521839,2025-01-10T15:10:39Z,AIC2886,"10.152508,76.391029",0,6,95
1736521849,2025-01-10T15:10:49Z,AIC2886,"10.152512,76.391327",0,7,95
1736521859,2025-01-10T15:10:59Z,AIC2886,"10.152283,76.391548",0,7,146
1736521867,2025-01-10T15:11:07Z,AIC2886,"10.15202,76.391548",0,7,177
1736521877,2025-01-10T15:11:17Z,AIC2886,"10.151814,76.391548",0,3,180
1736521893,2025-01-10T15:11:33Z,AIC2886,"10.1516,76.391548",0,4,180
1736521905,2025-01-10T15:11:45Z,AIC2886,"10.15132,76.391563",0,5,177
1736521915,2025-01-10T15:11:55Z,AIC2886,"10.151112,76.391563",0,5,180
1736521922,2025-01-10T15:12:02Z,AIC2886,"10.150898,76.391556",0,5,180
1736521940,2025-01-10T15:12:20Z,AIC2886,"10.150784,76.391769",0,3,98
1736521958,2025-01-10T15:12:38Z,AIC2886,"10.150818,76.391991",0,13,87
1736521962,2025-01-10T15:12:42Z,AIC2886,"10.150829,76.392303",0,29,87
1736521963,2025-01-10T15:12:43Z,AIC2886,"10.150841,76.392616",0,39,87
1736521964,2025-01-10T15:12:44Z,AIC2886,"10.150844,76.392876",0,45,87
1736521965,2025-01-10T15:12:45Z,AIC2886,"10.150852,76.393143",0,50,87
1736521966,2025-01-10T15:12:46Z,AIC2886,"10.150867,76.393417",0,56,87
1736521974,2025-01-10T15:12:54Z,AIC2886,"10.150913,76.394806",0,0,88
1736521999,2025-01-10T15:13:19Z,AIC2886,"10.151647,76.412468",350,157,86
1736522006,2025-01-10T15:13:26Z,AIC2886,"10.152008,76.41806",700,156,85
1736522014,2025-01-10T15:13:34Z,AIC2886,"10.152624,76.424118",1050,158,83
