Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1737990271,2025-01-27T15:04:31Z,AIC2886,"10.154251,76.389267",0,0,357
1737990322,2025-01-27T15:05:22Z,AIC2886,"10.154045,76.389267",0,2,357
1737990340,2025-01-27T15:05:40Z,AIC2886,"10.153839,76.38929",0,2,2
1737990362,2025-01-27T15:06:02Z,AIC2886,"10.153579,76.389275",0,2,36
1737990393,2025-01-27T15:06:33Z,AIC2886,"10.153381,76.389069",0,2,87
1737990783,2025-01-27T15:13:03Z,AIC2886,"10.153393,76.389297",0,4,87
1737990795,2025-01-27T15:13:15Z,AIC2886,"10.153404,76.389633",0,7,87
1737990803,2025-01-27T15:13:23Z,AIC2886,"10.153416,76.389908",0,8,87
1737990811,2025-01-27T15:13:31Z,AIC2886,"10.153427,76.390213",0,8,87
1737990818,2025-01-27T15:13:38Z,AIC2886,"10.153439,76.390427",0,6,90
1737990830,2025-01-27T15:13:50Z,AIC2886,"10.153159,76.390556",0,7,163
1737990838,2025-01-27T15:13:58Z,AIC2886,"10.152904,76.390564",0,6,177
1737990848,2025-01-27T15:14:08Z,AIC2886,"10.152636,76.390617",0,6,165
1737990867,2025-01-27T15:14:27Z,AIC2886,"10.152477,76.391022",0,0,98
1737990876,2025-01-27T15:14:36Z,AIC2886,"10.152489,76.391266",0,6,87
1737990891,2025-01-27T15:14:51Z,AIC2886,"10.152508,76.391731",0,7,87
1737990897,2025-01-27T15:14:57Z,AIC2886,"10.152508,76.391953",0,8,87
1737990908,2025-01-27T15:15:08Z,AIC2886,"10.152531,76.392387",0,10,87
1737990919,2025-01-27T15:15:19Z,AIC2886,"10.152557,76.393082",0,15,87
1737990926,2025-01-27T15:15:26Z,AIC2886,"10.152569,76.393501",0,16,87
1737990937,2025-01-27T15:15:37Z,AIC2886,"10.152603,76.394409",0,17,87
1737990945,2025-01-27T15:15:45Z,AIC2886,"10.152626,76.395164",0,18,87
1737990955,2025-01-27T15:15:55Z,AIC2886,"10.152659,76.396004",0,0,87
1737990963,2025-01-27T15:16:03Z,AIC2886,"10.152683,76.396797",0,19,87
1737991059,2025-01-27T15:17:39Z,AIC2886,"10.152992,76.405312",0,0,87
1737991069,2025-01-27T15:17:49Z,AIC2886,"10.153113,76.408386",0,0,87
1737991077,2025-01-27T15:17:57Z,AIC2886,"10.153148,76.409355",0,26,87
1737991086,2025-01-27T15:18:06Z,AIC2886,"10.153183,76.410469",0,27,87
1737991094,2025-01-27T15:18:14Z,AIC2886,"10.153221,76.411507",0,27,87
1737991101,2025-01-27T15:18:21Z,AIC2886,"10.153253,76.412209",0,24,87
1737991108,2025-01-27T15:18:28Z,AIC2886,"10.153278,76.412964",0,20,87
1737991115,2025-01-27T15:18:35Z,AIC2886,"10.153299,76.413597",0,16,87
1737991123,2025-01-27T15:18:43Z,AIC2886,"10.153322,76.414124",0,14,87
1737991129,2025-01-27T15:18:49Z,AIC2886,"10.153334,76.414398",0,13,87
