Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1739371973,2025-02-12T14:52:53Z,AIC504,"10.154253,76.389267",0,0,357
1739372375,2025-02-12T14:59:35Z,AIC504,"10.154044,76.389275",0,2,357
1739372401,2025-02-12T15:00:01Z,AIC504,"10.153759,76.38929",0,0,8
1739372420,2025-02-12T15:00:20Z,AIC504,"10.153553,76.38929",0,2,47
1739372450,2025-02-12T15:00:50Z,AIC504,"10.153404,76.389076",0,2,81
1739372716,2025-02-12T15:05:16Z,AIC504,"10.153393,76.389297",0,7,87
1739372724,2025-02-12T15:05:24Z,AIC504,"10.153392,76.389595",0,9,87
1739372730,2025-02-12T15:05:30Z,AIC504,"10.153404,76.389915",0,10,87
1739372738,2025-02-12T15:05:38Z,AIC504,"10.153416,76.390282",0,10,90
1739372743,2025-02-12T15:05:43Z,AIC504,"10.153336,76.390488",0,9,115
1739372751,2025-02-12T15:05:51Z,AIC504,"10.153084,76.390579",0,9,163
1739372756,2025-02-12T15:05:56Z,AIC504,"10.152845,76.390564",0,8,180
1739372764,2025-02-12T15:06:04Z,AIC504,"10.152557,76.390663",0,9,151
1739372773,2025-02-12T15:06:13Z,AIC504,"10.152461,76.391029",0,9,98
1739372784,2025-02-12T15:06:24Z,AIC504,"10.1525,76.391632",0,13,87
1739372792,2025-02-12T15:06:32Z,AIC504,"10.152519,76.392151",0,15,87
1739372799,2025-02-12T15:06:39Z,AIC504,"10.152531,76.392601",0,17,87
1739372810,2025-02-12T15:06:50Z,AIC504,"10.15258,76.393806",0,0,87
1739372816,2025-02-12T15:06:56Z,AIC504,"10.152601,76.394485",0,22,87
1739372824,2025-02-12T15:07:04Z,AIC504,"10.152636,76.395302",0,23,87
1739372845,2025-02-12T15:07:25Z,AIC504,"10.152718,76.397812",0,0,87
1739372862,2025-02-12T15:07:42Z,AIC504,"10.152798,76.399895",0,0,87
1739372931,2025-02-12T15:08:51Z,AIC504,"10.153141,76.409119",0,28,87
1739372943,2025-02-12T15:09:03Z,AIC504,"10.153183,76.410233",0,29,87
1739372951,2025-02-12T15:09:11Z,AIC504,"10.15323,76.411667",0,28,87
1739372958,2025-02-12T15:09:18Z,AIC504,"10.153275,76.412872",0,28,87
1739372965,2025-02-12T15:09:25Z,AIC504,"10.153313,76.413742",0,27,87
1739372972,2025-02-12T15:09:32Z,AIC504,"10.153346,76.414589",0,23,87
1739372979,2025-02-12T15:09:39Z,AIC504,"10.153369,76.415184",0,19,87
1739372983,2025-02-12T15:09:43Z,AIC504,"10.153369,76.415535",0,14,92
1739372988,2025-02-12T15:09:48Z,AIC504,"10.153278,76.415756",0,10,115
1739372995,2025-02-12T15:09:55Z,AIC504,"10.153043,76.415894",0,8,154
1739373003,2025-02-12T15:10:03Z,AIC504,"10.152821,76.415871",0,5,180
1739373158,2025-02-12T15:12:38Z,AIC504,"10.152589,76.415878",0,0,177
1739373167,2025-02-12T15:12:47Z,AIC504,"10.152386,76.415886",0,6,177
1739373176,2025-02-12T15:12:56Z,AIC504,"10.152112,76.415901",0,6,177
1739373184,2025-02-12T15:13:04Z,AIC504,"10.151879,76.415878",0,6,188
1739373193,2025-02-12T15:13:13Z,AIC504,"10.151665,76.415733",0,5,216
1739373206,2025-02-12T15:13:26Z,AIC504,"10.151608,76.415489",0,4,258
1739373239,2025-02-12T15:13:59Z,AIC504,"10.151611,76.415237",0,8,270
1739373247,2025-02-12T15:14:07Z,AIC504,"10.151573,76.413857",0,45,267
1739373258,2025-02-12T15:14:18Z,AIC504,"10.151414,76.409821",0,54,267
1739373284,2025-02-12T15:14:44Z,AIC504,"10.150808,76.392914",250,164,267
1739373291,2025-02-12T15:14:51Z,AIC504,"10.150543,76.387383",450,165,267
1739373299,2025-02-12T15:14:59Z,AIC504,"10.150343,76.381264",750,164,268
1739373308,2025-02-12T15:15:08Z,AIC504,"10.150157,76.374489",1100,162,268
1739373314,2025-02-12T15:15:14Z,AIC504,"10.15004,76.369316",1225,171,268
1739373321,2025-02-12T15:15:21Z,AIC504,"10.149878,76.363503",1375,178,268
1739373330,2025-02-12T15:15:30Z,AIC504,"10.149692,76.356026",1575,188,268
1739373336,2025-02-12T15:15:36Z,AIC504,"10.14949,76.350372",1725,197,268
1739373344,2025-02-12T15:15:44Z,AIC504,"10.149216,76.342041",1925,208,268
1739373351,2025-02-12T15:15:51Z,AIC504,"10.148993,76.336082",2075,217,267
1739373359,2025-02-12T15:15:59Z,AIC504,"10.148666,76.327003",2275,229,268
1739373364,2025-02-12T15:16:04Z,AIC504,"10.1489,76.322113",2400,234,273
1739373366,2025-02-12T15:16:06Z,AIC504,"10.14917,76.320068",2425,237,277
1739373368,2025-02-12T15:16:08Z,AIC504,"10.149598,76.317902",2475,241,280
1739373370,2025-02-12T15:16:10Z,AIC504,"10.150406,76.315132",2500,245,286
1739373372,2025-02-12T15:16:12Z,AIC504,"10.15123,76.312897",2525,248,290
1739373374,2025-02-12T15:16:14Z,AIC504,"10.152328,76.310616",2575,251,294
1739373377,2025-02-12T15:16:17Z,AIC504,"10.153741,76.308144",2625,253,299
1739373379,2025-02-12T15:16:19Z,AIC504,"10.155138,76.306252",2700,254,304
1739373381,2025-02-12T15:16:21Z,AIC504,"10.15654,76.304565",2750,255,309
1739373383,2025-02-12T15:16:23Z,AIC504,"10.158829,76.302422",2825,256,316
1739373385,2025-02-12T15:16:25Z,AIC504,"10.160706,76.300934",2900,255,320
1739373387,2025-02-12T15:16:27Z,AIC504,"10.162586,76.299667",2975,255,325
1739373389,2025-02-12T15:16:29Z,AIC504,"10.165194,76.298157",3075,255,329
1739373391,2025-02-12T15:16:31Z,AIC504,"10.167195,76.297157",3175,254,332
1739373393,2025-02-12T15:16:33Z,AIC504,"10.169357,76.296188",3275,254,335
1739373396,2025-02-12T15:16:36Z,AIC504,"10.17185,76.29512",3375,253,336
1739373398,2025-02-12T15:16:38Z,AIC504,"10.173889,76.294319",3475,253,337
1739373400,2025-02-12T15:16:40Z,AIC504,"10.176086,76.293488",3575,253,338
1739373402,2025-02-12T15:16:42Z,AIC504,"10.17897,76.292412",3725,252,339
1739373404,2025-02-12T15:16:44Z,AIC504,"10.181394,76.291527",3850,252,340
1739373406,2025-02-12T15:16:46Z,AIC504,"10.183116,76.290909",3925,253,340
1739373408,2025-02-12T15:16:48Z,AIC504,"10.185974,76.289856",4050,253,340
1739373410,2025-02-12T15:16:50Z,AIC504,"10.188236,76.289017",4125,253,340
1739373412,2025-02-12T15:16:52Z,AIC504,"10.190231,76.288269",4225,254,340
1739373414,2025-02-12T15:16:54Z,AIC504,"10.192337,76.287529",4300,254,340
1739373417,2025-02-12T15:16:57Z,AIC504,"10.194626,76.28669",4400,254,340
1739373419,2025-02-12T15:16:59Z,AIC504,"10.197052,76.285896",4500,255,341
1739373421,2025-02-12T15:17:01Z,AIC504,"10.200108,76.285088",4625,255,343
1739373423,2025-02-12T15:17:03Z,AIC504,"10.202454,76.284637",4700,254,347
1739373425,2025-02-12T15:17:05Z,AIC504,"10.205275,76.284233",4825,253,351
1739373428,2025-02-12T15:17:08Z,AIC504,"10.207603,76.284042",4900,253,356
1739373430,2025-02-12T15:17:10Z,AIC504,"10.210302,76.284042",5000,253,358
