Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1740407609,2025-02-24T14:33:29Z,AIC504,"10.154251,76.38929",0,0,357
1740407734,2025-02-24T14:35:34Z,AIC504,"10.154044,76.38929",0,2,354
1740407754,2025-02-24T14:35:54Z,AIC504,"10.153765,76.389351",0,0,11
1740407769,2025-02-24T14:36:09Z,AIC504,"10.153564,76.389313",0,3,39
1740408143,2025-02-24T14:42:23Z,AIC504,"10.153392,76.389534",0,5,87
1740408151,2025-02-24T14:42:31Z,AIC504,"10.153404,76.389755",0,7,87
1740408157,2025-02-24T14:42:37Z,AIC504,"10.153404,76.390015",0,8,87
1740408164,2025-02-24T14:42:44Z,AIC504,"10.153427,76.390327",0,9,87
1740408174,2025-02-24T14:42:54Z,AIC504,"10.153439,76.39064",0,11,87
1740408185,2025-02-24T14:43:05Z,AIC504,"10.153461,76.391441",0,13,87
1740408191,2025-02-24T14:43:11Z,AIC504,"10.153473,76.391769",0,11,87
1740408198,2025-02-24T14:43:18Z,AIC504,"10.153496,76.392082",0,9,90
1740408207,2025-02-24T14:43:27Z,AIC504,"10.153313,76.392365",0,9,135
1740408213,2025-02-24T14:43:33Z,AIC504,"10.153027,76.392433",0,9,168
1740408227,2025-02-24T14:43:47Z,AIC504,"10.152566,76.392708",0,9,123
1740408247,2025-02-24T14:44:07Z,AIC504,"10.152557,76.393471",0,0,87
1740408255,2025-02-24T14:44:15Z,AIC504,"10.152577,76.394028",0,0,87
1740408269,2025-02-24T14:44:29Z,AIC504,"10.152601,76.394844",0,0,87
1740408276,2025-02-24T14:44:36Z,AIC504,"10.152615,76.395073",0,0,87
1740408439,2025-02-24T14:47:19Z,AIC504,"10.153136,76.409447",0,22,87
1740408447,2025-02-24T14:47:27Z,AIC504,"10.153175,76.410263",0,23,87
1740408453,2025-02-24T14:47:33Z,AIC504,"10.153198,76.411026",0,24,87
1740408461,2025-02-24T14:47:41Z,AIC504,"10.153217,76.411758",0,23,87
1740408468,2025-02-24T14:47:48Z,AIC504,"10.153253,76.412529",0,18,87
1740408475,2025-02-24T14:47:55Z,AIC504,"10.153267,76.412987",0,11,92
1740408486,2025-02-24T14:48:06Z,AIC504,"10.152845,76.413261",0,11,165
1740408490,2025-02-24T14:48:10Z,AIC504,"10.152592,76.413261",0,12,180
1740408496,2025-02-24T14:48:16Z,AIC504,"10.152214,76.413277",0,14,177
1740408504,2025-02-24T14:48:24Z,AIC504,"10.151733,76.413261",0,13,191
1740408520,2025-02-24T14:48:40Z,AIC504,"10.151506,76.412018",0,31,267
1740408559,2025-02-24T14:49:19Z,AIC504,"10.150669,76.390068",325,166,267
1740408566,2025-02-24T14:49:26Z,AIC504,"10.150543,76.38533",600,159,268
1740408575,2025-02-24T14:49:35Z,AIC504,"10.150436,76.378708",1025,153,269
1740408583,2025-02-24T14:49:43Z,AIC504,"10.150314,76.372345",1250,161,269
