Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1740851854,2025-03-01T17:57:34Z,AIC506,"10.153805,76.392082",0,2,329
1740851886,2025-03-01T17:58:06Z,AIC506,"10.153555,76.39225",0,2,278
1740851909,2025-03-01T17:58:29Z,AIC506,"10.15353,76.392464",0,2,267
1740851933,2025-03-01T17:58:53Z,AIC506,"10.153542,76.392677",0,1,267
1740852239,2025-03-01T18:03:59Z,AIC506,"10.15338,76.392471",0,4,227
1740852253,2025-03-01T18:04:13Z,AIC506,"10.153175,76.39241",0,2,196
1740852269,2025-03-01T18:04:29Z,AIC506,"10.152962,76.392418",0,3,182
1740852283,2025-03-01T18:04:43Z,AIC506,"10.15274,76.392487",0,4,160
1740852298,2025-03-01T18:04:58Z,AIC506,"10.152577,76.392723",0,4,120
1740852309,2025-03-01T18:05:09Z,AIC506,"10.152569,76.39299",0,5,92
1740852319,2025-03-01T18:05:19Z,AIC506,"10.15258,76.39328",0,7,87
1740852325,2025-03-01T18:05:25Z,AIC506,"10.152592,76.393501",0,8,87
1740852332,2025-03-01T18:05:32Z,AIC506,"10.152613,76.393791",0,9,87
1740852340,2025-03-01T18:05:40Z,AIC506,"10.152624,76.39418",0,10,87
1740852352,2025-03-01T18:05:52Z,AIC506,"10.152647,76.394821",0,12,87
1740852360,2025-03-01T18:06:00Z,AIC506,"10.15266,76.395309",0,13,87
1740852384,2025-03-01T18:06:24Z,AIC506,"10.152718,76.396957",0,0,87
1740852400,2025-03-01T18:06:40Z,AIC506,"10.152775,76.398285",0,18,87
1740852415,2025-03-01T18:06:55Z,AIC506,"10.152821,76.399574",0,0,87
1740852522,2025-03-01T18:08:42Z,AIC506,"10.153118,76.407539",0,16,87
1740852528,2025-03-01T18:08:48Z,AIC506,"10.153125,76.408005",0,17,87
1740852535,2025-03-01T18:08:55Z,AIC506,"10.153148,76.408661",0,18,87
1740852543,2025-03-01T18:09:03Z,AIC506,"10.153172,76.409355",0,19,87
1740852551,2025-03-01T18:09:11Z,AIC506,"10.153194,76.41011",0,20,87
1740852558,2025-03-01T18:09:18Z,AIC506,"10.153221,76.410774",0,19,87
1740852565,2025-03-01T18:09:25Z,AIC506,"10.153255,76.4114",0,18,87
1740852571,2025-03-01T18:09:31Z,AIC506,"10.153275,76.411926",0,18,87
1740852578,2025-03-01T18:09:38Z,AIC506,"10.15329,76.412506",0,17,87
1740852585,2025-03-01T18:09:45Z,AIC506,"10.153311,76.413086",0,15,87
1740852592,2025-03-01T18:09:52Z,AIC506,"10.153336,76.413551",0,14,87
1740852599,2025-03-01T18:09:59Z,AIC506,"10.153347,76.414017",0,14,87
1740852606,2025-03-01T18:10:06Z,AIC506,"10.153369,76.414482",0,14,87
1740852613,2025-03-01T18:10:13Z,AIC506,"10.153381,76.414894",0,12,87
1740852620,2025-03-01T18:10:20Z,AIC506,"10.153393,76.415222",0,9,87
1740852627,2025-03-01T18:10:27Z,AIC506,"10.153393,76.41552",0,8,92
1740852633,2025-03-01T18:10:33Z,AIC506,"10.153267,76.415741",0,8,118
1740852639,2025-03-01T18:10:39Z,AIC506,"10.153049,76.415871",0,10,151
1740852644,2025-03-01T18:10:44Z,AIC506,"10.152845,76.415894",0,8,171
1740852650,2025-03-01T18:10:50Z,AIC506,"10.152601,76.415894",0,9,177
1740852655,2025-03-01T18:10:55Z,AIC506,"10.152386,76.415909",0,10,177
1740852660,2025-03-01T18:11:00Z,AIC506,"10.152145,76.415909",0,10,180
1740852666,2025-03-01T18:11:06Z,AIC506,"10.151917,76.415886",0,8,185
1740852675,2025-03-01T18:11:15Z,AIC506,"10.151705,76.41568",0,7,230
1740852682,2025-03-01T18:11:22Z,AIC506,"10.151658,76.415451",0,7,255
1740852687,2025-03-01T18:11:27Z,AIC506,"10.151647,76.41523",0,12,264
1740852691,2025-03-01T18:11:31Z,AIC506,"10.151619,76.414787",0,28,267
1740852694,2025-03-01T18:11:34Z,AIC506,"10.151619,76.414429",0,38,270
1740852695,2025-03-01T18:11:35Z,AIC506,"10.151611,76.414177",0,44,270
1740852696,2025-03-01T18:11:36Z,AIC506,"10.151608,76.413795",0,54,267
1740852697,2025-03-01T18:11:37Z,AIC506,"10.151596,76.413521",0,59,267
1740852698,2025-03-01T18:11:38Z,AIC506,"10.151585,76.413208",0,65,267
1740852699,2025-03-01T18:11:39Z,AIC506,"10.151562,76.412811",0,70,267
1740852706,2025-03-01T18:11:46Z,AIC506,"10.151459,76.410286",150,70,267
1740852731,2025-03-01T18:12:11Z,AIC506,"10.150808,76.393005",425,164,268
1740852740,2025-03-01T18:12:20Z,AIC506,"10.150726,76.386215",825,157,269
1740852746,2025-03-01T18:12:26Z,AIC506,"10.150669,76.381355",1150,153,269
1740852753,2025-03-01T18:12:33Z,AIC506,"10.150622,76.376762",1300,160,269
1740852762,2025-03-01T18:12:42Z,AIC506,"10.150543,76.369736",1500,169,268
1740852771,2025-03-01T18:12:51Z,AIC506,"10.150436,76.362656",1675,182,269
1740852779,2025-03-01T18:12:59Z,AIC506,"10.150343,76.355072",1850,192,269
