Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1741025458,2025-03-03T18:10:58Z,AIC506,"10.151585,76.391548",0,7,180
1741025465,2025-03-03T18:11:05Z,AIC506,"10.15132,76.391548",0,8,177
1741025473,2025-03-03T18:11:13Z,AIC506,"10.151024,76.391556",0,7,180
1741025482,2025-03-03T18:11:22Z,AIC506,"10.150818,76.391609",0,4,163
1741025495,2025-03-03T18:11:35Z,AIC506,"10.150784,76.391838",0,4,101
1741025509,2025-03-03T18:11:49Z,AIC506,"10.150795,76.392044",0,5,87
1741025515,2025-03-03T18:11:55Z,AIC506,"10.150818,76.392349",0,19,87
1741025518,2025-03-03T18:11:58Z,AIC506,"10.150832,76.392838",0,35,87
1741025519,2025-03-03T18:11:59Z,AIC506,"10.150844,76.393044",0,40,87
1741025522,2025-03-03T18:12:02Z,AIC506,"10.150855,76.393257",0,46,87
1741025533,2025-03-03T18:12:13Z,AIC506,"10.151041,76.398407",0,67,87
1741025554,2025-03-03T18:12:34Z,AIC506,"10.1516,76.411949",450,154,87
1741025560,2025-03-03T18:12:40Z,AIC506,"10.151833,76.416542",700,153,87
1741025567,2025-03-03T18:12:47Z,AIC506,"10.152054,76.42141",1000,151,87
1741025575,2025-03-03T18:12:55Z,AIC506,"10.152328,76.427742",1275,161,87
1741025582,2025-03-03T18:13:02Z,AIC506,"10.152531,76.432693",1450,169,87
1741025590,2025-03-03T18:13:10Z,AIC506,"10.152786,76.439888",1700,179,86
1741025595,2025-03-03T18:13:15Z,AIC506,"10.15323,76.443535",1825,184,80
1741025597,2025-03-03T18:13:17Z,AIC506,"10.153656,76.445435",1900,187,77
1741025599,2025-03-03T18:13:19Z,AIC506,"10.15416,76.447083",1950,191,71
1741025601,2025-03-03T18:13:21Z,AIC506,"10.1548,76.448738",2000,193,66
1741025603,2025-03-03T18:13:23Z,AIC506,"10.15565,76.450546",2075,196,62
1741025605,2025-03-03T18:13:25Z,AIC506,"10.156814,76.45253",2150,198,57
1741025607,2025-03-03T18:13:27Z,AIC506,"10.157913,76.453995",2200,201,53
1741025609,2025-03-03T18:13:29Z,AIC506,"10.159234,76.455559",2250,204,47
1741025612,2025-03-03T18:13:32Z,AIC506,"10.160751,76.456978",2300,206,43
1741025614,2025-03-03T18:13:34Z,AIC506,"10.162445,76.458328",2375,211,35
1741025616,2025-03-03T18:13:36Z,AIC506,"10.164597,76.45977",2450,213,32
1741025618,2025-03-03T18:13:38Z,AIC506,"10.166428,76.460793",2500,216,29
1741025620,2025-03-03T18:13:40Z,AIC506,"10.1678,76.461578",2550,218,27
1741025622,2025-03-03T18:13:42Z,AIC506,"10.170135,76.4627",2650,221,25
1741025625,2025-03-03T18:13:45Z,AIC506,"10.171967,76.463539",2700,222,23
1741025627,2025-03-03T18:13:47Z,AIC506,"10.173852,76.464325",2800,224,22
1741025629,2025-03-03T18:13:49Z,AIC506,"10.17618,76.465271",2900,226,21
1741025631,2025-03-03T18:13:51Z,AIC506,"10.178274,76.466072",3000,228,21
1741025633,2025-03-03T18:13:53Z,AIC506,"10.18071,76.466988",3100,228,20
1741025635,2025-03-03T18:13:55Z,AIC506,"10.182743,76.467781",3200,229,20
1741025637,2025-03-03T18:13:57Z,AIC506,"10.184233,76.468346",3275,230,20
1741025639,2025-03-03T18:13:59Z,AIC506,"10.186935,76.46936",3425,231,20
1741025642,2025-03-03T18:14:02Z,AIC506,"10.188702,76.470055",3500,232,20
1741025644,2025-03-03T18:14:04Z,AIC506,"10.191216,76.471046",3650,232,20
1741025646,2025-03-03T18:14:06Z,AIC506,"10.192795,76.471642",3725,233,21
1741025648,2025-03-03T18:14:08Z,AIC506,"10.195359,76.472702",3850,235,21
1741025650,2025-03-03T18:14:10Z,AIC506,"10.197876,76.473686",3975,236,21
1741025659,2025-03-03T18:14:19Z,AIC506,"10.206485,76.477249",4350,241,22
