Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1741280420,2025-03-06T17:00:20Z,AIC506,"10.154308,76.389717",0,0,357
1741281828,2025-03-06T17:23:48Z,AIC506,"10.154102,76.389725",0,2,354
1741281847,2025-03-06T17:24:07Z,AIC506,"10.15387,76.389763",0,3,2
1741281865,2025-03-06T17:24:25Z,AIC506,"10.153656,76.389755",0,3,33
1741281884,2025-03-06T17:24:44Z,AIC506,"10.15345,76.389641",0,2,78
1741282346,2025-03-06T17:32:26Z,AIC506,"10.15345,76.389877",0,5,87
1741282354,2025-03-06T17:32:34Z,AIC506,"10.153462,76.390083",0,7,87
1741282361,2025-03-06T17:32:41Z,AIC506,"10.153473,76.390305",0,6,87
1741282369,2025-03-06T17:32:49Z,AIC506,"10.153484,76.390533",0,6,87
1741282380,2025-03-06T17:33:00Z,AIC506,"10.153484,76.390869",0,8,90
1741282387,2025-03-06T17:33:07Z,AIC506,"10.153497,76.391205",0,10,87
1741282396,2025-03-06T17:33:16Z,AIC506,"10.153508,76.391693",0,11,87
1741282403,2025-03-06T17:33:23Z,AIC506,"10.153532,76.39212",0,12,87
1741282410,2025-03-06T17:33:30Z,AIC506,"10.153542,76.392479",0,11,87
1741282417,2025-03-06T17:33:37Z,AIC506,"10.153553,76.392731",0,9,87
1741282428,2025-03-06T17:33:48Z,AIC506,"10.153576,76.393341",0,11,87
1741282437,2025-03-06T17:33:57Z,AIC506,"10.153599,76.39386",0,12,87
1741282446,2025-03-06T17:34:06Z,AIC506,"10.15361,76.394341",0,11,87
1741282455,2025-03-06T17:34:15Z,AIC506,"10.153637,76.394844",0,13,87
1741282468,2025-03-06T17:34:28Z,AIC506,"10.15366,76.395622",0,12,87
1741282484,2025-03-06T17:34:44Z,AIC506,"10.153695,76.396416",0,0,87
1741282544,2025-03-06T17:35:44Z,AIC506,"10.152776,76.397835",0,0,106
1741282572,2025-03-06T17:36:12Z,AIC506,"10.152798,76.398766",0,0,87
1741282705,2025-03-06T17:38:25Z,AIC506,"10.153113,76.407524",0,0,87
1741282712,2025-03-06T17:38:32Z,AIC506,"10.153136,76.408218",0,21,87
1741282719,2025-03-06T17:38:39Z,AIC506,"10.153159,76.408989",0,22,87
1741282726,2025-03-06T17:38:46Z,AIC506,"10.153187,76.409668",0,23,87
1741282733,2025-03-06T17:38:53Z,AIC506,"10.153217,76.410507",0,23,87
1741282740,2025-03-06T17:39:00Z,AIC506,"10.153244,76.411308",0,24,87
1741282747,2025-03-06T17:39:07Z,AIC506,"10.153278,76.412079",0,24,87
1741282755,2025-03-06T17:39:15Z,AIC506,"10.153311,76.41304",0,24,87
1741282762,2025-03-06T17:39:22Z,AIC506,"10.153336,76.413742",0,19,87
1741282769,2025-03-06T17:39:29Z,AIC506,"10.153358,76.414291",0,15,87
1741282776,2025-03-06T17:39:36Z,AIC506,"10.153381,76.414742",0,13,87
1741282783,2025-03-06T17:39:43Z,AIC506,"10.153392,76.415169",0,12,87
1741282790,2025-03-06T17:39:50Z,AIC506,"10.153404,76.415497",0,10,90
1741282796,2025-03-06T17:39:56Z,AIC506,"10.153313,76.415733",0,9,112
1741282802,2025-03-06T17:40:02Z,AIC506,"10.153084,76.415848",0,10,151
1741282806,2025-03-06T17:40:06Z,AIC506,"10.152878,76.415871",0,10,171
1741282811,2025-03-06T17:40:11Z,AIC506,"10.152659,76.415878",0,11,177
1741282815,2025-03-06T17:40:15Z,AIC506,"10.152431,76.415894",0,11,177
1741282820,2025-03-06T17:40:20Z,AIC506,"10.15218,76.415909",0,11,177
1741282825,2025-03-06T17:40:25Z,AIC506,"10.151962,76.415894",0,9,182
1741282832,2025-03-06T17:40:32Z,AIC506,"10.151752,76.41571",0,8,222
1741282839,2025-03-06T17:40:39Z,AIC506,"10.15167,76.415474",0,8,253
1741282844,2025-03-06T17:40:44Z,AIC506,"10.151658,76.415237",0,9,264
1741282851,2025-03-06T17:40:51Z,AIC506,"10.151653,76.415009",0,8,267
1741282857,2025-03-06T17:40:57Z,AIC506,"10.151635,76.414635",0,15,270
1741282860,2025-03-06T17:41:00Z,AIC506,"10.151642,76.41436",0,28,267
1741282861,2025-03-06T17:41:01Z,AIC506,"10.15163,76.414124",0,33,267
1741282863,2025-03-06T17:41:03Z,AIC506,"10.151619,76.413849",0,43,267
1741282864,2025-03-06T17:41:04Z,AIC506,"10.151611,76.413605",0,48,267
1741282875,2025-03-06T17:41:15Z,AIC506,"10.151596,76.413216",0,0,267
1741282900,2025-03-06T17:41:40Z,AIC506,"10.150772,76.39315",425,155,267
1741282908,2025-03-06T17:41:48Z,AIC506,"10.150483,76.387512",750,153,266
1741282914,2025-03-06T17:41:54Z,AIC506,"10.150249,76.382683",1025,152,266
1741282923,2025-03-06T17:42:03Z,AIC506,"10.149924,76.376671",1250,162,267
