Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1741369355,2025-03-07T17:42:35Z,AIC506,"10.154285,76.389267",0,0,357
1741370700,2025-03-07T18:05:00Z,AIC506,"10.154078,76.389275",0,2,357
1741370721,2025-03-07T18:05:21Z,AIC506,"10.153873,76.38929",0,2,2
1741370743,2025-03-07T18:05:43Z,AIC506,"10.153622,76.38929",0,2,33
1741370767,2025-03-07T18:06:07Z,AIC506,"10.153416,76.389145",0,2,87
1741371157,2025-03-07T18:12:37Z,AIC506,"10.153427,76.389359",0,7,87
1741371164,2025-03-07T18:12:44Z,AIC506,"10.153439,76.389648",0,9,87
1741371170,2025-03-07T18:12:50Z,AIC506,"10.15345,76.389915",0,10,87
1741371177,2025-03-07T18:12:57Z,AIC506,"10.153462,76.390282",0,12,87
1741371184,2025-03-07T18:13:04Z,AIC506,"10.153485,76.390755",0,14,87
1741371193,2025-03-07T18:13:13Z,AIC506,"10.153507,76.391411",0,15,87
1741371202,2025-03-07T18:13:22Z,AIC506,"10.153532,76.392097",0,17,87
1741371210,2025-03-07T18:13:30Z,AIC506,"10.153553,76.392662",0,15,87
1741371216,2025-03-07T18:13:36Z,AIC506,"10.153564,76.393166",0,17,90
1741371227,2025-03-07T18:13:47Z,AIC506,"10.153613,76.394081",0,16,87
1741371240,2025-03-07T18:14:00Z,AIC506,"10.153645,76.395065",0,0,87
1741371461,2025-03-07T18:17:41Z,AIC506,"10.153095,76.407127",0,0,87
1741371474,2025-03-07T18:17:54Z,AIC506,"10.153113,76.407494",0,0,87
1741371480,2025-03-07T18:18:00Z,AIC506,"10.15313,76.408058",0,0,87
1741371487,2025-03-07T18:18:07Z,AIC506,"10.153141,76.408356",0,9,87
1741371494,2025-03-07T18:18:14Z,AIC506,"10.153159,76.408684",0,10,87
1741371501,2025-03-07T18:18:21Z,AIC506,"10.153175,76.40905",0,12,87
1741371509,2025-03-07T18:18:29Z,AIC506,"10.153187,76.409431",0,10,87
1741371517,2025-03-07T18:18:37Z,AIC506,"10.153198,76.409843",0,12,87
1741371523,2025-03-07T18:18:43Z,AIC506,"10.153217,76.410194",0,13,87
1741371531,2025-03-07T18:18:51Z,AIC506,"10.15323,76.410622",0,13,87
1741371537,2025-03-07T18:18:57Z,AIC506,"10.153244,76.410995",0,10,87
1741371546,2025-03-07T18:19:06Z,AIC506,"10.153264,76.411461",0,12,87
1741371554,2025-03-07T18:19:14Z,AIC506,"10.153275,76.411934",0,13,87
1741371562,2025-03-07T18:19:22Z,AIC506,"10.15329,76.412422",0,14,87
1741371569,2025-03-07T18:19:29Z,AIC506,"10.153311,76.41291",0,15,87
1741371577,2025-03-07T18:19:37Z,AIC506,"10.153334,76.413414",0,13,87
1741371583,2025-03-07T18:19:43Z,AIC506,"10.153358,76.413834",0,13,87
1741371591,2025-03-07T18:19:51Z,AIC506,"10.153369,76.414291",0,14,87
1741371599,2025-03-07T18:19:59Z,AIC506,"10.15338,76.414825",0,14,87
1741371605,2025-03-07T18:20:05Z,AIC506,"10.153392,76.415192",0,8,87
1741371614,2025-03-07T18:20:14Z,AIC506,"10.153392,76.415405",0,4,90
1741371624,2025-03-07T18:20:24Z,AIC506,"10.153358,76.415611",0,6,101
1741371633,2025-03-07T18:20:33Z,AIC506,"10.153194,76.415817",0,5,132
1741371642,2025-03-07T18:20:42Z,AIC506,"10.152992,76.415871",0,5,163
1741371731,2025-03-07T18:22:11Z,AIC506,"10.152776,76.415871",0,0,177
1741371744,2025-03-07T18:22:24Z,AIC506,"10.152557,76.415886",0,6,177
1741371751,2025-03-07T18:22:31Z,AIC506,"10.152317,76.415894",0,8,177
1741371758,2025-03-07T18:22:38Z,AIC506,"10.152054,76.415894",0,8,180
1741371766,2025-03-07T18:22:46Z,AIC506,"10.15181,76.415817",0,6,196
1741371786,2025-03-07T18:23:06Z,AIC506,"10.151653,76.415611",0,2,239
1741371884,2025-03-07T18:24:44Z,AIC506,"10.151658,76.415382",0,8,264
