Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1741455816,2025-03-08T17:43:36Z,AIC506,"10.153893,76.38929",0,2,357
1741455838,2025-03-08T17:43:58Z,AIC506,"10.153683,76.389297",0,1,25
1741455870,2025-03-08T17:44:30Z,AIC506,"10.153474,76.389206",0,1,67
1741456272,2025-03-08T17:51:12Z,AIC506,"10.153427,76.389526",0,6,87
1741456278,2025-03-08T17:51:18Z,AIC506,"10.153439,76.38974",0,8,87
1741456286,2025-03-08T17:51:26Z,AIC506,"10.15345,76.39006",0,9,87
1741456293,2025-03-08T17:51:33Z,AIC506,"10.153461,76.390427",0,10,87
1741456300,2025-03-08T17:51:40Z,AIC506,"10.153473,76.39077",0,10,87
1741456307,2025-03-08T17:51:47Z,AIC506,"10.153484,76.39109",0,9,87
1741456314,2025-03-08T17:51:54Z,AIC506,"10.153496,76.391388",0,9,87
1741456322,2025-03-08T17:52:02Z,AIC506,"10.153508,76.391693",0,11,87
1741456337,2025-03-08T17:52:17Z,AIC506,"10.153543,76.392578",0,11,87
1741456344,2025-03-08T17:52:24Z,AIC506,"10.153553,76.392967",0,11,87
1741456353,2025-03-08T17:52:33Z,AIC506,"10.153576,76.393394",0,11,87
1741456361,2025-03-08T17:52:41Z,AIC506,"10.15359,76.393837",0,12,87
1741456379,2025-03-08T17:52:59Z,AIC506,"10.153613,76.394737",0,0,87
1741456394,2025-03-08T17:53:14Z,AIC506,"10.153645,76.395554",0,0,87
1741456411,2025-03-08T17:53:31Z,AIC506,"10.153671,76.396507",0,0,87
1741456455,2025-03-08T17:54:15Z,AIC506,"10.152799,76.397644",0,0,135
1741456476,2025-03-08T17:54:36Z,AIC506,"10.152763,76.398277",0,0,87
1741456483,2025-03-08T17:54:43Z,AIC506,"10.152763,76.398521",0,0,87
1741456502,2025-03-08T17:55:02Z,AIC506,"10.152798,76.399414",0,0,87
1741456626,2025-03-08T17:57:06Z,AIC506,"10.153107,76.407852",0,19,87
1741456633,2025-03-08T17:57:13Z,AIC506,"10.15313,76.408432",0,19,87
1741456640,2025-03-08T17:57:20Z,AIC506,"10.153152,76.409096",0,19,87
1741456647,2025-03-08T17:57:27Z,AIC506,"10.153175,76.409706",0,19,87
1741456655,2025-03-08T17:57:35Z,AIC506,"10.153206,76.410492",0,19,87
1741456662,2025-03-08T17:57:42Z,AIC506,"10.15323,76.41111",0,20,87
1741456669,2025-03-08T17:57:49Z,AIC506,"10.153255,76.411797",0,17,87
1741456677,2025-03-08T17:57:57Z,AIC506,"10.153278,76.412422",0,18,87
1741456683,2025-03-08T17:58:03Z,AIC506,"10.153301,76.413017",0,19,87
